date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,36.7,37.56,36.7,37.09,2400400.0
2021-05-12,37.04,37.49,36.27,36.41,2018900.0
2021-05-11,37.39,37.73,36.93,37.26,2437500.0
2021-05-10,36.91,38.1,36.48,37.74,4130700.0
2021-05-07,36.32,37.11,36.24,36.74,3346500.0
2021-05-06,37.0,37.57,35.87,36.0,6141300.0
2021-05-05,39.26,40.16,38.83,39.7,4732900.0
2021-05-04,39.85,39.93,38.33,38.6,7071900.0
2021-05-03,41.31,42.0,39.72,40.11,5059500.0
2021-04-30,39.4,41.15,39.15,40.73,9479000.0
2021-04-29,38.21,39.78,38.04,39.05,6045200.0
2021-04-28,38.1,38.56,37.55,37.58,2993200.0
2021-04-27,38.49,38.74,37.65,37.86,2352900.0
2021-04-26,38.3,38.75,37.91,38.34,4218100.0
2021-04-23,39.0,39.69,38.01,38.15,4982500.0
2021-04-22,39.63,40.6,38.3,38.75,6715800.0
2021-04-20,36.2,39.3,36.15,39.3,11608800.0
2021-04-19,36.87,36.97,35.57,36.08,5426200.0
2021-04-16,36.59,37.39,35.81,36.57,7594700.0
2021-04-15,38.4,38.6,36.2,36.26,8261200.0
2021-04-14,40.0,40.7,37.6,38.2,9796200.0
2021-04-13,38.51,39.95,37.41,39.11,16061400.0
2021-04-12,33.91,37.13,33.89,37.0,11279000.0
2021-04-09,34.49,35.04,33.5,33.7,6182600.0
2021-04-08,33.39,35.47,33.02,34.83,9054600.0
2021-04-07,32.8,33.48,32.45,33.04,4731300.0
2021-04-06,33.11,34.37,32.54,32.64,6863500.0
2021-04-05,32.73,33.02,31.91,33.02,4919000.0
2021-04-01,33.26,33.64,31.77,32.3,7722100.0
2021-03-31,34.11,34.86,32.9,33.18,8178100.0
2021-03-30,34.1,35.5,33.79,33.8,10354100.0
2021-03-29,31.59,33.86,31.11,33.64,10690000.0
2021-03-26,30.1,31.41,29.7,31.41,7958000.0
2021-03-25,28.3,30.2,28.11,29.66,7097200.0
2021-03-24,30.17,30.35,28.12,28.18,5618300.0
2021-03-23,29.45,30.18,28.67,29.45,5727700.0
2021-03-22,28.31,31.13,28.31,29.74,13253600.0
2021-03-19,25.14,29.28,25.02,28.31,17027900.0
2021-03-18,24.74,25.1,24.7,25.0,3335500.0
2021-03-17,24.69,24.96,24.63,24.9,6063700.0
2021-03-16,25.1,25.33,24.38,24.69,3497400.0
2021-03-15,25.0,25.58,24.74,25.0,5733600.0
2021-03-12,24.82,25.05,24.62,24.9,3334900.0
2021-03-11,25.3,25.45,24.7,24.9,6332000.0
2021-03-10,23.91,24.99,23.76,24.83,11650500.0
2021-03-09,22.83,24.04,22.27,23.7,9279100.0
2021-03-08,22.8,23.98,22.45,22.85,8470600.0
2021-03-05,22.28,23.29,22.28,22.91,5738000.0
2021-03-04,21.6,22.98,21.36,22.27,8984600.0
2021-03-03,22.7,22.83,20.61,21.35,12327200.0
2021-03-02,23.68,24.5,22.09,22.62,20095200.0
2021-03-01,18.0,25.61,17.41,23.33,49361500.0
2021-02-26,84.99,88.02,83.0,83.0,30008000.0
2021-02-25,85.65,87.97,84.0,84.75,9739400.0
2021-02-24,90.14,90.58,88.72,90.33,2467300.0
2021-02-23,89.59,90.8,87.68,89.67,2122900.0
2021-02-22,88.19,90.31,85.74,89.43,1983800.0
2021-02-19,86.29,89.45,86.15,88.95,1903100.0
2021-02-18,87.94,88.67,85.83,86.14,1752300.0
2021-02-17,88.99,89.35,87.57,87.9,2103100.0
2021-02-12,87.53,89.0,87.15,88.95,1442200.0
2021-02-11,87.27,88.56,86.87,87.53,949200.0
2021-02-10,87.94,88.41,86.0,87.24,1073400.0
2021-02-09,87.62,88.86,86.7,87.92,1171300.0
2021-02-08,85.5,88.31,84.72,87.6,1842100.0
2021-02-05,83.99,85.3,83.23,85.1,1422800.0
2021-02-04,82.04,83.73,81.56,83.73,1611000.0
2021-02-03,81.99,82.81,80.89,82.0,2736000.0
2021-02-02,81.5,82.1,79.26,81.69,2654400.0
2021-02-01,76.69,80.49,75.52,79.41,2480700.0
2021-01-29,75.07,77.16,74.29,75.48,1459500.0
2021-01-28,74.01,75.77,73.38,75.52,983700.0
2021-01-27,75.14,75.71,73.66,74.07,1115500.0
2021-01-26,75.65,76.62,74.77,75.36,709100.0
2021-01-22,75.39,75.97,73.91,75.41,746000.0
2021-01-21,77.24,77.64,76.02,76.02,735100.0
2021-01-20,79.47,79.47,76.64,77.27,1346200.0
2021-01-19,77.32,78.64,75.9,78.6,1658900.0
2021-01-18,77.0,77.89,76.12,76.7,797900.0
2021-01-15,75.64,77.45,75.6,76.42,1898000.0
2021-01-14,77.79,78.91,76.01,77.3,2740900.0
2021-01-13,76.51,80.26,76.5,77.84,4954000.0
2021-01-12,74.76,77.39,74.41,76.35,1793300.0
2021-01-11,76.39,76.72,73.8,74.43,1457600.0
2021-01-08,73.99,76.85,73.18,76.54,1361300.0
2021-01-07,72.4,74.09,71.96,74.03,1205200.0
2021-01-06,73.29,73.99,71.61,72.75,926300.0
2021-01-05,75.01,75.01,72.65,73.34,1099900.0
2021-01-04,75.25,75.66,74.51,75.09,829800.0
2020-12-30,75.4,76.64,74.3,75.05,783500.0
2020-12-29,75.02,76.6,75.02,75.37,891500.0
2020-12-28,72.72,75.66,72.33,75.36,960700.0
2020-12-23,72.86,73.16,72.43,72.71,516500.0
2020-12-22,72.35,73.5,72.08,72.7,490000.0
2020-12-21,73.19,73.5,71.57,72.2,1615300.0
2020-12-18,73.68,74.97,73.63,74.3,698100.0
2020-12-17,74.41,74.43,73.4,73.56,696800.0
2020-12-16,73.45,74.94,72.85,74.4,1344400.0
2020-12-15,73.07,73.83,72.0,73.47,1276800.0
2020-12-14,73.01,74.72,72.41,72.52,1168000.0
2020-12-11,70.77,73.2,70.45,72.8,900600.0
2020-12-10,71.86,72.25,70.4,71.69,994700.0
2020-12-09,71.78,72.38,70.91,71.72,2406100.0
2020-12-08,69.73,71.67,69.37,71.58,1942400.0
2020-12-07,71.0,71.16,69.5,69.71,1347200.0
2020-12-04,71.64,72.14,70.0,70.72,1383200.0
2020-12-03,67.11,72.7,67.0,71.64,4619800.0
2020-12-02,68.17,68.21,66.1,66.77,2029600.0
2020-12-01,69.62,69.91,67.4,67.83,2131300.0
2020-11-30,69.56,69.57,67.68,69.25,3524500.0
2020-11-27,69.06,70.2,68.58,69.45,692600.0
2020-11-26,70.45,70.59,68.47,69.0,1804200.0
2020-11-25,71.38,71.91,69.46,70.45,878300.0
2020-11-24,70.04,71.31,69.1,71.31,1534200.0
2020-11-23,73.05,73.15,69.9,70.1,1580300.0
2020-11-20,69.9,73.14,69.16,73.0,3229000.0
2020-11-19,68.9,69.82,68.8,69.82,1341400.0
2020-11-18,68.99,69.69,68.65,69.2,1181400.0
2020-11-17,68.65,69.1,68.28,68.65,802400.0
2020-11-16,70.0,70.0,68.42,69.08,1694800.0
2020-11-13,67.09,69.7,66.65,69.6,1437300.0
2020-11-12,66.05,67.7,65.55,66.38,1548800.0
2020-11-11,67.01,67.88,66.05,66.05,959500.0
2020-11-10,66.07,67.22,64.81,67.08,2440300.0
2020-11-09,67.1,69.0,65.83,65.9,2140800.0
2020-11-06,66.0,66.34,64.81,65.69,1222700.0
2020-11-05,64.81,65.92,64.55,65.45,1300300.0
2020-11-04,62.93,64.77,62.19,64.32,1392100.0
2020-11-03,63.05,63.3,61.45,62.21,1311000.0
2020-10-30,62.55,62.7,61.06,61.95,2150200.0
2020-10-29,63.37,63.76,61.52,62.78,1904500.0
2020-10-28,65.12,65.2,63.02,63.08,1619100.0
2020-10-27,66.62,67.12,65.24,65.58,1052400.0
2020-10-26,66.1,66.84,65.87,66.67,638100.0
2020-10-23,66.66,67.01,66.13,66.38,674200.0
2020-10-22,66.96,67.21,65.85,66.85,1047100.0
2020-10-21,67.35,67.36,66.47,66.71,615600.0
2020-10-20,66.98,67.67,66.15,67.35,898200.0
2020-10-19,66.45,68.21,65.75,66.28,2091100.0
2020-10-16,65.48,66.65,65.28,66.58,1411300.0
2020-10-15,66.08,66.08,65.15,65.48,2789700.0
2020-10-14,66.4,66.86,65.9,66.1,1272300.0
2020-10-13,67.67,67.88,65.8,66.3,2090300.0
2020-10-09,68.69,68.69,67.15,67.65,1883400.0
2020-10-08,69.26,69.35,67.35,68.7,2122700.0
2020-10-07,68.34,70.17,68.04,69.21,1678700.0
2020-10-06,68.43,68.69,67.04,68.5,1385200.0
2020-10-05,69.0,69.01,67.46,68.16,1130300.0
2020-10-02,69.7,70.33,68.3,68.57,1183400.0
