date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,7.25,7.55,6.54,6.56,423500.0
2021-05-12,6.48,7.6,6.2,7.29,496700.0
2021-05-11,6.35,6.63,6.1,6.48,161900.0
2021-05-10,6.07,6.69,6.05,6.37,479800.0
2021-05-07,5.62,5.89,5.6,5.87,51700.0
2021-05-06,5.63,5.65,5.57,5.63,37000.0
2021-05-05,5.62,5.72,5.57,5.63,66300.0
2021-05-04,5.68,5.81,5.59,5.64,66900.0
2021-05-03,5.7,5.95,5.62,5.63,109000.0
2021-04-30,5.98,6.0,5.52,5.65,125200.0
2021-04-29,5.96,6.28,5.75,5.98,250700.0
2021-04-28,6.39,6.77,5.85,5.95,312000.0
2021-04-27,5.83,6.7,5.83,6.4,810700.0
2021-04-26,5.65,6.0,5.64,5.76,98300.0
2021-04-23,5.77,5.99,5.51,5.6,141200.0
2021-04-22,5.56,6.1,5.5,5.77,314400.0
2021-04-20,5.19,5.7,5.13,5.61,196300.0
2021-04-19,5.36,5.36,4.83,5.19,148700.0
2021-04-16,5.22,5.62,5.16,5.39,133000.0
2021-04-15,5.2,5.3,5.15,5.22,62400.0
2021-04-14,5.13,5.25,5.1,5.1,30500.0
2021-04-13,5.18,5.21,5.11,5.15,25200.0
2021-04-12,5.24,5.25,5.1,5.12,41700.0
2021-04-09,5.19,5.29,5.11,5.24,28900.0
2021-04-08,5.24,5.26,5.01,5.19,37000.0
2021-04-07,5.25,5.3,5.13,5.15,81800.0
2021-04-06,5.21,5.37,5.21,5.23,27300.0
2021-04-05,5.45,5.45,5.2,5.2,53800.0
2021-04-01,5.39,5.44,5.25,5.25,69600.0
2021-03-31,5.73,6.0,5.22,5.36,192300.0
2021-03-30,5.62,6.0,5.51,5.6,90900.0
2021-03-29,5.63,5.68,5.43,5.62,56400.0
2021-03-26,5.88,5.98,5.61,5.63,113600.0
2021-03-25,6.13,6.14,5.76,5.88,320900.0
2021-03-24,6.04,6.46,6.04,6.32,174700.0
2021-03-23,6.12,6.49,5.98,6.03,104100.0
2021-03-22,6.34,6.35,6.05,6.19,67500.0
2021-03-19,5.85,6.35,5.85,6.24,172100.0
2021-03-18,6.28,6.28,5.81,5.85,98300.0
2021-03-17,6.16,6.32,5.76,6.05,72100.0
2021-03-16,6.13,6.52,5.79,6.11,239500.0
2021-03-15,5.49,6.15,5.41,6.15,270500.0
2021-03-12,5.53,5.53,5.11,5.35,96600.0
2021-03-11,5.5,5.87,5.21,5.5,421200.0
2021-03-10,4.7,5.65,4.69,5.57,153500.0
2021-03-09,4.7,4.91,4.67,4.67,30000.0
2021-03-08,4.92,5.02,4.67,4.73,74400.0
2021-03-05,4.71,4.93,4.7,4.84,70700.0
2021-03-04,4.93,5.08,4.61,4.8,103800.0
2021-03-03,5.25,5.25,4.68,4.88,277600.0
2021-03-02,4.72,5.38,4.58,5.38,82200.0
2021-03-01,5.12,5.12,4.7,4.81,138700.0
2021-02-26,5.17,5.37,5.01,5.1,55500.0
2021-02-25,5.66,5.73,5.2,5.34,73000.0
2021-02-24,5.51,5.68,5.51,5.55,110700.0
2021-02-23,5.84,5.97,5.41,5.57,118000.0
2021-02-22,5.76,6.02,5.58,5.76,162900.0
2021-02-19,6.2,6.2,5.82,5.95,147800.0
2021-02-18,6.33,6.52,6.11,6.11,149200.0
2021-02-17,6.42,6.63,6.36,6.45,131700.0
2021-02-12,6.67,6.84,6.32,6.68,583800.0
2021-02-11,7.02,7.53,6.75,6.92,281400.0
2021-02-10,7.3,7.31,6.82,7.01,171500.0
2021-02-09,7.25,7.53,6.72,7.26,279600.0
2021-02-08,7.99,8.09,7.2,7.27,518700.0
2021-02-05,7.96,7.96,7.4,7.92,192700.0
