date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,24.76,25.1,24.43,24.99,76723900.0
2021-05-12,24.95,25.53,24.69,24.78,89346200.0
2021-05-11,24.44,25.17,24.32,25.15,73355200.0
2021-05-10,24.8,24.98,24.58,24.7,73594200.0
2021-05-07,23.64,24.45,23.46,24.38,73691000.0
2021-05-06,23.71,23.85,23.4,23.5,53646000.0
2021-05-05,23.17,23.95,23.12,23.83,75377300.0
2021-05-04,23.54,23.64,22.88,22.89,43705000.0
2021-05-03,23.8,23.81,23.3,23.43,47970600.0
2021-04-30,23.4,23.93,23.28,23.62,60379700.0
2021-04-29,24.12,24.29,23.42,23.62,49200500.0
2021-04-28,23.4,24.09,23.36,23.94,65861100.0
2021-04-27,23.82,24.17,23.1,23.1,75803200.0
2021-04-26,23.85,24.05,23.61,23.78,33017500.0
2021-04-23,23.88,23.94,23.51,23.69,59817700.0
2021-04-22,24.14,24.19,23.65,23.71,46186100.0
2021-04-20,24.33,24.59,23.76,23.82,93935900.0
2021-04-19,22.95,24.89,22.77,24.28,194997500.0
2021-04-16,23.13,23.24,22.81,22.95,59150700.0
2021-04-15,23.7,23.83,23.02,23.09,63513500.0
2021-04-14,24.2,24.58,23.98,24.35,90286200.0
2021-04-13,23.98,24.11,23.69,23.97,52780600.0
2021-04-12,23.96,24.37,23.78,23.89,50143300.0
2021-04-09,23.5,23.78,23.37,23.65,46820500.0
2021-04-08,23.98,24.04,23.37,23.7,62739100.0
2021-04-07,23.94,24.34,23.93,24.0,55068500.0
2021-04-06,24.18,24.37,23.91,24.02,45508400.0
2021-04-05,24.13,24.2,23.68,24.04,40178900.0
2021-04-01,24.29,24.39,23.78,23.89,46754100.0
2021-03-31,23.8,24.23,23.78,24.1,68266700.0
2021-03-30,23.64,23.99,23.57,23.83,40703300.0
2021-03-29,23.34,23.83,23.28,23.83,49670900.0
2021-03-26,23.48,23.88,23.11,23.46,60631800.0
2021-03-25,22.7,23.3,22.16,23.2,78839800.0
2021-03-24,23.19,23.54,22.82,22.82,62209500.0
2021-03-23,23.17,23.63,22.8,22.8,56425900.0
2021-03-22,23.69,23.78,23.23,23.52,43730900.0
2021-03-19,23.27,24.04,23.18,24.0,89619900.0
2021-03-18,23.88,23.9,23.07,23.24,76651800.0
2021-03-17,23.14,24.13,23.11,24.08,77629300.0
2021-03-16,23.63,23.68,23.23,23.28,43116200.0
2021-03-15,23.11,23.67,23.1,23.65,67541300.0
2021-03-12,23.15,23.38,22.86,23.17,68123200.0
2021-03-11,22.62,23.49,22.61,23.29,130577500.0
2021-03-10,21.94,22.34,21.58,22.34,111744100.0
2021-03-09,21.36,21.95,20.86,21.59,122553300.0
2021-03-08,21.94,22.28,20.96,21.1,141142800.0
2021-03-05,22.44,23.22,22.29,22.39,126306300.0
2021-03-04,21.3,22.4,21.12,22.22,127843200.0
2021-03-03,21.8,21.89,20.48,21.19,185688500.0
2021-03-02,21.84,22.33,20.67,21.99,147772300.0
2021-03-01,22.8,23.04,21.92,22.0,90330100.0
2021-02-26,23.2,23.42,21.97,22.24,159881000.0
2021-02-25,25.0,25.25,23.1,23.19,170149400.0
2021-02-24,24.55,25.0,24.01,24.4,155246400.0
2021-02-23,23.05,24.26,22.71,24.06,293503100.0
2021-02-22,22.8,23.2,21.4,21.45,490230400.0
2021-02-19,28.03,28.49,27.17,27.33,215834800.0
2021-02-18,30.38,30.92,29.04,29.27,105539200.0
2021-02-17,28.52,29.6,28.13,29.59,54973400.0
2021-02-12,27.81,28.49,27.61,28.44,47801100.0
2021-02-11,28.14,28.5,27.87,28.08,61158600.0
2021-02-10,27.74,28.04,27.12,27.8,52949900.0
2021-02-09,28.05,28.37,27.38,27.54,63662200.0
2021-02-08,28.51,29.3,27.8,28.11,98821700.0
2021-02-05,28.98,30.09,28.32,29.02,121098700.0
2021-02-04,28.83,28.99,28.21,28.82,41444100.0
2021-02-03,28.98,29.14,28.66,28.85,51765400.0
2021-02-02,28.4,29.14,28.2,28.66,91663000.0
2021-02-01,27.26,27.68,26.83,27.53,44449500.0
2021-01-29,27.52,27.68,26.69,26.69,67555300.0
2021-01-28,27.32,28.45,27.31,27.76,67827000.0
2021-01-27,26.81,28.17,26.53,27.38,68337800.0
2021-01-26,27.25,27.97,26.82,27.0,64514600.0
2021-01-22,26.93,27.24,26.56,27.09,51181900.0
2021-01-21,28.02,28.4,27.51,27.55,41284900.0
2021-01-20,28.95,29.12,28.11,28.21,60306200.0
2021-01-19,28.48,28.86,27.64,28.69,61652300.0
2021-01-18,28.31,28.85,28.01,28.07,68855700.0
2021-01-15,29.05,29.08,28.03,28.12,80673300.0
2021-01-14,29.17,29.67,28.72,29.45,50728700.0
2021-01-13,30.68,30.86,29.0,29.15,93826600.0
2021-01-12,31.12,31.56,30.63,30.63,65691900.0
2021-01-11,30.61,31.06,30.4,30.86,48743700.0
2021-01-08,31.46,31.76,30.35,31.12,67136300.0
2021-01-07,30.34,31.15,30.34,31.0,56164100.0
2021-01-06,30.16,30.9,30.05,30.07,96562500.0
2021-01-05,28.9,30.18,28.24,30.04,95181100.0
2021-01-04,28.65,29.18,28.53,28.91,74719700.0
2020-12-30,28.35,28.49,28.2,28.34,36968200.0
2020-12-29,28.38,28.43,27.99,28.27,29891100.0
2020-12-28,28.36,28.52,28.18,28.18,36313300.0
2020-12-23,27.43,28.25,27.35,27.95,49038900.0
2020-12-22,27.2,27.47,27.05,27.28,46513200.0
2020-12-21,27.19,27.49,26.52,27.02,99988800.0
2020-12-18,28.1,28.32,28.02,28.1,44707900.0
2020-12-17,28.3,28.39,28.07,28.24,39149200.0
2020-12-16,27.85,28.24,27.47,28.19,59399200.0
