date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,2.67,2.72,2.67,2.7,2837100.0
2021-05-12,2.7,2.71,2.65,2.67,3361200.0
2021-05-11,2.65,2.71,2.62,2.71,4748800.0
2021-05-10,2.63,2.69,2.61,2.67,5255300.0
2021-05-07,2.59,2.64,2.59,2.62,5250600.0
2021-05-06,2.53,2.58,2.52,2.58,2835000.0
2021-05-05,2.52,2.57,2.52,2.53,4855400.0
2021-05-04,2.59,2.6,2.5,2.51,7664000.0
2021-05-03,2.6,2.63,2.59,2.59,6613300.0
2021-04-30,2.63,2.65,2.61,2.61,4447100.0
2021-04-29,2.64,2.65,2.62,2.63,4487300.0
2021-04-28,2.68,2.68,2.63,2.64,6701100.0
2021-04-27,2.71,2.73,2.64,2.67,7138400.0
2021-04-26,2.69,2.71,2.68,2.7,4893600.0
2021-04-23,2.68,2.72,2.67,2.68,4455900.0
2021-04-22,2.69,2.72,2.67,2.68,4922700.0
2021-04-20,2.7,2.73,2.67,2.68,3761900.0
2021-04-19,2.67,2.71,2.66,2.71,4433000.0
2021-04-16,2.71,2.72,2.67,2.67,5507100.0
2021-04-15,2.69,2.75,2.68,2.71,6000300.0
2021-04-14,2.7,2.72,2.65,2.68,7139300.0
2021-04-13,2.7,2.73,2.68,2.69,4317500.0
2021-04-12,2.73,2.74,2.66,2.7,8331500.0
2021-04-09,2.73,2.78,2.72,2.72,5113600.0
2021-04-08,2.8,2.8,2.72,2.75,9756500.0
2021-04-07,2.85,2.87,2.77,2.78,8561200.0
2021-04-06,2.79,2.88,2.78,2.86,6329900.0
2021-04-05,2.79,2.82,2.78,2.8,3826500.0
2021-04-01,2.84,2.84,2.76,2.77,4606900.0
2021-03-31,2.87,2.9,2.74,2.8,14315000.0
2021-03-30,2.72,2.85,2.7,2.84,8518200.0
2021-03-29,2.76,2.78,2.69,2.72,6478600.0
2021-03-26,2.75,2.8,2.73,2.77,9467700.0
2021-03-25,2.72,2.77,2.67,2.75,10199900.0
2021-03-24,2.78,2.78,2.71,2.73,6329700.0
2021-03-23,2.71,2.77,2.67,2.77,7349700.0
2021-03-22,2.79,2.79,2.72,2.72,5669200.0
2021-03-19,2.71,2.81,2.69,2.8,7741100.0
2021-03-18,2.76,2.81,2.69,2.7,7688600.0
2021-03-17,2.71,2.78,2.68,2.76,7268100.0
2021-03-16,2.72,2.74,2.64,2.71,5904400.0
2021-03-15,2.69,2.77,2.67,2.71,7787400.0
2021-03-12,2.63,2.72,2.62,2.69,6364500.0
2021-03-11,2.66,2.7,2.59,2.66,10368100.0
2021-03-10,2.53,2.66,2.49,2.66,14004400.0
2021-03-09,2.52,2.56,2.48,2.51,7417600.0
2021-03-08,2.6,2.64,2.5,2.5,12506800.0
2021-03-05,2.54,2.65,2.54,2.62,9315800.0
2021-03-04,2.57,2.68,2.54,2.58,9236800.0
2021-03-03,2.51,2.59,2.43,2.56,14865000.0
2021-03-02,2.5,2.56,2.4,2.52,12743300.0
2021-03-01,2.55,2.58,2.49,2.49,7762600.0
2021-02-26,2.6,2.64,2.47,2.51,12265700.0
2021-02-25,2.71,2.74,2.56,2.58,12773100.0
2021-02-24,2.65,2.73,2.63,2.67,16301000.0
2021-02-23,2.55,2.65,2.52,2.62,7778800.0
2021-02-22,2.58,2.59,2.51,2.52,13224400.0
2021-02-19,2.64,2.66,2.57,2.62,14816500.0
2021-02-18,2.68,2.7,2.61,2.63,9697400.0
2021-02-17,2.75,2.76,2.64,2.66,11959000.0
2021-02-12,2.75,2.76,2.71,2.74,5177900.0
2021-02-11,2.78,2.81,2.72,2.74,6805100.0
2021-02-10,2.81,2.82,2.73,2.76,7940000.0
2021-02-09,2.83,2.85,2.78,2.8,10228700.0
2021-02-08,2.9,2.91,2.83,2.83,11647500.0
2021-02-05,2.95,2.96,2.87,2.9,11349400.0
2021-02-04,3.05,3.07,2.92,2.92,11951800.0
2021-02-03,3.05,3.1,3.03,3.04,7758800.0
2021-02-02,2.97,3.08,2.97,3.06,8276600.0
2021-02-01,2.95,2.98,2.88,2.96,8652600.0
2021-01-29,3.01,3.02,2.86,2.91,8647900.0
2021-01-28,2.9,3.06,2.89,3.03,9276900.0
2021-01-27,2.85,2.94,2.82,2.91,10477300.0
2021-01-26,2.87,2.91,2.84,2.85,8148800.0
2021-01-22,2.87,2.94,2.81,2.87,7925800.0
2021-01-21,3.02,3.03,2.88,2.88,12551100.0
2021-01-20,3.05,3.12,2.99,3.02,8759800.0
2021-01-19,3.14,3.15,3.01,3.03,8957700.0
2021-01-18,3.26,3.28,3.12,3.12,7514600.0
2021-01-15,3.33,3.34,3.22,3.24,9798100.0
2021-01-14,3.22,3.37,3.2,3.35,14191400.0
2021-01-13,3.19,3.28,3.16,3.21,12207800.0
2021-01-12,3.23,3.29,3.13,3.21,16096700.0
2021-01-11,3.03,3.23,2.97,3.23,23237500.0
2021-01-08,2.86,3.08,2.86,3.05,19457700.0
2021-01-07,2.9,2.91,2.84,2.85,5788800.0
2021-01-06,2.85,2.91,2.81,2.86,6941500.0
2021-01-05,2.88,2.89,2.82,2.84,5522900.0
2021-01-04,2.91,2.94,2.84,2.89,6038000.0
2020-12-30,2.94,2.96,2.87,2.87,4010500.0
2020-12-29,2.86,2.95,2.85,2.95,5719600.0
2020-12-28,2.83,2.87,2.81,2.87,8685400.0
2020-12-23,2.76,2.83,2.74,2.82,8367700.0
2020-12-22,2.85,2.88,2.72,2.77,13967600.0
2020-12-21,2.85,2.9,2.8,2.83,11360600.0
2020-12-18,2.91,2.94,2.84,2.91,9853400.0
2020-12-17,2.95,3.04,2.9,2.9,15230800.0
2020-12-16,2.88,2.93,2.85,2.92,8571700.0
2020-12-15,2.89,2.89,2.82,2.87,7328100.0
2020-12-14,2.94,2.96,2.86,2.87,8512900.0
2020-12-11,2.89,2.95,2.88,2.92,3698400.0
2020-12-10,2.95,2.96,2.81,2.93,11772300.0
2020-12-09,3.03,3.04,2.91,2.94,7735400.0
2020-12-08,2.99,3.07,2.96,3.03,6901900.0
2020-12-07,3.02,3.09,2.93,2.98,9185100.0
2020-12-04,3.02,3.04,2.98,3.02,11485500.0
2020-12-03,2.94,3.02,2.89,2.99,17101800.0
2020-12-02,2.87,2.95,2.84,2.94,11766900.0
2020-12-01,2.81,2.87,2.79,2.87,5847400.0
2020-11-30,2.84,2.85,2.74,2.78,9751100.0
2020-11-27,2.85,2.87,2.83,2.84,5598200.0
2020-11-26,2.87,2.87,2.81,2.85,4070800.0
2020-11-25,2.73,2.88,2.72,2.87,15466300.0
2020-11-24,2.69,2.75,2.67,2.74,7515500.0
2020-11-23,2.73,2.75,2.69,2.71,6160500.0
2020-11-20,2.71,2.74,2.69,2.71,3580100.0
2020-11-19,2.73,2.75,2.7,2.7,6429500.0
2020-11-18,2.77,2.79,2.71,2.73,5497100.0
2020-11-17,2.75,2.79,2.72,2.76,8525300.0
2020-11-16,2.79,2.8,2.69,2.77,7147200.0
2020-11-13,2.59,2.77,2.59,2.77,10906500.0
2020-11-12,2.74,2.75,2.56,2.57,11226800.0
2020-11-11,2.8,2.81,2.73,2.73,5498400.0
2020-11-10,2.68,2.82,2.64,2.79,13897900.0
2020-11-09,2.73,2.75,2.63,2.66,8077800.0
2020-11-06,2.55,2.67,2.52,2.66,8755100.0
2020-11-05,2.52,2.59,2.46,2.58,9914700.0
2020-11-04,2.47,2.5,2.39,2.5,11427900.0
2020-11-03,2.49,2.57,2.43,2.43,9069400.0
2020-10-30,2.49,2.51,2.39,2.45,8626100.0
2020-10-29,2.5,2.55,2.39,2.49,9266200.0
2020-10-28,2.58,2.59,2.46,2.48,9427000.0
2020-10-27,2.66,2.67,2.6,2.61,9273300.0
2020-10-26,2.69,2.71,2.63,2.66,6052700.0
2020-10-23,2.73,2.73,2.67,2.7,5168700.0
2020-10-22,2.77,2.77,2.71,2.72,7789600.0
2020-10-21,2.8,2.81,2.75,2.76,4970200.0
2020-10-20,2.81,2.82,2.76,2.79,4740300.0
2020-10-19,2.81,2.85,2.77,2.79,4815400.0
2020-10-16,2.83,2.84,2.78,2.79,2976100.0
2020-10-15,2.76,2.83,2.74,2.83,5165800.0
2020-10-14,2.75,2.81,2.74,2.79,5861800.0
2020-10-13,2.82,2.84,2.73,2.75,7255100.0
2020-10-09,2.74,2.83,2.73,2.81,7138500.0
2020-10-08,2.72,2.75,2.69,2.75,5894700.0
2020-10-07,2.74,2.76,2.69,2.71,4365900.0
2020-10-06,2.7,2.78,2.7,2.74,6719200.0
2020-10-05,2.67,2.71,2.65,2.69,4703500.0
2020-10-02,2.66,2.7,2.65,2.66,5892900.0
2020-10-01,2.67,2.7,2.63,2.68,5524400.0
2020-09-30,2.6,2.69,2.6,2.68,8225800.0
2020-09-29,2.66,2.68,2.58,2.59,8922800.0
2020-09-28,2.74,2.77,2.61,2.65,12400300.0
2020-09-25,2.72,2.74,2.68,2.7,5378100.0
2020-09-24,2.7,2.77,2.66,2.72,6085000.0
2020-09-23,2.78,2.82,2.68,2.68,8748100.0
2020-09-22,2.79,2.81,2.72,2.77,8563500.0
2020-09-21,2.88,2.88,2.77,2.78,9828400.0
2020-09-18,2.96,2.97,2.89,2.91,5340800.0
2020-09-17,2.98,2.99,2.92,2.96,3401900.0
2020-09-16,3.01,3.04,2.95,3.0,5081600.0
2020-09-15,3.03,3.04,2.97,3.0,6562600.0
2020-09-14,2.88,3.02,2.88,3.0,9573100.0
2020-09-11,2.93,2.94,2.82,2.85,7676600.0
2020-09-10,3.0,3.01,2.85,2.92,13124700.0
2020-09-09,3.03,3.04,2.94,2.99,7404100.0
2020-09-08,2.99,3.05,2.95,3.0,9518500.0
2020-09-04,2.89,3.03,2.87,3.0,16500000.0
2020-09-03,2.88,2.94,2.83,2.88,12399000.0
2020-09-02,2.88,2.9,2.84,2.87,5773500.0
2020-09-01,2.85,2.88,2.83,2.86,5156000.0
2020-08-31,2.84,2.86,2.81,2.82,5520700.0
2020-08-28,2.79,2.89,2.78,2.85,5926300.0
2020-08-27,2.79,2.83,2.77,2.79,3989800.0
2020-08-26,2.9,2.9,2.77,2.79,7843600.0
2020-08-25,2.9,2.9,2.84,2.89,4857100.0
2020-08-24,2.86,2.9,2.84,2.88,6567200.0
2020-08-21,2.83,2.86,2.78,2.84,5516700.0
2020-08-20,2.78,2.85,2.74,2.83,8368700.0
2020-08-19,2.81,2.85,2.78,2.81,6007600.0
2020-08-18,2.72,2.83,2.7,2.81,9314600.0
2020-08-17,2.77,2.79,2.64,2.68,9573800.0
2020-08-14,2.75,2.8,2.71,2.77,4983500.0
2020-08-13,2.81,2.82,2.72,2.75,7799700.0
2020-08-12,2.92,2.92,2.76,2.79,14115800.0
2020-08-11,2.84,2.94,2.83,2.9,10671400.0
2020-08-10,2.84,2.85,2.8,2.82,6022900.0
2020-08-07,2.84,2.86,2.81,2.83,4527900.0
2020-08-06,2.87,2.88,2.83,2.85,6271000.0
2020-08-05,2.82,2.88,2.81,2.85,8115700.0
2020-08-04,2.8,2.88,2.76,2.8,12101400.0
2020-08-03,2.99,3.0,2.83,2.83,17488400.0
2020-07-31,2.97,2.99,2.93,2.98,8856300.0
2020-07-30,2.93,3.0,2.88,2.96,8858200.0
2020-07-29,2.87,2.97,2.85,2.96,10576200.0
2020-07-28,2.88,2.89,2.85,2.87,7288400.0
2020-07-27,2.91,2.93,2.85,2.88,8040800.0
2020-07-24,2.91,2.92,2.83,2.9,12063700.0
2020-07-23,2.97,3.0,2.88,2.92,10188500.0
2020-07-22,3.02,3.03,2.96,2.98,7449000.0
2020-07-21,3.05,3.08,2.98,3.02,11481700.0
2020-07-20,2.98,3.04,2.96,3.03,12765300.0
2020-07-17,2.97,2.99,2.93,2.98,6498200.0
2020-07-16,2.98,2.98,2.93,2.95,5807400.0
2020-07-15,3.01,3.02,2.94,2.98,10413200.0
2020-07-14,2.97,3.0,2.87,2.98,10221700.0
2020-07-13,3.01,3.07,2.96,2.96,12115500.0
2020-07-10,3.02,3.02,2.97,2.99,8027200.0
2020-07-09,3.01,3.04,2.98,3.02,9488300.0
2020-07-08,3.03,3.05,2.95,2.99,15387600.0
2020-07-07,2.95,3.04,2.93,3.01,14858500.0
2020-07-06,2.97,3.02,2.94,2.97,12374500.0
2020-07-03,2.79,2.94,2.73,2.92,16939300.0
2020-07-02,2.93,2.96,2.77,2.78,27460100.0
2020-07-01,2.9,2.95,2.86,2.89,13913200.0
2020-06-30,2.87,2.98,2.85,2.93,7495900.0
2020-06-29,2.9,2.92,2.82,2.89,8453100.0
2020-06-26,2.98,2.98,2.83,2.88,10648500.0
2020-06-25,2.96,2.99,2.9,2.98,7717800.0
2020-06-24,3.07,3.08,2.87,2.95,16524700.0
2020-06-23,3.13,3.15,3.0,3.03,12659200.0
2020-06-22,3.02,3.12,2.99,3.07,15041200.0
2020-06-19,3.05,3.06,2.95,2.97,14046600.0
2020-06-18,3.01,3.1,2.98,2.99,13559900.0
2020-06-17,2.98,3.1,2.91,3.05,14638500.0
2020-06-16,3.14,3.19,2.94,2.95,19207400.0
2020-06-15,3.03,3.03,2.86,2.97,23039100.0
2020-06-12,3.03,3.21,2.95,3.11,17671400.0
2020-06-10,3.43,3.44,3.16,3.17,22792800.0
2020-06-09,3.36,3.56,3.26,3.35,22595800.0
2020-06-08,3.07,3.48,3.07,3.47,32848800.0
2020-06-05,3.13,3.14,2.93,2.98,16177100.0
2020-06-04,2.92,3.08,2.86,2.99,16191700.0
2020-06-03,3.0,3.07,2.88,2.93,21441000.0
2020-06-02,2.76,2.96,2.75,2.93,20867900.0
2020-06-01,2.65,2.77,2.64,2.72,13720400.0
2020-05-29,2.75,2.76,2.63,2.64,12214800.0
2020-05-28,2.88,2.88,2.73,2.74,10497900.0
2020-05-27,2.72,2.89,2.69,2.85,12426100.0
2020-05-26,2.8,2.84,2.66,2.68,8092400.0
2020-05-25,2.74,2.85,2.7,2.72,10627000.0
2020-05-22,2.68,2.7,2.61,2.62,5090800.0
2020-05-21,2.57,2.73,2.57,2.72,10811300.0
2020-05-20,2.61,2.63,2.55,2.57,5992800.0
2020-05-19,2.63,2.71,2.55,2.55,9708300.0
2020-05-18,2.5,2.67,2.47,2.64,12234900.0
2020-05-15,2.42,2.51,2.37,2.4,8680600.0
2020-05-14,2.27,2.45,2.22,2.44,11015000.0
2020-05-13,2.48,2.5,2.29,2.3,15309700.0
2020-05-12,2.65,2.7,2.42,2.43,15984000.0
2020-05-11,2.62,2.67,2.58,2.6,10463100.0
2020-05-08,2.62,2.72,2.6,2.63,8036000.0
2020-05-07,2.79,2.79,2.56,2.57,11766600.0
2020-05-06,2.78,2.84,2.71,2.72,4877200.0
2020-05-05,2.98,3.01,2.75,2.77,8778800.0
2020-05-04,2.79,2.95,2.7,2.9,7506900.0
2020-04-30,2.93,3.14,2.86,2.86,12211900.0
2020-04-29,2.9,3.04,2.86,2.96,8398800.0
2020-04-28,2.99,3.04,2.85,2.86,9140600.0
2020-04-27,2.84,2.97,2.78,2.86,9885400.0
2020-04-24,2.97,2.97,2.62,2.73,10977400.0
2020-04-23,3.17,3.2,2.93,2.99,6994300.0
2020-04-22,3.16,3.27,3.08,3.11,9708600.0
2020-04-20,2.84,3.25,2.79,3.16,10108400.0
2020-04-17,3.05,3.1,2.84,2.89,8919100.0
2020-04-16,2.96,3.09,2.89,2.95,9885400.0
2020-04-15,2.6,2.96,2.57,2.9,11036500.0
2020-04-14,2.53,2.7,2.53,2.68,7305300.0
2020-04-13,2.46,2.51,2.41,2.47,5010200.0
2020-04-09,2.52,2.61,2.41,2.43,8340600.0
2020-04-08,2.44,2.6,2.33,2.49,9949100.0
2020-04-07,2.38,2.56,2.38,2.42,14181200.0
2020-04-06,2.35,2.37,2.24,2.27,7078100.0
2020-04-03,2.36,2.36,2.14,2.22,7099000.0
2020-04-02,2.47,2.5,2.31,2.36,7443000.0
2020-04-01,2.4,2.43,2.26,2.42,9221300.0
2020-03-31,2.69,2.7,2.42,2.47,7235400.0
2020-03-30,2.74,2.83,2.54,2.66,5052200.0
2020-03-27,2.59,2.72,2.47,2.64,6203500.0
2020-03-26,2.5,2.93,2.5,2.66,9148300.0
2020-03-25,2.2,2.51,2.17,2.5,11159500.0
2020-03-24,2.37,2.45,2.15,2.15,11332000.0
2020-03-23,2.36,2.45,2.15,2.25,7672400.0
2020-03-20,2.58,2.66,2.33,2.36,8417200.0
2020-03-19,2.15,2.47,1.92,2.31,11259900.0
2020-03-18,2.95,2.96,2.19,2.3,9366600.0
2020-03-17,3.2,3.24,2.95,3.07,8785400.0
2020-03-16,3.3,3.37,3.03,3.06,6104800.0
2020-03-13,3.8,3.84,3.36,3.66,7721200.0
2020-03-12,3.5,3.63,3.3,3.38,5515400.0
2020-03-11,4.35,4.44,3.77,4.11,9095500.0
