date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,17.7,17.89,17.08,17.33,14017200.0
2021-05-12,18.2,18.41,17.55,17.81,10201200.0
2021-05-11,18.52,18.52,17.79,18.17,10144700.0
2021-05-10,19.36,19.53,18.46,18.48,15102800.0
2021-05-07,19.09,19.22,18.67,19.21,13960200.0
2021-05-06,19.68,19.68,18.52,19.2,16073100.0
2021-05-05,96.1,98.15,95.6,97.0,3710300.0
2021-05-04,93.18,96.85,92.74,95.26,6917700.0
2021-05-03,92.91,93.05,90.75,91.86,3422600.0
2021-04-30,91.65,91.65,89.86,91.58,3962700.0
2021-04-29,93.71,94.29,91.37,92.6,3904400.0
2021-04-28,90.93,93.46,90.91,92.27,4307300.0
2021-04-27,90.7,91.95,89.86,90.08,3648000.0
2021-04-26,91.55,91.71,89.8,90.3,3339700.0
2021-04-23,91.61,93.8,91.03,91.85,4248800.0
2021-04-22,93.85,93.95,90.97,90.97,4388900.0
2021-04-20,96.56,97.1,92.3,92.96,5782400.0
2021-04-19,98.15,98.4,96.0,96.0,5494100.0
2021-04-16,98.4,98.6,95.3,98.14,4860400.0
2021-04-15,102.69,103.35,97.21,97.6,5855000.0
2021-04-14,102.4,103.19,101.34,101.8,5287300.0
2021-04-13,97.62,101.8,97.49,100.5,7772300.0
2021-04-12,95.36,97.64,94.87,96.91,6789100.0
2021-04-09,93.59,95.68,92.6,94.49,4867500.0
2021-04-08,95.36,96.89,92.25,94.75,5363000.0
2021-04-07,93.5,95.17,91.87,94.6,5139100.0
2021-04-06,91.5,94.5,90.66,93.49,6118500.0
2021-04-05,92.0,92.3,88.8,90.62,4119300.0
2021-04-01,92.83,93.54,90.96,90.98,4698500.0
2021-03-31,92.27,94.2,90.79,92.28,7142800.0
2021-03-30,94.58,94.58,91.16,92.27,5842100.0
2021-03-29,92.4,94.95,91.36,94.4,5560800.0
2021-03-26,91.39,94.7,89.62,92.51,9437600.0
2021-03-25,87.93,90.4,85.3,89.41,7497000.0
2021-03-24,89.1,91.9,88.01,88.01,7887300.0
2021-03-23,88.76,90.0,86.56,87.03,6769700.0
2021-03-22,93.15,93.69,89.54,90.55,5478700.0
2021-03-19,89.89,95.55,88.29,93.93,11393400.0
2021-03-18,95.74,96.99,86.5,88.2,9394700.0
2021-03-17,90.7,96.56,89.5,96.5,7476100.0
2021-03-16,91.33,92.66,89.84,91.0,5131500.0
2021-03-15,93.58,94.28,90.3,90.8,4418100.0
2021-03-12,92.81,94.97,91.55,93.51,5596800.0
2021-03-11,95.9,97.69,91.34,92.85,7887300.0
2021-03-10,99.3,99.46,92.05,94.4,8500800.0
2021-03-09,97.0,100.51,94.2,98.73,8016800.0
2021-03-08,98.52,101.39,94.99,95.0,8621600.0
2021-03-05,94.51,100.06,93.01,100.06,10485800.0
2021-03-04,89.6,92.99,87.2,92.99,10202100.0
2021-03-03,86.01,89.99,83.16,89.62,9537800.0
2021-03-02,85.97,88.89,83.59,85.67,7627100.0
2021-03-01,85.61,89.51,85.02,88.23,7750200.0
2021-02-26,85.0,86.25,82.07,83.61,5609200.0
2021-02-25,90.0,90.9,82.74,83.91,7405400.0
2021-02-24,89.96,91.99,87.36,87.36,6738100.0
2021-02-23,93.05,94.0,84.88,88.75,10021300.0
2021-02-22,87.5,92.25,84.5,92.19,8045800.0
2021-02-19,88.01,89.25,86.3,88.89,3378800.0
2021-02-18,87.62,92.04,87.61,88.41,7761300.0
2021-02-17,80.45,87.84,80.4,87.11,8406700.0
2021-02-12,76.88,79.99,75.58,79.59,4844800.0
2021-02-11,79.91,80.1,76.5,77.33,4453400.0
2021-02-10,78.53,79.43,76.73,79.43,5183800.0
2021-02-09,81.0,81.85,76.36,77.74,7528100.0
2021-02-08,79.26,82.68,79.26,81.09,6758000.0
2021-02-05,76.56,80.75,75.3,78.5,8888200.0
2021-02-04,77.29,77.85,75.13,75.88,4288100.0
2021-02-03,78.78,79.22,75.64,76.88,5257100.0
2021-02-02,74.81,79.38,74.81,77.83,8536400.0
2021-02-01,72.21,73.8,69.7,73.47,7572500.0
2021-01-29,70.29,74.71,68.72,70.49,9527000.0
2021-01-28,69.12,71.98,67.54,71.78,3473200.0
2021-01-27,70.88,71.81,68.02,69.12,4696700.0
2021-01-26,72.21,73.8,69.78,70.6,3838800.0
2021-01-22,73.0,73.5,71.42,72.0,3621000.0
2021-01-21,70.81,75.67,70.81,74.28,6792900.0
2021-01-20,74.89,75.25,70.46,70.81,3595200.0
2021-01-19,74.15,74.71,69.5,73.5,6039700.0
2021-01-18,75.02,76.15,72.21,72.84,3871700.0
2021-01-15,76.5,78.0,73.61,74.28,3884300.0
2021-01-14,79.81,80.9,77.02,78.0,4930900.0
2021-01-13,76.8,80.15,74.21,79.48,8492700.0
2021-01-12,80.9,82.74,75.89,76.5,7637500.0
