date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,25.41,25.67,24.97,25.1,2536800.0
2021-05-12,25.83,25.97,25.01,25.29,2726500.0
2021-05-11,25.4,26.09,25.26,26.05,2238800.0
2021-05-10,26.49,26.52,25.31,25.5,4910700.0
2021-05-07,28.11,28.48,27.95,28.43,3154200.0
2021-05-06,28.18,28.23,27.62,27.96,3261900.0
2021-05-05,27.86,28.3,27.57,28.08,3805600.0
2021-05-04,27.93,28.07,27.47,27.6,3898500.0
2021-05-03,27.3,27.33,26.46,26.95,2386200.0
2021-04-30,26.84,27.44,26.69,27.05,3931900.0
2021-04-29,26.93,27.21,26.69,26.98,2709200.0
2021-04-28,26.9,27.05,26.26,26.91,2684500.0
2021-04-27,27.71,27.71,26.86,26.96,2884100.0
2021-04-26,27.85,28.01,27.5,27.72,2338200.0
2021-04-23,28.18,28.33,27.52,27.84,2511000.0
2021-04-22,28.81,28.87,27.87,28.0,2939000.0
2021-04-20,28.81,29.0,28.41,28.65,2496800.0
2021-04-19,29.18,29.25,28.83,28.91,1732800.0
2021-04-16,29.21,29.39,28.87,29.18,2249500.0
2021-04-15,29.25,29.71,29.15,29.31,4226900.0
2021-04-14,29.76,29.99,28.81,29.25,5217700.0
2021-04-13,28.95,29.92,28.87,29.68,2040100.0
2021-04-12,28.97,29.1,28.64,28.98,1299300.0
2021-04-09,29.07,29.33,28.7,28.91,1327000.0
2021-04-08,29.4,29.59,29.07,29.07,1084900.0
2021-04-07,29.64,29.8,29.22,29.39,1933200.0
2021-04-06,28.7,29.65,28.41,29.6,2532300.0
2021-04-05,29.32,29.32,28.43,28.64,2210700.0
2021-04-01,30.41,30.41,28.88,29.01,4400600.0
2021-03-31,31.19,31.68,29.73,30.35,5179300.0
2021-03-30,30.69,31.1,30.46,31.0,3072600.0
2021-03-29,31.01,31.13,30.29,30.75,1503100.0
2021-03-26,31.92,32.26,30.67,31.11,3122200.0
2021-03-25,31.99,32.44,31.53,32.21,2140300.0
2021-03-24,32.59,33.27,31.98,31.98,1965000.0
2021-03-23,32.72,32.84,32.18,32.54,2187400.0
2021-03-22,32.6,33.17,32.23,33.0,1548300.0
2021-03-19,32.82,33.41,32.63,32.73,2366400.0
2021-03-18,32.5,33.03,32.34,32.57,1643300.0
2021-03-17,32.15,33.11,32.02,32.88,1768600.0
2021-03-16,33.56,33.96,32.33,32.43,2587000.0
2021-03-15,33.6,33.77,33.27,33.39,1569800.0
2021-03-12,33.12,33.72,32.83,33.6,1298200.0
2021-03-11,33.4,33.75,32.97,33.45,2154000.0
2021-03-10,32.1,33.05,31.73,32.94,3552500.0
2021-03-09,32.14,33.05,31.73,32.04,3330200.0
2021-03-08,34.19,34.19,32.31,32.31,4295500.0
2021-03-05,33.74,34.53,32.88,34.28,3638500.0
2021-03-04,33.12,33.9,32.69,33.75,3768300.0
2021-03-03,32.22,33.26,31.57,32.89,6079700.0
2021-03-02,31.51,32.81,30.86,32.29,4874200.0
2021-03-01,32.0,32.58,31.8,31.8,2680900.0
2021-02-26,31.65,32.47,31.41,31.59,5083800.0
2021-02-25,31.58,32.48,31.37,31.6,2822600.0
2021-02-24,32.01,32.57,31.6,31.66,2453400.0
2021-02-23,31.47,32.08,31.25,32.01,2221200.0
2021-02-22,32.17,32.17,30.49,31.61,7399900.0
2021-02-19,32.51,32.78,32.15,32.75,2423000.0
2021-02-18,32.82,33.08,32.2,32.71,4159200.0
2021-02-17,32.49,33.15,32.15,33.01,3233000.0
2021-02-12,32.4,32.54,32.05,32.23,1252000.0
2021-02-11,32.13,32.61,31.95,32.37,1820600.0
2021-02-10,31.87,32.17,31.65,32.13,4815700.0
2021-02-09,31.85,32.02,31.57,31.86,1875600.0
2021-02-08,31.5,32.3,31.07,32.07,2842800.0
2021-02-05,31.76,33.85,31.38,31.56,8146900.0
2021-02-04,31.5,31.98,31.16,31.31,2330000.0
2021-02-03,31.94,32.0,31.28,31.62,5414200.0
2021-02-02,31.5,32.2,31.3,31.75,5208800.0
2021-02-01,31.5,31.58,30.26,30.88,5393900.0
2021-01-29,32.22,32.39,31.07,31.11,4631700.0
2021-01-28,32.02,32.87,31.74,32.44,3689900.0
2021-01-27,31.77,32.42,31.6,32.02,3728600.0
2021-01-26,32.18,32.93,31.67,31.79,11407700.0
2021-01-22,32.39,32.4,31.5,32.28,2729000.0
2021-01-21,32.26,32.96,31.88,32.85,2696300.0
2021-01-20,32.66,32.86,31.96,32.35,2277100.0
2021-01-19,33.53,33.56,32.05,32.52,3327600.0
2021-01-18,33.33,33.83,33.05,33.28,1328100.0
2021-01-15,32.91,33.68,32.46,33.23,2032400.0
2021-01-14,33.59,33.83,33.05,33.05,1582200.0
2021-01-13,33.34,33.64,32.75,33.36,2793800.0
2021-01-12,33.21,33.41,32.7,33.39,2842900.0
2021-01-11,33.6,34.45,33.09,33.35,2049900.0
2021-01-08,32.24,34.07,31.92,33.85,3860300.0
2021-01-07,32.6,32.72,31.84,32.15,2430500.0
2021-01-06,33.82,34.07,32.48,32.6,4964900.0
2021-01-05,34.42,34.45,33.34,33.81,3420900.0
2021-01-04,35.16,35.84,34.08,34.46,2778000.0
2020-12-30,35.71,36.05,34.9,34.98,3099900.0
2020-12-29,35.31,35.67,34.7,35.67,2434800.0
2020-12-28,35.96,36.05,35.04,35.21,1972400.0
2020-12-23,35.19,35.91,35.03,35.78,4214400.0
2020-12-22,34.68,35.29,34.04,35.18,2965500.0
2020-12-21,34.01,34.8,33.31,34.6,2897800.0
2020-12-18,35.3,35.75,34.2,34.5,5071400.0
2020-12-17,34.77,35.45,34.53,35.17,2030100.0
2020-12-16,34.33,35.0,34.2,34.78,2505000.0
2020-12-15,34.51,34.9,34.0,34.69,2767800.0
2020-12-14,34.51,34.65,34.16,34.5,1332000.0
2020-12-11,34.2,34.52,33.62,34.5,2345400.0
2020-12-10,34.58,34.72,33.56,34.21,4856900.0
2020-12-09,34.69,35.32,34.2,34.45,2636400.0
2020-12-08,35.03,35.35,34.6,34.6,2164700.0
2020-12-07,35.36,35.41,34.2,34.95,2821900.0
2020-12-04,35.46,35.52,34.72,35.34,1290700.0
2020-12-03,34.5,35.58,34.0,35.26,3555900.0
2020-12-02,33.18,34.34,33.04,33.83,4045200.0
2020-12-01,33.35,33.43,32.1,33.18,5114300.0
2020-11-30,33.94,34.03,33.03,33.17,2820100.0
2020-11-27,34.46,34.65,33.92,34.12,2202800.0
2020-11-26,34.97,34.97,34.25,34.46,1495200.0
2020-11-25,34.49,35.12,34.42,34.96,2169600.0
2020-11-24,34.8,34.94,33.7,34.76,3347000.0
2020-11-23,34.72,35.6,34.31,34.65,2487300.0
2020-11-20,34.68,34.68,34.17,34.46,1300800.0
2020-11-19,34.35,34.77,33.81,34.51,1942500.0
2020-11-18,34.43,34.99,34.22,34.22,2299000.0
2020-11-17,34.92,35.74,34.15,34.26,4378100.0
2020-11-16,35.35,35.48,34.36,34.5,2809600.0
2020-11-13,33.23,35.07,33.18,35.03,2655500.0
2020-11-12,33.9,33.94,32.86,33.11,3463200.0
2020-11-11,33.94,34.05,33.48,33.84,2499400.0
2020-11-10,33.72,34.33,33.66,34.02,2315100.0
2020-11-09,34.35,34.77,33.41,33.81,3816900.0
2020-11-06,32.65,33.68,32.26,33.68,2470400.0
2020-11-05,32.1,33.39,32.0,32.8,3156700.0
2020-11-04,31.49,32.1,31.02,31.9,4251400.0
2020-11-03,32.42,32.63,30.73,31.26,5564000.0
2020-10-30,31.84,32.0,31.23,31.83,3144000.0
2020-10-29,31.21,32.37,30.81,31.92,4965000.0
2020-10-28,31.97,32.0,30.94,31.16,5000900.0
2020-10-27,33.24,33.35,32.37,32.49,2220800.0
2020-10-26,33.4,33.76,32.87,33.23,1632400.0
2020-10-23,34.39,34.54,33.18,33.57,4094100.0
2020-10-22,33.5,34.85,33.14,34.5,9457900.0
2020-10-21,34.0,36.2,33.72,34.37,12372600.0
2020-10-20,32.03,33.04,31.59,32.5,3363100.0
2020-10-19,32.18,32.46,31.55,31.75,1969800.0
2020-10-16,32.82,32.82,31.75,32.15,2666300.0
2020-10-15,32.44,32.94,32.02,32.83,2877800.0
2020-10-14,31.75,34.12,31.67,32.87,5340000.0
