date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,25.43,26.19,25.37,25.6,5532500.0
2021-05-12,25.89,26.38,25.26,25.4,5231300.0
2021-05-11,26.96,27.1,26.51,26.83,5059300.0
2021-05-10,26.99,27.39,26.62,27.39,4415100.0
2021-05-07,26.42,27.13,26.27,26.99,6025500.0
2021-05-06,26.55,26.66,26.05,26.4,4383500.0
2021-05-05,26.3,26.77,26.3,26.62,3350100.0
2021-05-04,26.7,26.78,26.19,26.39,4538300.0
2021-05-03,26.01,27.07,25.97,26.7,7951900.0
2021-04-30,25.04,26.63,25.04,26.3,9478400.0
2021-04-29,25.6,25.6,25.11,25.29,6004300.0
2021-04-28,24.52,25.68,24.49,25.6,5713300.0
2021-04-27,24.38,24.7,24.29,24.55,4059300.0
2021-04-26,25.05,25.05,24.31,24.37,2985000.0
2021-04-23,25.02,25.27,24.79,24.92,4240200.0
2021-04-22,25.12,25.12,24.7,24.75,3562900.0
2021-04-20,24.63,25.28,24.61,24.84,3595200.0
2021-04-19,24.43,25.2,24.31,24.89,5801200.0
2021-04-16,24.9,24.95,24.51,24.75,3617900.0
2021-04-15,24.63,25.0,24.56,24.96,3186700.0
2021-04-14,25.0,25.09,24.58,24.78,4567000.0
2021-04-13,24.3,24.98,24.28,24.87,5486600.0
2021-04-12,24.31,24.62,24.24,24.6,4927900.0
2021-04-09,24.35,24.65,24.09,24.15,4362900.0
2021-04-08,24.26,24.85,24.26,24.64,3581800.0
2021-04-07,24.58,24.7,23.94,24.25,5361900.0
2021-04-06,24.86,24.9,24.5,24.56,8170400.0
2021-04-05,24.54,25.05,24.5,24.75,4718600.0
2021-04-01,25.22,25.35,24.41,24.49,4461000.0
2021-03-31,25.6,25.78,25.03,25.06,6446100.0
2021-03-30,25.15,26.0,25.05,25.74,8884500.0
2021-03-29,24.79,25.67,24.67,25.42,4720500.0
2021-03-26,24.5,25.21,24.14,24.85,5346200.0
2021-03-25,24.83,25.38,24.73,25.03,8036500.0
2021-03-24,25.84,26.03,24.84,25.06,6718400.0
2021-03-23,25.62,26.5,25.62,25.96,3749800.0
2021-03-22,25.57,26.11,25.47,26.07,3980400.0
2021-03-19,25.61,26.0,25.48,25.87,7934200.0
2021-03-18,25.43,25.88,25.02,25.61,4582800.0
2021-03-17,25.56,25.68,24.87,25.64,6586700.0
2021-03-16,24.96,25.84,24.72,25.84,7773000.0
2021-03-15,23.89,25.03,23.75,24.95,5011100.0
2021-03-12,23.7,24.19,23.66,24.19,4050500.0
2021-03-11,24.45,24.46,23.83,24.06,5198600.0
2021-03-10,23.36,24.48,23.25,24.35,12955400.0
2021-03-09,22.25,23.27,22.06,23.0,8458200.0
2021-03-08,23.23,23.5,22.28,22.28,6207000.0
2021-03-05,23.61,23.88,22.76,23.72,10058400.0
2021-03-04,23.47,23.77,23.04,23.6,9039300.0
2021-03-03,22.95,23.51,22.33,23.21,12359800.0
2021-03-02,22.1,23.11,22.05,22.88,10291400.0
2021-03-01,23.45,23.61,22.72,22.78,4983800.0
2021-02-26,23.98,24.04,23.17,23.23,10029800.0
2021-02-25,24.55,24.67,23.75,23.85,7366400.0
2021-02-24,24.85,24.85,24.43,24.59,5824900.0
2021-02-23,24.14,24.9,24.08,24.9,5530400.0
2021-02-22,24.49,24.9,24.22,24.53,7587500.0
2021-02-19,24.92,25.26,24.63,25.05,6465800.0
2021-02-18,24.73,25.01,24.56,24.78,14392100.0
2021-02-17,25.0,25.68,24.51,25.04,8478400.0
2021-02-12,25.97,25.99,25.46,25.88,3213400.0
2021-02-11,25.6,25.99,25.52,25.98,3528900.0
2021-02-10,25.62,25.69,25.1,25.45,3588500.0
2021-02-09,25.35,25.87,25.18,25.61,4428700.0
2021-02-08,25.31,25.67,24.81,25.36,7101100.0
2021-02-05,24.99,25.27,24.71,25.25,3651400.0
2021-02-04,25.43,25.44,24.62,24.88,3438200.0
2021-02-03,25.48,25.72,25.16,25.44,3977700.0
2021-02-02,25.4,25.77,25.06,25.27,5735300.0
2021-02-01,25.25,25.28,24.61,25.03,6234000.0
2021-01-29,25.1,25.35,24.69,24.92,5129200.0
2021-01-28,25.15,25.55,25.01,25.35,3254700.0
2021-01-27,25.98,26.16,25.06,25.17,4596600.0
2021-01-26,25.13,26.2,24.99,25.87,6119000.0
2021-01-22,25.21,25.59,24.75,25.04,6378300.0
2021-01-21,26.25,26.43,25.31,25.47,8437900.0
2021-01-20,26.94,27.01,26.14,26.21,3024800.0
2021-01-19,27.04,27.3,26.57,26.8,5279200.0
2021-01-18,26.11,27.25,26.11,26.96,5567700.0
2021-01-15,25.33,26.33,25.17,26.04,6948700.0
2021-01-14,25.19,25.95,25.04,25.89,6509500.0
2021-01-13,25.26,25.29,24.64,25.08,7253600.0
2021-01-12,24.68,25.38,24.66,25.08,4861500.0
2021-01-11,24.63,25.14,24.56,24.64,4945400.0
2021-01-08,24.13,25.1,24.02,24.77,5950100.0
2021-01-07,24.3,24.48,24.01,24.07,4990400.0
2021-01-06,25.0,25.0,24.19,24.19,4006400.0
2021-01-05,24.97,25.16,24.5,24.96,4471400.0
2021-01-04,25.23,25.36,24.8,25.03,4321100.0
2020-12-30,25.42,25.62,25.04,25.04,3801300.0
2020-12-29,25.27,25.45,25.04,25.3,2265200.0
2020-12-28,25.04,25.36,24.69,25.21,2438900.0
2020-12-23,25.45,25.57,24.65,24.95,3264700.0
2020-12-22,24.83,25.48,24.82,25.38,2058000.0
2020-12-21,25.15,25.5,24.8,24.9,4228300.0
2020-12-18,25.9,25.95,25.24,25.53,4867500.0
2020-12-17,25.22,25.9,25.14,25.9,3835500.0
2020-12-16,25.16,25.45,24.83,25.45,6343100.0
2020-12-15,25.12,25.19,24.53,25.19,4994800.0
2020-12-14,24.88,25.19,24.67,25.12,3561700.0
2020-12-11,24.5,24.96,24.22,24.8,4106900.0
2020-12-10,24.35,24.78,24.13,24.59,8846300.0
2020-12-09,24.44,24.44,24.01,24.25,6116900.0
2020-12-08,24.1,24.5,23.95,24.25,4883000.0
2020-12-07,24.76,24.78,23.9,24.17,4182800.0
2020-12-04,24.53,24.96,24.43,24.61,5369800.0
2020-12-03,24.44,24.81,24.13,24.31,6786600.0
2020-12-02,24.99,25.38,24.21,24.33,8387300.0
2020-12-01,26.07,26.11,24.7,24.98,11323600.0
2020-11-30,25.71,26.12,25.47,25.85,9711000.0
2020-11-27,25.45,25.98,25.25,25.68,3701000.0
2020-11-26,25.57,25.94,25.0,25.35,4015800.0
2020-11-25,25.71,26.23,25.61,25.63,4873100.0
2020-11-24,26.33,26.44,25.67,25.7,4978700.0
2020-11-23,26.84,26.9,26.11,26.32,5107900.0
2020-11-20,25.8,27.0,25.42,26.65,11738300.0
2020-11-19,26.33,26.47,25.86,25.86,4857500.0
2020-11-18,26.56,26.74,25.94,26.07,5767400.0
2020-11-17,26.99,27.32,26.47,26.47,6519900.0
2020-11-16,27.27,27.34,26.61,27.03,4840000.0
2020-11-13,25.7,27.07,25.52,27.03,9069800.0
2020-11-12,26.06,26.33,25.21,25.33,7308300.0
2020-11-11,25.56,26.14,25.42,26.05,4571000.0
2020-11-10,25.11,26.0,25.09,25.59,5295500.0
2020-11-09,26.38,26.49,25.09,25.17,5846700.0
2020-11-06,25.41,25.75,24.94,25.31,3919400.0
2020-11-05,25.1,25.87,24.57,25.58,6595100.0
2020-11-04,23.75,24.72,23.69,24.49,3890300.0
2020-11-03,24.5,24.5,23.35,23.5,8565900.0
2020-10-30,24.25,24.71,23.93,24.06,6790100.0
2020-10-29,24.17,24.67,23.82,24.39,5492900.0
2020-10-28,25.39,25.39,23.91,24.2,12397100.0
2020-10-27,25.59,26.46,25.51,26.08,6819600.0
2020-10-26,25.76,26.19,25.42,25.57,4914900.0
2020-10-23,25.85,26.12,25.6,25.68,4405400.0
2020-10-22,26.16,26.46,25.64,25.64,7848900.0
2020-10-21,26.0,26.65,26.0,26.16,5365700.0
2020-10-20,25.53,26.34,25.5,26.2,5919600.0
2020-10-19,26.06,26.26,25.07,25.29,7863400.0
2020-10-16,26.05,26.41,25.88,25.91,6627000.0
2020-10-15,26.13,26.26,25.62,25.99,9156400.0
2020-10-14,25.75,26.6,25.69,26.39,7537500.0
2020-10-13,25.31,25.85,25.15,25.69,7688900.0
2020-10-09,25.24,25.78,25.08,25.25,5427100.0
2020-10-08,25.05,25.43,25.0,25.32,5129300.0
2020-10-07,24.65,25.57,24.5,24.91,9302600.0
2020-10-06,24.63,24.95,24.42,24.64,6102700.0
2020-10-05,23.9,24.65,23.69,24.56,7786100.0
2020-10-02,23.89,24.22,23.62,23.9,5993500.0
2020-10-01,23.8,24.15,23.47,24.09,7998200.0
2020-09-30,22.26,23.84,22.05,23.42,12490800.0
2020-09-29,21.9,22.11,21.5,21.93,9694600.0
2020-09-28,23.16,23.25,21.8,22.12,8389800.0
2020-09-25,23.39,23.46,22.92,23.05,3359100.0
2020-09-24,22.95,23.63,22.43,23.4,5732400.0
2020-09-23,23.02,23.15,22.76,22.83,4877000.0
2020-09-22,22.91,23.29,22.79,23.11,5578700.0
2020-09-21,23.09,23.24,22.53,22.86,7239800.0
2020-09-18,114.03,116.95,114.0,115.47,1828400.0
2020-09-17,114.0,115.18,113.71,114.0,833800.0
2020-09-16,115.9,117.6,113.5,114.31,1473600.0
2020-09-15,113.94,115.44,113.68,113.98,700800.0
