date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,20.39,21.15,20.38,20.85,5878800.0
2021-05-12,20.9,20.97,20.2,20.21,8207600.0
2021-05-11,21.18,21.29,20.94,21.2,6860000.0
2021-05-10,21.14,21.55,21.08,21.43,8415600.0
2021-05-07,20.75,21.39,20.7,21.34,6466800.0
2021-05-06,20.76,20.83,20.45,20.7,3172800.0
2021-05-05,20.88,20.94,20.55,20.85,3905200.0
2021-05-04,20.62,21.02,20.54,20.68,8153400.0
2021-05-03,20.02,20.9,19.81,20.87,17465900.0
2021-04-30,20.45,20.79,19.67,20.0,22467500.0
2021-04-29,20.7,20.76,20.36,20.57,4495800.0
2021-04-28,20.44,20.77,20.33,20.74,5050100.0
2021-04-27,20.69,20.88,20.25,20.42,6555100.0
2021-04-26,21.09,21.4,20.54,20.68,5814600.0
2021-04-23,20.89,21.35,20.82,21.06,11353500.0
2021-04-22,20.82,21.09,20.46,20.8,7949000.0
2021-04-20,20.72,21.04,20.71,20.77,6554200.0
2021-04-19,21.11,21.29,20.74,20.81,10582000.0
2021-04-16,20.61,21.24,20.56,21.01,14729400.0
2021-04-15,20.25,20.76,20.22,20.6,10901400.0
2021-04-14,20.16,20.51,20.03,20.35,9504000.0
2021-04-13,20.4,20.43,19.86,20.28,8422700.0
2021-04-12,20.37,20.6,20.19,20.48,4628100.0
2021-04-09,20.27,20.45,20.16,20.31,3522600.0
2021-04-08,20.4,20.75,20.26,20.45,8851500.0
2021-04-07,20.93,20.93,20.19,20.25,6565600.0
2021-04-06,20.72,20.96,20.26,20.93,8152000.0
2021-04-05,20.3,20.89,20.25,20.74,6377500.0
2021-04-01,20.2,20.37,20.01,20.16,3873100.0
2021-03-31,20.05,20.34,19.9,20.25,10935000.0
2021-03-30,19.75,20.27,19.75,20.12,8128600.0
2021-03-29,19.6,20.11,19.5,19.93,5683900.0
2021-03-26,19.76,20.18,19.58,19.7,7388100.0
2021-03-25,19.42,19.99,19.14,19.8,13264800.0
2021-03-24,19.81,20.09,19.59,19.61,7590700.0
2021-03-23,20.34,20.37,19.77,19.98,4512800.0
2021-03-22,20.45,20.74,20.23,20.4,4991100.0
2021-03-19,20.25,20.98,20.17,20.77,15085600.0
2021-03-18,20.08,20.68,19.9,20.27,14354500.0
2021-03-17,19.17,20.57,19.17,20.57,13073900.0
2021-03-16,19.67,19.96,19.13,19.2,9140600.0
2021-03-15,19.7,20.06,19.37,20.06,7364500.0
2021-03-12,19.46,19.71,19.08,19.71,8929200.0
2021-03-11,18.67,19.81,18.47,19.81,16843300.0
2021-03-10,18.71,18.76,18.28,18.52,14515500.0
2021-03-09,18.74,18.92,18.28,18.43,16617900.0
2021-03-08,19.98,20.07,18.55,18.7,16425200.0
2021-03-05,19.94,20.84,19.8,20.31,23493500.0
2021-03-04,18.71,20.0,18.54,19.85,21698200.0
2021-03-03,18.16,18.69,17.43,18.49,14038100.0
2021-03-02,17.95,18.48,17.51,18.3,13410700.0
2021-03-01,18.13,18.73,18.07,18.08,11907300.0
2021-02-26,18.67,18.73,18.1,18.1,17810500.0
2021-02-25,19.26,19.43,18.46,18.65,14700800.0
2021-02-24,19.5,19.6,19.04,19.25,9479700.0
2021-02-23,19.14,19.54,18.97,19.46,14790600.0
2021-02-22,18.97,19.35,18.36,19.09,19324200.0
