date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,59.17,59.88,58.43,58.79,4472800.0
2021-05-12,61.6,62.23,58.0,58.3,8649100.0
2021-05-11,62.29,62.9,61.45,62.84,4292700.0
2021-05-10,63.29,63.29,62.31,62.95,3265400.0
2021-05-07,62.11,63.33,61.76,63.21,3023500.0
2021-05-06,61.9,62.07,61.05,61.77,4091000.0
2021-05-05,63.06,63.39,61.0,61.6,6077600.0
2021-05-04,62.2,62.83,60.9,62.74,17727100.0
2021-05-03,64.8,65.28,62.51,64.11,5759900.0
2021-04-30,62.3,64.55,62.3,64.3,8324400.0
2021-04-29,63.22,63.68,62.48,63.37,3326300.0
2021-04-28,61.46,63.24,60.85,63.12,4662400.0
2021-04-27,61.85,62.34,60.5,61.04,2835200.0
2021-04-26,62.02,62.2,60.88,61.92,2436800.0
2021-04-23,60.87,62.37,60.81,61.7,4863900.0
2021-04-22,62.89,62.89,60.35,60.87,3778900.0
2021-04-20,62.14,62.85,61.24,61.78,4964700.0
2021-04-19,64.18,64.3,61.56,62.44,4836200.0
2021-04-16,64.14,64.81,62.85,64.18,5079800.0
2021-04-15,63.62,64.5,62.78,63.6,3652300.0
2021-04-14,63.43,64.1,62.78,63.65,3875100.0
2021-04-13,63.28,63.44,62.02,63.2,3681200.0
2021-04-12,63.19,63.44,62.47,62.98,2917100.0
2021-04-09,63.28,63.68,62.51,62.99,2715400.0
2021-04-08,62.54,63.9,62.02,63.6,4506500.0
2021-04-07,61.95,62.99,61.5,62.4,3052600.0
2021-04-06,61.75,62.99,61.32,62.36,3371200.0
2021-04-05,61.08,62.19,60.38,61.53,3863100.0
2021-04-01,59.92,60.62,58.9,60.04,5678500.0
2021-03-31,60.05,60.84,58.73,59.73,4987300.0
2021-03-30,57.29,59.89,57.15,59.8,4559900.0
2021-03-29,57.37,58.24,56.95,57.55,4599900.0
2021-03-26,56.26,57.75,55.78,57.43,6896000.0
2021-03-25,55.0,57.33,54.53,56.8,6364100.0
2021-03-24,56.98,57.25,54.77,55.13,4399800.0
2021-03-23,57.78,57.78,55.9,56.55,4903000.0
2021-03-22,58.12,59.26,57.25,57.84,3281800.0
2021-03-19,57.77,60.0,57.55,59.3,7295900.0
2021-03-18,58.26,59.32,57.44,57.75,3783800.0
2021-03-17,57.2,59.99,56.9,59.78,4765700.0
2021-03-16,59.05,59.72,56.78,58.0,4938100.0
2021-03-15,59.2,60.52,58.58,59.34,4994700.0
2021-03-12,59.01,59.9,58.05,59.5,3591800.0
2021-03-11,57.69,60.09,56.32,59.55,8668400.0
2021-03-10,56.07,56.7,54.61,56.54,5707300.0
2021-03-09,55.21,57.16,54.34,55.58,7416000.0
2021-03-08,58.88,59.47,54.33,55.12,10642300.0
2021-03-05,61.0,61.17,58.41,60.83,6227700.0
2021-03-04,59.4,62.24,58.49,60.92,9834300.0
2021-03-03,58.27,59.41,55.46,58.82,8915200.0
2021-03-02,57.5,60.02,56.38,58.6,9528900.0
2021-03-01,57.94,60.81,57.58,59.16,6407400.0
2021-02-26,61.26,61.26,57.16,58.0,10216100.0
2021-02-25,60.59,61.73,59.2,59.86,7294000.0
2021-02-24,61.62,62.59,60.29,60.54,5663000.0
2021-02-23,61.4,61.5,60.13,61.3,6982200.0
2021-02-22,63.39,63.5,60.35,61.09,12226400.0
2021-02-19,64.53,65.11,63.6,65.1,4343800.0
2021-02-18,66.06,66.27,63.79,64.61,6042600.0
2021-02-17,65.37,66.8,65.26,65.91,4610100.0
2021-02-12,65.95,67.61,65.69,66.9,2758100.0
2021-02-11,68.44,68.44,66.01,66.96,2762500.0
2021-02-10,68.53,68.82,66.31,67.35,4584200.0
2021-02-09,68.87,69.56,67.65,68.52,2419100.0
2021-02-08,69.21,70.49,67.86,69.26,3250300.0
2021-02-05,70.48,70.48,68.53,68.87,3096200.0
2021-02-04,68.37,69.74,68.02,69.6,4946200.0
2021-02-03,67.82,68.95,66.88,68.8,5870800.0
2021-02-02,65.23,67.68,65.02,67.51,7270200.0
2021-02-01,64.79,65.66,63.73,63.95,5408800.0
2021-01-29,66.36,66.84,63.26,63.88,7365700.0
2021-01-28,65.0,67.67,64.96,67.24,6125700.0
2021-01-27,65.75,66.67,64.45,64.88,4145800.0
2021-01-26,67.78,68.47,65.25,65.96,6573200.0
2021-01-22,66.88,67.74,66.46,67.51,4766600.0
2021-01-21,69.91,69.99,66.91,67.91,5758300.0
2021-01-20,69.05,70.19,67.9,69.57,3420600.0
2021-01-19,71.29,71.31,67.61,68.8,6896000.0
2021-01-18,71.34,71.67,70.0,70.69,4309600.0
2021-01-15,72.4,73.04,67.25,70.71,10695400.0
2021-01-14,71.45,73.93,70.55,73.93,5616100.0
2021-01-13,71.21,72.2,70.13,71.05,4906200.0
2021-01-12,70.35,71.2,68.54,71.08,4433700.0
2021-01-11,70.35,72.28,68.9,69.62,5972000.0
2021-01-08,67.0,71.59,66.43,71.0,9387100.0
2021-01-07,63.58,67.09,63.18,66.51,6248000.0
2021-01-06,67.33,67.6,63.24,63.71,8018200.0
2021-01-05,67.85,68.16,66.15,67.38,3696600.0
2021-01-04,69.64,69.64,66.82,67.78,3797800.0
2020-12-30,67.5,69.29,67.36,68.95,5101500.0
2020-12-29,67.37,67.67,66.7,67.06,2177800.0
2020-12-28,67.38,67.38,65.85,66.7,3213700.0
2020-12-23,65.3,66.9,64.92,66.6,3275700.0
2020-12-22,66.35,66.97,64.35,64.88,3341100.0
2020-12-21,65.7,67.0,64.02,65.74,3158100.0
2020-12-18,67.06,67.56,65.54,66.71,6336900.0
2020-12-17,65.8,67.94,65.31,67.13,4949400.0
2020-12-16,64.6,65.96,63.81,65.96,4614300.0
2020-12-15,63.59,65.15,62.59,64.7,4452900.0
2020-12-14,64.11,64.42,63.03,63.29,2222000.0
2020-12-11,63.12,63.93,62.5,63.7,3128400.0
2020-12-10,64.15,64.52,62.21,63.53,5253100.0
2020-12-09,65.88,66.85,63.05,63.87,7174900.0
2020-12-08,64.76,65.96,64.75,65.96,4154900.0
2020-12-07,67.0,67.13,64.4,64.96,4751000.0
2020-12-04,68.24,68.72,66.61,67.02,4318100.0
2020-12-03,65.73,69.05,65.34,68.09,4739800.0
2020-12-02,65.45,65.99,64.28,65.57,4187300.0
2020-12-01,67.95,67.99,65.33,65.45,5250600.0
2020-11-30,66.43,69.14,65.7,67.22,7414100.0
2020-11-27,65.29,67.3,64.84,66.44,3830100.0
2020-11-26,65.16,66.26,64.86,65.44,2762900.0
2020-11-25,65.51,66.5,64.59,65.75,3004000.0
2020-11-24,65.51,66.07,64.85,65.6,2950500.0
2020-11-23,65.85,66.08,64.86,65.36,2311000.0
2020-11-20,65.75,66.17,64.62,65.29,2522200.0
2020-11-19,64.22,65.93,62.9,65.48,3848900.0
2020-11-18,65.95,66.19,63.95,64.49,6218200.0
2020-11-17,66.68,67.41,65.61,66.0,4716300.0
2020-11-16,67.66,68.04,65.15,66.82,3522100.0
2020-11-13,65.99,67.25,65.7,67.0,4295000.0
2020-11-12,67.0,67.03,64.2,65.45,4307400.0
2020-11-11,65.45,68.1,65.27,66.22,4449500.0
2020-11-10,66.11,68.37,66.01,66.32,6795500.0
2020-11-09,69.0,70.0,65.5,66.1,7994100.0
2020-11-06,67.34,68.16,66.86,68.0,4779200.0
2020-11-05,67.38,68.59,66.9,67.88,5554700.0
2020-11-04,64.3,66.95,64.17,66.3,5292200.0
2020-11-03,61.89,64.32,61.78,63.77,7247200.0
2020-10-30,62.1,62.46,60.35,60.68,6364100.0
2020-10-29,61.93,62.76,60.87,62.56,6227800.0
2020-10-28,64.57,64.57,62.09,62.55,8267400.0
2020-10-27,63.98,66.22,63.34,64.57,9730600.0
2020-10-26,62.6,63.31,61.81,62.89,2370900.0
2020-10-23,64.0,64.57,61.95,62.56,4773100.0
2020-10-22,62.9,64.19,62.5,64.0,4489100.0
2020-10-21,64.35,65.23,62.54,62.89,5385000.0
2020-10-20,62.35,64.9,62.19,64.47,5368900.0
2020-10-19,62.58,63.5,61.62,61.68,3308200.0
2020-10-16,62.01,62.84,61.43,62.27,4739700.0
2020-10-15,60.65,63.07,60.07,62.38,6406400.0
2020-10-14,59.38,61.75,59.27,61.69,4794300.0
2020-10-13,60.12,60.65,58.78,59.37,4711400.0
2020-10-09,59.57,61.1,59.09,60.15,6139900.0
2020-10-08,57.14,59.97,57.07,59.96,6496800.0
2020-10-07,57.35,57.85,55.87,56.89,4733900.0
2020-10-06,57.75,58.46,56.8,57.31,4303300.0
2020-10-05,56.99,57.68,56.13,57.25,3271900.0
2020-10-02,56.8,58.2,56.5,56.7,4220800.0
2020-10-01,56.4,57.33,55.25,57.12,4265500.0
2020-09-30,57.19,58.02,56.16,56.67,5317500.0
2020-09-29,56.8,57.19,55.36,56.79,5866200.0
2020-09-28,59.01,59.19,56.53,56.65,7326300.0
2020-09-25,57.3,59.0,57.0,59.0,5409600.0
2020-09-24,58.6,59.15,57.36,57.99,7764600.0
2020-09-23,59.9,60.29,57.19,58.97,31140900.0
2020-09-22,50.86,51.96,50.58,51.74,2340700.0
2020-09-21,51.8,52.1,49.98,50.81,8952400.0
2020-09-18,52.58,53.39,52.18,52.7,5771300.0
2020-09-17,52.13,53.2,52.09,52.95,3082300.0
2020-09-16,53.1,53.4,52.5,52.68,3076300.0
2020-09-15,52.98,53.31,52.04,52.82,4851000.0
2020-09-14,51.02,53.0,50.98,52.83,4161800.0
2020-09-11,52.16,52.5,50.3,50.54,5544500.0
2020-09-10,54.8,54.8,51.7,51.92,8692800.0
2020-09-09,54.07,55.47,53.11,54.87,7801600.0
2020-09-08,50.04,54.1,49.87,53.73,10104400.0
2020-09-04,51.05,52.12,48.85,50.75,5370900.0
2020-09-03,51.05,52.09,50.4,50.69,4689400.0
2020-09-02,50.34,51.27,49.74,51.05,5369400.0
2020-09-01,48.65,50.49,48.53,50.4,5414800.0
2020-08-31,49.09,49.74,48.23,48.23,6844700.0
2020-08-28,49.11,50.74,48.85,50.0,4475300.0
2020-08-27,48.5,49.36,48.15,49.11,3102300.0
2020-08-26,48.9,49.58,47.04,48.42,4269000.0
2020-08-25,49.04,49.95,48.83,49.17,2388800.0
2020-08-24,49.02,49.41,48.23,49.04,3430000.0
2020-08-21,49.66,49.73,48.48,48.97,4398000.0
2020-08-20,47.6,50.05,47.4,49.94,9600000.0
2020-08-19,49.25,49.69,48.47,49.01,3410800.0
2020-08-18,48.7,50.01,48.39,49.6,5101700.0
2020-08-17,49.85,49.92,46.39,47.72,10235100.0
2020-08-14,49.11,50.1,48.81,49.58,5493100.0
2020-08-13,50.51,52.44,48.96,49.02,11666900.0
2020-08-12,51.19,51.42,49.5,50.45,4855800.0
2020-08-11,51.4,52.34,50.7,50.79,3999500.0
2020-08-10,51.07,51.7,50.33,50.91,3379100.0
2020-08-07,50.63,52.53,50.58,50.81,8078500.0
2020-08-06,51.07,52.57,51.02,51.63,5132300.0
2020-08-05,50.91,51.9,50.5,51.01,8038700.0
2020-08-04,50.15,51.9,49.19,49.9,9478300.0
2020-08-03,51.11,52.14,49.62,50.29,10175300.0
2020-07-31,49.39,53.0,49.33,50.92,29133800.0
2020-07-30,46.29,50.69,45.8,49.96,32136200.0
2020-07-29,45.4,45.54,44.71,45.07,5034100.0
2020-07-28,44.96,45.35,44.5,44.89,7210300.0
2020-07-27,44.72,46.49,44.72,45.41,6373900.0
2020-07-24,46.2,46.54,44.32,44.7,7138700.0
2020-07-23,46.74,48.07,45.14,45.88,8089900.0
2020-07-22,46.94,47.45,45.91,46.39,7854300.0
2020-07-21,46.48,47.62,46.23,46.89,5572800.0
2020-07-20,45.95,46.74,45.65,46.21,5559900.0
2020-07-17,44.77,46.34,44.34,45.95,6314700.0
2020-07-16,44.28,44.7,43.8,44.59,3169000.0
2020-07-15,44.25,45.18,44.01,44.74,4539200.0
2020-07-14,42.1,44.26,41.75,43.9,6450600.0
2020-07-13,43.61,43.95,41.94,42.1,4600900.0
2020-07-10,42.88,43.89,42.74,43.54,3548300.0
2020-07-09,44.6,44.7,42.86,43.33,5200300.0
2020-07-08,44.3,45.22,43.82,44.42,6039500.0
2020-07-07,43.37,44.54,43.08,44.01,6948200.0
2020-07-06,43.54,43.76,42.51,43.25,5965100.0
2020-07-03,42.24,42.85,41.83,42.7,2493900.0
2020-07-02,43.23,43.34,41.96,42.39,5023900.0
2020-07-01,40.75,42.82,40.61,42.35,7183700.0
2020-06-30,40.72,41.66,40.42,40.91,5969100.0
2020-06-29,40.5,41.5,40.22,41.21,3952400.0
2020-06-26,41.23,42.0,40.07,40.25,6447900.0
2020-06-25,41.33,42.11,40.91,41.45,3984000.0
2020-06-24,41.07,42.46,40.36,40.98,5925400.0
2020-06-23,41.8,42.29,41.37,41.76,4101600.0
2020-06-22,42.49,42.49,41.1,41.24,4768300.0
2020-06-19,42.01,42.48,41.4,41.9,12599400.0
2020-06-18,40.52,41.73,40.3,41.21,4229300.0
2020-06-17,39.5,41.83,39.32,40.83,9348300.0
2020-06-16,42.0,42.27,39.93,40.17,6922500.0
2020-06-15,39.49,41.68,38.57,40.7,8155000.0
2020-06-12,39.51,40.84,38.9,40.29,10876000.0
2020-06-10,43.49,43.72,40.64,41.1,7164100.0
2020-06-09,41.97,43.42,40.8,42.9,5170800.0
2020-06-08,41.11,43.44,40.7,43.2,7950600.0
2020-06-05,41.4,41.97,39.91,40.84,11374500.0
2020-06-04,40.9,40.9,39.1,40.0,10288600.0
2020-06-03,39.59,41.54,39.06,41.02,13755700.0
2020-06-02,38.1,39.39,37.46,38.25,9648600.0
2020-06-01,38.4,38.95,37.31,37.61,9671900.0
2020-05-29,37.31,38.48,35.85,38.48,10091300.0
2020-05-28,39.18,39.53,37.14,37.32,8751900.0
2020-05-27,37.12,39.57,37.12,39.1,8222000.0
2020-05-26,37.0,38.12,36.13,36.88,7419500.0
2020-05-25,37.36,38.18,36.45,36.7,6342900.0
2020-05-22,35.8,36.86,35.14,36.19,8298500.0
2020-05-21,35.59,37.75,35.44,36.29,11848600.0
2020-05-20,35.45,36.36,34.87,35.3,10812900.0
2020-05-19,33.51,36.05,32.9,35.07,16635800.0
2020-05-18,31.11,33.91,31.03,33.51,13666700.0
2020-05-15,28.98,31.0,28.24,30.2,24826000.0
2020-05-14,27.01,29.29,26.31,29.29,13762400.0
2020-05-13,27.6,28.28,26.67,27.31,9359700.0
2020-05-12,28.45,29.2,27.51,27.51,18589000.0
2020-05-11,29.32,29.72,27.85,28.1,14057100.0
