date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,12.4,12.97,11.74,12.09,85900.0
2021-05-12,13.05,13.2,12.3,12.36,159500.0
2021-05-11,12.49,13.14,12.26,12.89,128400.0
2021-05-10,12.0,12.88,11.92,12.7,118900.0
2021-05-07,11.71,12.4,11.68,11.9,117800.0
2021-05-06,12.35,12.42,11.7,11.7,148300.0
2021-05-05,12.42,12.84,12.11,12.12,108700.0
2021-05-04,12.0,12.9,11.98,12.41,209500.0
2021-05-03,11.76,12.0,11.2,11.8,108900.0
2021-04-30,11.97,12.46,11.57,11.64,61100.0
2021-04-29,12.4,12.6,11.9,11.99,126800.0
2021-04-28,12.29,12.63,11.82,12.41,114400.0
2021-04-27,13.0,13.47,11.74,12.13,422600.0
2021-04-26,12.01,13.3,12.01,13.23,273400.0
2021-04-23,11.0,11.99,10.55,11.99,183500.0
2021-04-22,10.92,11.3,10.38,10.7,217400.0
2021-04-20,9.91,11.14,9.74,10.94,477600.0
2021-04-19,9.78,9.91,9.53,9.84,62100.0
2021-04-16,9.53,9.86,9.53,9.66,39200.0
2021-04-15,9.52,9.79,9.52,9.61,33900.0
2021-04-14,9.8,10.17,9.32,9.6,297500.0
2021-04-13,9.88,9.91,9.55,9.89,91300.0
2021-04-12,9.74,10.05,9.65,9.79,54700.0
2021-04-09,9.6,9.75,9.3,9.66,119500.0
2021-04-08,9.62,9.8,9.34,9.6,92100.0
2021-04-07,9.86,10.0,9.45,9.5,85100.0
2021-04-06,9.71,10.22,9.6,9.87,100000.0
2021-04-05,9.64,9.9,9.59,9.67,121000.0
2021-04-01,9.75,9.83,9.46,9.63,26800.0
2021-03-31,9.73,9.95,9.51,9.75,71500.0
2021-03-30,9.35,9.89,9.11,9.83,203900.0
2021-03-29,9.27,9.45,9.0,9.43,118600.0
2021-03-26,9.61,9.79,9.32,9.35,120000.0
2021-03-25,9.6,9.84,9.27,9.73,134200.0
2021-03-24,9.66,10.09,9.32,9.6,94000.0
2021-03-23,10.19,10.19,9.66,9.66,110500.0
2021-03-22,10.36,10.36,9.89,10.0,117500.0
2021-03-19,9.96,10.68,9.83,10.21,412900.0
2021-03-18,11.24,11.45,9.5,9.84,900200.0
