date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,19.87,20.23,19.87,20.1,2734900.0
2021-05-12,20.22,20.33,19.74,19.76,4576900.0
2021-05-11,20.5,20.73,20.38,20.38,1518900.0
2021-05-10,20.78,20.79,20.31,20.55,1735700.0
2021-05-07,20.49,20.66,20.37,20.64,905600.0
2021-05-06,20.34,20.59,20.25,20.3,1433400.0
2021-05-05,20.7,20.7,20.27,20.41,1644900.0
2021-05-04,20.93,21.06,20.5,20.52,1626200.0
2021-05-03,21.24,21.5,20.8,20.8,2380000.0
2021-04-30,21.3,21.53,21.0,21.1,3994100.0
2021-04-29,21.11,21.5,20.99,21.44,1575100.0
2021-04-28,20.95,21.14,20.78,21.08,1166500.0
2021-04-27,21.45,21.48,20.85,20.85,1548800.0
2021-04-26,21.72,21.82,21.31,21.42,1176500.0
2021-04-23,21.6,21.7,21.24,21.62,1564300.0
2021-04-22,21.93,21.99,21.38,21.43,1540800.0
2021-04-20,21.08,21.95,21.05,21.83,2839300.0
2021-04-19,21.32,21.5,21.03,21.12,1970600.0
2021-04-16,20.64,21.33,20.64,21.3,3296800.0
2021-04-15,21.15,21.3,20.77,20.77,3851000.0
2021-04-14,21.09,21.12,20.73,20.77,1934100.0
2021-04-13,21.14,21.14,20.94,21.11,1309500.0
2021-04-12,21.26,21.35,21.05,21.16,1425300.0
2021-04-09,21.06,21.4,21.06,21.25,2001100.0
2021-04-08,21.52,21.52,20.97,21.13,2568200.0
2021-04-07,21.65,21.85,21.3,21.4,1834700.0
2021-04-06,21.7,21.88,21.61,21.64,1311400.0
2021-04-05,22.21,22.29,21.67,21.67,1656600.0
2021-04-01,21.67,22.22,21.67,22.19,2701500.0
2021-03-31,22.21,22.37,21.63,22.0,3259300.0
2021-03-30,21.94,22.28,21.89,22.2,1444700.0
2021-03-29,22.03,22.2,21.77,21.94,1000600.0
2021-03-26,22.54,22.57,21.92,22.1,1454500.0
2021-03-25,21.86,22.67,21.44,22.41,2200800.0
2021-03-24,22.01,22.35,21.75,21.85,1954900.0
2021-03-23,21.8,22.11,21.73,21.94,1620800.0
2021-03-22,22.23,22.32,21.75,21.8,1913300.0
2021-03-19,21.89,22.53,21.74,22.23,3021700.0
2021-03-18,21.64,22.07,21.45,21.9,2632600.0
2021-03-17,20.95,21.69,20.63,21.69,2972200.0
2021-03-16,21.37,21.37,20.6,21.0,2926700.0
2021-03-15,21.25,21.47,21.02,21.29,3226300.0
2021-03-12,20.99,21.1,20.64,20.91,1778100.0
2021-03-11,20.35,21.08,20.22,20.93,2153800.0
