date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,35.54,35.61,33.64,33.64,4929800.0
2021-09-06,35.55,36.05,35.4,35.6,1255400.0
2021-09-03,36.52,36.53,35.37,35.6,6386200.0
2021-09-02,36.24,36.8,35.74,36.49,2806400.0
2021-09-01,35.93,36.9,35.78,36.46,2497300.0
2021-08-31,36.69,36.74,35.38,36.13,5890500.0
2021-08-30,36.72,36.83,36.3,36.66,1441700.0
2021-08-27,36.13,37.27,35.99,37.02,4379300.0
2021-08-26,36.05,36.94,35.86,36.01,3185700.0
2021-08-25,36.28,36.29,35.48,36.21,2144200.0
2021-08-24,36.35,36.67,35.72,36.3,2804900.0
2021-08-23,36.29,36.41,34.65,36.17,6783300.0
2021-08-20,32.55,37.85,32.55,36.55,15429300.0
2021-08-19,31.53,33.14,31.25,32.97,6563100.0
2021-08-18,32.86,32.88,31.64,31.69,5568300.0
2021-08-17,33.5,33.92,32.55,32.85,3070000.0
2021-08-16,33.41,34.15,33.39,33.98,2198500.0
2021-08-13,34.44,34.49,33.19,33.59,3381200.0
2021-08-12,34.94,34.94,34.3,34.45,1606100.0
2021-08-11,34.88,35.16,34.54,34.93,2571400.0
2021-08-10,35.65,35.77,34.63,34.82,2263200.0
2021-08-09,35.45,36.3,35.24,35.65,1852900.0
2021-08-06,34.58,35.71,34.41,35.52,3026900.0
2021-08-05,35.66,35.74,34.53,34.67,2469300.0
2021-08-04,35.6,36.0,35.13,35.38,1718700.0
2021-08-03,35.9,36.14,35.05,35.87,1831300.0
2021-08-02,35.83,36.44,35.39,35.82,2573800.0
2021-07-30,35.57,35.97,35.28,35.46,2024900.0
2021-07-29,36.04,36.64,35.46,35.75,1600700.0
2021-07-28,35.63,36.25,35.4,36.15,2291400.0
2021-07-27,35.29,35.67,35.04,35.46,1381100.0
2021-07-26,35.81,35.9,35.25,35.39,1279400.0
2021-07-23,36.2,36.38,35.53,35.74,1598000.0
2021-07-22,35.55,36.42,35.49,36.27,2340400.0
