date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,21.64,21.82,21.43,21.75,497200.0
2021-05-12,21.76,21.78,21.51,21.62,573000.0
2021-05-11,21.75,21.85,21.64,21.78,260200.0
2021-05-10,21.86,21.97,21.72,21.88,582000.0
2021-05-07,21.7,21.97,21.55,21.8,736200.0
2021-05-06,21.31,21.8,21.31,21.63,488300.0
2021-05-05,21.45,21.66,21.25,21.48,364700.0
2021-05-04,21.37,21.49,21.12,21.3,654100.0
2021-05-03,21.47,21.69,21.27,21.45,890400.0
2021-04-30,21.61,21.71,21.35,21.43,737500.0
2021-04-29,21.58,21.8,21.46,21.67,1031200.0
2021-04-28,21.6,21.63,21.41,21.63,481500.0
2021-04-27,21.88,21.88,21.31,21.4,1408800.0
2021-04-26,21.85,21.95,21.57,21.74,781000.0
2021-04-23,21.75,21.89,21.52,21.72,889500.0
2021-04-22,21.41,21.72,21.18,21.68,1659000.0
2021-04-20,21.59,21.59,21.14,21.32,1183100.0
2021-04-19,21.36,22.1,21.36,21.59,1781100.0
2021-04-16,21.39,21.59,21.09,21.51,1559600.0
2021-04-15,21.55,21.7,21.32,21.32,673800.0
2021-04-14,21.45,21.7,21.38,21.55,948200.0
2021-04-13,21.35,21.65,21.31,21.46,863100.0
2021-04-12,21.45,21.7,21.32,21.49,693200.0
2021-04-09,21.4,21.68,21.26,21.52,1302000.0
2021-04-08,21.46,21.6,21.32,21.46,1343700.0
2021-04-07,21.59,21.6,21.26,21.46,1056000.0
2021-04-06,21.38,21.79,21.38,21.55,1075300.0
2021-04-05,21.5,21.72,21.32,21.46,1325100.0
2021-04-01,21.26,21.83,21.15,21.4,2356700.0
2021-03-31,21.0,21.68,20.97,21.3,2681000.0
2021-03-30,24.99,25.64,24.85,25.33,13590200.0
2021-03-29,25.27,25.5,24.56,24.83,5832600.0
2021-03-26,25.0,25.25,24.3,24.8,8578400.0
2021-03-25,25.13,25.28,24.39,24.85,8112900.0
2021-03-24,24.19,25.18,24.0,24.85,5744200.0
2021-03-23,22.57,23.66,22.45,22.84,1365600.0
2021-03-22,22.69,23.03,22.53,22.71,664000.0
2021-03-19,22.4,23.01,22.06,22.49,776300.0
2021-03-18,22.89,23.12,22.2,22.35,728600.0
2021-03-17,22.25,23.26,22.04,22.91,685600.0
2021-03-16,22.69,22.86,21.94,22.42,612800.0
2021-03-15,23.08,23.2,22.49,22.71,1715400.0
2021-03-12,22.36,23.47,22.2,23.28,9431200.0
2021-03-11,20.64,22.9,20.61,22.71,3966500.0
2021-03-10,19.34,20.6,18.75,20.55,4822900.0
2021-03-09,19.94,20.15,18.96,19.16,1535200.0
2021-03-08,21.08,21.59,19.8,20.12,883800.0
2021-03-05,20.48,21.58,20.39,21.44,1226200.0
2021-03-04,20.17,20.84,19.9,20.36,1153900.0
2021-03-03,20.41,20.58,19.14,20.05,1261800.0
2021-03-02,20.46,20.51,19.59,20.42,1131800.0
2021-03-01,21.06,21.3,20.45,20.61,1201400.0
2021-02-26,21.95,22.03,20.57,20.98,1477400.0
2021-02-25,22.61,22.82,21.7,22.03,448400.0
2021-02-24,22.79,23.2,22.58,22.58,604100.0
2021-02-23,22.56,22.9,21.93,22.73,698500.0
2021-02-22,22.18,22.78,21.26,22.46,1464700.0
2021-02-19,22.08,22.38,22.0,22.37,1002400.0
2021-02-18,22.17,22.27,21.91,22.09,335800.0
2021-02-17,22.35,22.54,21.82,22.28,377200.0
2021-02-12,22.32,22.55,21.91,22.37,208900.0
2021-02-11,21.87,22.46,21.81,22.27,459300.0
2021-02-10,22.2,22.28,21.77,21.94,544400.0
2021-02-09,22.08,22.35,21.84,22.2,405700.0
2021-02-08,21.95,22.48,21.69,22.09,418100.0
2021-02-05,21.99,22.27,21.66,21.95,443900.0
2021-02-04,21.95,22.02,21.72,21.89,391400.0
2021-02-03,21.53,22.1,21.52,21.94,880000.0
2021-02-02,21.95,22.48,21.49,21.49,504000.0
2021-02-01,21.79,22.1,21.12,21.78,600900.0
2021-01-29,21.51,21.86,20.89,21.47,690400.0
2021-01-28,21.15,21.99,21.03,21.63,488000.0
2021-01-27,20.48,21.7,20.29,21.17,859200.0
2021-01-26,20.46,21.2,20.42,20.51,872400.0
2021-01-22,20.97,21.14,19.5,21.0,2100200.0
2021-01-21,21.88,21.98,21.21,21.3,594000.0
2021-01-20,22.11,22.29,21.61,21.95,492000.0
2021-01-19,22.89,22.89,22.0,22.07,439600.0
2021-01-18,22.97,23.45,22.28,22.72,796300.0
2021-01-15,23.14,23.14,22.22,22.7,738300.0
2021-01-14,22.82,23.55,22.5,23.15,1086800.0
2021-01-13,23.04,23.26,22.34,22.65,612300.0
2021-01-12,22.29,23.44,22.21,23.07,791300.0
2021-01-11,22.4,23.09,21.96,22.12,886300.0
2021-01-08,22.63,23.18,22.61,22.69,811000.0
2021-01-07,23.2,23.28,22.53,22.58,648900.0
2021-01-06,23.43,23.72,22.85,23.11,767600.0
2021-01-05,23.15,23.51,22.49,23.4,889500.0
2021-01-04,24.44,24.44,22.82,23.25,1593400.0
2020-12-30,23.49,23.72,23.25,23.45,726000.0
2020-12-29,23.05,23.46,22.85,23.45,512300.0
2020-12-28,23.02,23.14,22.58,23.0,592900.0
2020-12-23,21.99,22.98,21.93,22.8,986200.0
2020-12-22,22.29,22.44,21.35,21.98,1497200.0
2020-12-21,21.78,22.43,21.43,22.29,1760500.0
2020-12-18,22.95,23.33,22.6,22.6,1190800.0
2020-12-17,23.01,23.3,22.74,23.11,1014800.0
2020-12-16,23.0,23.52,22.62,23.01,1000100.0
2020-12-15,23.04,23.18,22.66,22.96,945000.0
2020-12-14,23.16,23.27,22.55,23.02,1263700.0
2020-12-11,22.43,22.98,22.22,22.98,1204000.0
2020-12-10,22.2,22.62,21.93,22.62,1152700.0
2020-12-09,22.54,22.86,21.72,22.3,1472600.0
2020-12-08,21.9,22.57,21.59,22.45,1457300.0
2020-12-07,22.13,23.0,21.53,21.85,3240500.0
2020-12-04,21.59,21.95,21.25,21.73,1955100.0
2020-12-03,20.85,21.71,20.51,21.38,3432200.0
2020-12-02,19.92,20.84,19.85,20.82,2047200.0
2020-12-01,20.02,20.33,19.65,19.9,1869100.0
2020-11-30,20.28,20.8,19.89,19.89,3101500.0
2020-11-27,20.05,20.42,19.8,20.16,987800.0
2020-11-26,20.0,20.33,19.68,19.81,1181800.0
2020-11-25,19.66,20.2,19.52,19.9,1457600.0
2020-11-24,19.51,19.8,18.9,19.66,1797900.0
2020-11-23,19.31,19.6,18.96,19.4,1832500.0
2020-11-20,18.84,19.19,18.61,19.19,1168200.0
2020-11-19,18.4,18.97,17.94,18.82,2149600.0
