date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,32.96,33.32,32.57,33.0,5442500.0
2021-05-12,33.83,34.1,32.86,33.0,11964100.0
2021-05-11,33.62,34.58,33.06,34.58,2833400.0
2021-05-10,34.58,34.58,33.55,33.91,3199300.0
2021-05-07,33.88,34.65,33.74,34.59,2388800.0
2021-05-06,33.95,33.97,33.3,33.83,2823900.0
2021-05-05,33.16,34.38,33.02,33.95,4022000.0
2021-05-04,33.08,33.16,32.77,32.92,2105700.0
2021-05-03,32.75,33.15,32.29,33.15,3559600.0
2021-04-30,33.43,33.6,32.27,32.71,5541600.0
2021-04-29,33.04,33.45,32.74,33.39,2765400.0
2021-04-28,32.96,33.21,32.09,32.91,3428500.0
2021-04-27,33.37,33.37,32.65,32.65,2709800.0
2021-04-26,33.17,33.64,33.0,33.4,2507800.0
2021-04-23,32.3,33.5,32.1,33.27,4547100.0
2021-04-22,32.88,33.53,32.04,32.13,3849900.0
2021-04-20,32.41,32.82,31.95,32.65,3982000.0
2021-04-19,32.4,33.3,32.25,32.5,4363200.0
2021-04-16,31.86,32.28,31.36,32.28,4760500.0
2021-04-15,32.72,32.84,31.77,31.96,5482800.0
2021-04-14,33.75,33.82,32.53,32.6,4429100.0
2021-04-13,33.51,34.1,33.14,33.76,2512400.0
2021-04-12,34.16,34.18,33.59,33.68,1738800.0
2021-04-09,34.02,34.99,33.8,33.94,2672200.0
2021-04-08,34.86,35.0,34.18,34.24,2662000.0
2021-04-07,34.9,35.21,34.25,34.77,3121100.0
2021-04-06,33.58,35.0,33.49,34.92,2781100.0
2021-04-05,33.86,33.99,32.89,33.49,2223200.0
2021-04-01,34.47,34.47,33.18,33.39,1940700.0
2021-03-31,35.5,35.78,33.75,34.17,4628500.0
2021-03-30,33.44,35.24,33.3,35.16,4627100.0
2021-03-29,36.17,36.26,35.06,35.33,3004600.0
2021-03-26,36.93,37.6,35.97,36.35,2686300.0
2021-03-25,37.97,38.0,36.75,36.91,3974900.0
2021-03-24,39.45,39.47,37.87,37.98,4133100.0
2021-03-23,39.33,40.2,38.62,39.47,4198300.0
2021-03-22,39.1,39.81,38.61,39.32,5608000.0
2021-03-19,36.72,39.82,36.71,39.55,12882000.0
2021-03-18,35.95,37.56,35.37,36.38,9152800.0
2021-03-17,32.57,35.83,32.28,35.83,6673700.0
2021-03-16,32.86,33.5,32.28,32.61,3054200.0
2021-03-15,31.75,32.92,31.66,32.7,5336600.0
2021-03-12,31.8,32.42,31.42,31.75,4107600.0
2021-03-11,32.23,33.14,31.8,31.94,4822000.0
2021-03-10,31.65,32.03,30.95,31.85,2684300.0
2021-03-09,31.8,31.9,31.11,31.42,3607500.0
2021-03-08,33.16,33.46,31.71,31.79,3562000.0
2021-03-05,32.7,33.89,32.06,33.55,4180300.0
2021-03-04,32.89,33.83,32.16,32.7,4553700.0
2021-03-03,32.86,33.16,31.36,32.61,5177200.0
2021-03-02,32.2,33.16,31.61,32.8,4206500.0
2021-03-01,33.41,33.5,32.4,32.78,3366100.0
2021-02-26,34.95,34.95,32.87,33.03,5551800.0
2021-02-25,35.74,35.85,34.59,34.78,4238200.0
2021-02-24,36.03,36.51,35.85,36.35,2290600.0
2021-02-23,36.56,37.08,35.88,35.88,4196400.0
2021-02-22,36.1,37.13,35.75,36.45,3587900.0
2021-02-19,37.59,37.59,36.82,36.94,2053400.0
2021-02-18,38.09,38.1,37.41,37.52,1956000.0
2021-02-17,38.18,38.59,37.95,38.25,1698500.0
2021-02-12,38.39,38.42,37.82,38.18,1684300.0
2021-02-11,38.6,38.83,38.04,38.55,1526300.0
2021-02-10,39.14,39.37,38.2,38.52,2249100.0
2021-02-09,39.58,39.62,38.5,38.99,2688300.0
2021-02-08,40.27,40.37,39.56,39.67,2154300.0
2021-02-05,39.62,40.55,39.58,40.18,2425700.0
2021-02-04,40.32,40.32,39.29,39.58,2902700.0
2021-02-03,39.82,40.77,39.75,40.4,4085300.0
2021-02-02,39.84,40.2,39.31,39.8,3052200.0
2021-02-01,40.39,40.65,39.44,39.51,3190600.0
2021-01-29,41.16,41.43,39.91,39.91,2855900.0
2021-01-28,39.95,41.5,39.66,41.38,2028400.0
2021-01-27,39.99,40.6,39.4,39.93,1874500.0
2021-01-26,39.88,40.8,39.61,40.05,3074900.0
2021-01-22,40.0,40.45,39.64,39.94,2069200.0
2021-01-21,41.08,41.08,40.12,40.45,1939100.0
2021-01-20,41.4,41.63,40.6,40.9,1639200.0
2021-01-19,42.1,42.42,40.95,41.39,2516900.0
2021-01-18,41.88,42.53,41.67,41.78,1248900.0
2021-01-15,42.26,42.71,41.45,41.87,2728900.0
2021-01-14,42.95,43.15,42.1,42.9,1715300.0
2021-01-13,42.23,43.02,41.02,42.8,4462800.0
2021-01-12,42.29,42.5,41.96,42.29,1932400.0
2021-01-11,42.36,43.18,41.74,42.17,3226100.0
2021-01-08,41.4,43.36,41.15,42.7,3518400.0
2021-01-07,40.79,41.5,40.24,41.3,3574700.0
2021-01-06,42.56,42.56,40.82,41.01,3587400.0
2021-01-05,42.72,42.81,41.66,42.5,3062500.0
2021-01-04,44.87,44.89,42.46,42.7,2509000.0
2020-12-30,44.63,44.88,43.86,44.35,2364600.0
2020-12-29,43.66,44.91,43.46,44.45,2859900.0
2020-12-28,43.49,43.6,42.8,43.58,1302300.0
2020-12-23,43.15,43.44,42.91,43.27,1364700.0
2020-12-22,43.42,43.76,42.42,43.29,2149000.0
2020-12-21,43.41,43.97,42.66,43.24,1613800.0
2020-12-18,45.16,45.16,43.72,44.04,2326800.0
2020-12-17,45.31,45.39,44.52,44.89,1648100.0
2020-12-16,44.6,45.32,44.05,45.09,3219200.0
2020-12-15,44.76,45.06,44.37,44.55,2735200.0
2020-12-14,45.36,45.44,44.55,44.65,2206900.0
2020-12-11,44.59,45.39,43.97,45.12,3264800.0
2020-12-10,42.8,44.59,42.77,44.59,3768200.0
2020-12-09,43.02,43.27,42.14,42.52,2135100.0
2020-12-08,43.01,43.49,42.6,42.99,2286300.0
2020-12-07,43.93,44.17,42.45,43.0,2532600.0
2020-12-04,44.33,44.5,43.74,43.93,1546900.0
2020-12-03,44.35,44.68,43.56,44.08,2966800.0
2020-12-02,43.75,44.46,43.56,44.1,2759500.0
2020-12-01,43.23,43.78,43.0,43.63,2511000.0
2020-11-30,43.29,43.7,42.32,42.82,4120100.0
2020-11-27,43.6,43.93,42.91,43.49,1858600.0
2020-11-26,44.1,44.42,43.45,44.19,2015300.0
2020-11-25,43.07,44.17,43.06,44.02,4304400.0
2020-11-24,42.14,43.44,41.94,43.07,4654800.0
2020-11-23,42.21,42.56,41.68,41.95,2126600.0
2020-11-20,41.91,42.67,41.66,41.97,2390900.0
2020-11-19,41.74,42.14,41.35,41.66,2171600.0
2020-11-18,42.15,42.49,41.29,41.59,3266000.0
2020-11-17,43.0,43.2,41.93,42.8,3103800.0
2020-11-16,42.0,43.06,41.92,42.75,2771600.0
2020-11-13,41.15,42.08,40.76,41.7,3885400.0
2020-11-12,41.81,42.25,40.28,40.63,2049200.0
2020-11-11,42.15,42.81,41.63,41.69,1728900.0
2020-11-10,41.61,42.95,41.17,42.52,3352800.0
2020-11-09,43.06,43.37,41.37,41.49,2427800.0
2020-11-06,41.42,42.2,40.75,42.2,1817000.0
2020-11-05,40.95,41.89,40.46,41.44,1902800.0
2020-11-04,39.33,40.72,39.18,40.54,2625700.0
2020-11-03,40.01,40.69,38.87,38.99,2837400.0
2020-10-30,39.86,40.05,39.08,39.99,3095200.0
2020-10-29,40.31,40.45,38.94,40.01,2215100.0
2020-10-28,40.44,40.73,39.69,40.16,1774000.0
2020-10-27,41.8,41.99,40.99,41.19,1438100.0
2020-10-26,41.52,41.77,40.92,41.77,885600.0
2020-10-23,42.0,42.12,41.04,41.52,1465300.0
2020-10-22,42.9,42.9,41.74,42.35,1873800.0
2020-10-21,42.01,42.97,41.57,42.9,3429900.0
2020-10-20,41.28,41.98,41.21,41.71,1681400.0
2020-10-19,39.98,41.67,39.88,41.01,2046300.0
2020-10-16,40.26,40.34,39.28,39.98,1948000.0
2020-10-15,40.67,40.79,40.07,40.31,1007600.0
2020-10-14,40.65,41.34,40.55,40.9,2044700.0
2020-10-13,40.01,41.06,39.97,40.71,1743300.0
2020-10-09,40.82,40.95,39.8,40.26,2327100.0
2020-10-08,40.88,41.11,40.37,40.95,1356000.0
2020-10-07,41.61,41.69,40.58,40.69,2022200.0
2020-10-06,41.17,42.28,41.05,41.39,3508000.0
2020-10-05,41.12,41.46,40.35,40.99,2051400.0
2020-10-02,40.87,41.58,40.13,40.91,2139500.0
2020-10-01,39.7,41.15,39.01,41.1,4974600.0
2020-09-30,39.4,39.63,38.65,39.63,2990600.0
2020-09-29,39.85,40.09,39.07,39.44,1596300.0
2020-09-28,41.53,41.8,39.61,39.79,2186600.0
2020-09-25,40.79,41.38,40.5,41.34,2014800.0
2020-09-24,40.57,41.37,40.02,41.23,2955600.0
2020-09-23,40.56,41.82,40.3,40.48,3391500.0
2020-09-22,40.99,41.12,40.06,40.91,1814900.0
2020-09-21,39.84,40.98,39.32,40.98,2577700.0
2020-09-18,40.89,41.26,39.84,39.84,3159300.0
2020-09-17,40.99,41.28,40.43,41.26,1602200.0
2020-09-16,41.44,42.09,41.11,41.25,1903700.0
2020-09-15,42.16,42.28,41.08,41.44,2581500.0
2020-09-14,41.89,42.2,41.29,41.88,1628900.0
2020-09-11,42.11,42.12,40.72,41.42,2326600.0
2020-09-10,43.57,43.57,41.91,41.96,2853700.0
2020-09-09,43.5,44.09,42.68,43.49,2279200.0
2020-09-08,43.31,44.16,43.29,43.5,1623100.0
2020-09-04,43.83,44.25,42.78,44.08,1818500.0
2020-09-03,44.25,44.72,42.9,43.9,2355900.0
2020-09-02,44.2,44.36,43.57,44.17,1854500.0
