date,1. open,2. high,3. low,4. close,5. volume
2017-11-10,21.13,21.13,21.13,21.13,0.0
2017-11-09,20.1,21.25,19.8,21.13,10729900.0
2017-11-08,19.56,20.09,19.52,20.09,3485500.0
2017-11-07,20.55,20.59,19.41,19.63,5410200.0
2017-11-06,21.29,21.29,20.23,20.23,4740400.0
2017-11-03,20.7,21.43,20.16,21.29,6323700.0
2017-11-02,20.69,20.69,20.69,20.69,0.0
2017-11-01,20.48,20.78,20.26,20.69,3391000.0
2017-10-31,19.95,20.4,19.92,20.33,2729700.0
2017-10-30,20.61,20.74,19.64,20.0,3531100.0
2017-10-27,20.23,20.75,20.21,20.6,5372400.0
2017-10-26,20.0,20.19,19.63,20.05,3126600.0
2017-10-25,20.31,20.62,19.6,19.78,4075900.0
2017-10-24,20.75,21.36,20.2,20.52,5799900.0
2017-10-23,20.2,20.8,19.76,20.47,3517000.0
2017-10-20,19.48,20.09,19.32,20.04,5422300.0
2017-10-19,19.67,20.14,18.87,19.31,4395000.0
2017-10-18,20.19,20.25,19.53,19.71,8567600.0
2017-10-17,21.0,21.19,20.01,20.17,4562800.0
2017-10-16,20.31,21.08,20.25,20.85,2832000.0
2017-10-13,20.24,20.68,19.74,20.34,4812200.0
2017-10-12,20.39,20.39,20.39,20.39,0.0
2017-10-11,20.04,21.0,19.89,20.39,4571100.0
2017-10-10,19.86,20.12,19.55,20.04,2745500.0
2017-10-09,19.88,20.25,19.48,19.66,3229300.0
2017-10-06,19.14,19.86,19.13,19.73,2936500.0
2017-10-05,19.05,19.64,19.0,19.14,2857900.0
2017-10-04,18.66,19.02,18.53,19.0,2471600.0
2017-10-03,18.7,18.79,18.48,18.65,2970800.0
2017-10-02,18.39,18.72,18.32,18.68,2621200.0
2017-09-29,18.86,19.09,18.23,18.31,6682800.0
2017-09-28,17.96,18.95,17.92,18.77,5904600.0
2017-09-27,17.93,17.96,17.51,17.85,7947800.0
2017-09-26,18.4,18.5,17.73,17.8,3311100.0
2017-09-25,18.56,18.69,18.2,18.36,1655700.0
2017-09-22,18.7,18.72,18.03,18.72,5057100.0
2017-09-21,19.02,19.05,18.34,18.7,3565400.0
2017-09-20,19.05,19.33,18.5,18.98,3759800.0
2017-09-19,18.29,19.04,18.28,19.04,3628800.0
2017-09-18,18.3,18.49,18.09,18.36,3689200.0
2017-09-15,17.92,18.11,17.8,18.1,5156500.0
2017-09-14,18.17,18.22,17.58,17.86,3028800.0
2017-09-13,18.2,18.45,18.03,18.15,2549900.0
2017-09-12,18.2,18.4,18.02,18.1,3168800.0
2017-09-11,18.23,18.4,18.12,18.19,2069800.0
2017-09-08,18.3,18.34,17.93,18.1,3033800.0
2017-09-07,18.11,18.11,18.11,18.11,0.0
2017-09-06,18.2,18.46,17.96,18.11,4781800.0
2017-09-05,17.75,18.27,17.45,18.07,7433000.0
2017-09-04,17.74,17.79,17.54,17.69,4405500.0
2017-09-01,17.54,17.74,17.38,17.74,4640900.0
2017-08-31,17.35,17.62,17.31,17.5,3280700.0
2017-08-30,17.27,17.65,17.22,17.39,2975900.0
2017-08-29,17.6,17.84,17.35,17.35,4665500.0
2017-08-28,17.7,17.92,17.44,17.44,1569000.0
2017-08-25,17.2,17.85,17.1,17.75,2385000.0
2017-08-24,17.23,17.34,16.98,17.1,3156600.0
2017-08-23,17.58,17.58,17.22,17.22,2880500.0
2017-08-22,17.66,17.79,17.39,17.55,3907700.0
2017-08-21,17.0,17.95,16.84,17.65,5209400.0
2017-08-18,17.0,17.03,16.54,17.03,6070800.0
2017-08-17,17.15,17.92,17.01,17.1,9226500.0
2017-08-16,16.47,17.12,16.45,17.1,6138400.0
2017-08-15,16.54,16.75,16.23,16.33,3062800.0
2017-08-14,16.21,16.62,16.19,16.53,3474000.0
2017-08-11,15.7,16.44,15.6,16.28,4012600.0
2017-08-10,15.47,15.85,15.27,15.69,3093000.0
2017-08-09,15.35,15.58,15.35,15.48,2679500.0
2017-08-08,15.77,15.8,15.28,15.3,3129300.0
2017-08-07,15.26,15.84,15.22,15.8,2030700.0
2017-08-04,15.19,15.58,15.16,15.3,3860000.0
2017-08-03,15.52,15.55,15.09,15.44,3610800.0
2017-08-02,15.0,15.58,14.75,15.58,4572000.0
2017-08-01,15.01,15.39,14.84,15.06,8719100.0
2017-07-31,14.25,14.28,13.93,14.02,2591800.0
2017-07-28,14.06,14.22,13.91,14.22,1287400.0
2017-07-27,13.99,14.13,13.87,14.04,1423700.0
2017-07-26,13.96,14.2,13.79,13.85,2322200.0
2017-07-25,14.07,14.18,13.76,14.0,3859500.0
2017-07-24,14.15,14.24,13.61,14.01,2846700.0
2017-07-21,14.24,14.41,14.09,14.15,3355000.0
2017-07-20,14.33,14.54,14.16,14.3,3126100.0
2017-07-19,14.3,14.5,14.24,14.33,2703600.0
2017-07-18,13.94,14.32,13.79,14.32,3711300.0
2017-07-17,13.96,14.1,13.93,13.94,2168400.0
2017-07-14,13.84,13.9,13.65,13.9,2078700.0
2017-07-13,13.45,13.81,13.4,13.81,3178800.0
2017-07-12,13.5,13.61,13.25,13.4,8149600.0
2017-07-11,13.51,13.68,13.45,13.5,3438700.0
2017-07-10,13.38,13.65,13.32,13.55,3730900.0
2017-07-07,13.75,13.8,13.24,13.36,4170900.0
2017-07-06,14.06,14.13,13.73,13.79,2192300.0
2017-07-05,14.11,14.25,14.01,14.05,1784800.0
2017-07-04,14.05,14.22,14.01,14.07,1038100.0
2017-07-03,14.22,14.35,14.02,14.05,3170800.0
2017-06-30,14.29,14.29,14.01,14.26,2535300.0
2017-06-29,14.09,14.25,13.9,14.19,2639100.0
2017-06-28,14.05,14.34,13.91,13.91,3813000.0
2017-06-27,14.58,14.64,13.96,13.97,5157100.0
2017-06-26,14.5,14.71,14.32,14.46,3070600.0
2017-06-23,14.69,14.69,14.37,14.5,3700200.0
2017-06-22,14.58,14.86,14.52,14.7,2030400.0
2017-06-21,14.72,14.94,14.44,14.67,3366400.0
2017-06-20,15.12,15.2,14.81,14.82,4850700.0
2017-06-19,15.33,15.47,14.93,15.12,2356600.0
2017-06-16,15.09,15.61,15.07,15.32,12770000.0
2017-06-15,14.95,14.95,14.95,14.95,0.0
2017-06-14,15.03,15.2,14.7,14.95,6473500.0
2017-06-13,14.74,15.16,14.7,15.06,3638600.0
2017-06-12,14.72,14.92,14.28,14.74,6281800.0
2017-06-09,15.24,15.29,14.61,14.72,6354000.0
2017-06-08,15.39,15.48,14.79,15.33,4501100.0
2017-06-07,15.6,15.62,15.11,15.24,4027400.0
2017-06-06,15.83,15.96,15.52,15.56,3358800.0
2017-06-05,15.5,16.1,15.5,15.95,4553400.0
2017-06-02,15.5,15.68,15.17,15.46,3653300.0
2017-06-01,15.44,15.83,15.28,15.55,4888400.0
2017-05-31,15.46,15.58,15.16,15.35,4275200.0
2017-05-30,15.87,15.87,15.42,15.51,3648300.0
2017-05-29,15.44,15.44,15.44,15.44,0.0
2017-05-26,15.15,15.44,15.0,15.44,4311400.0
2017-05-25,14.64,15.5,14.6,15.26,6126900.0
2017-05-24,14.81,14.92,14.31,14.45,5586200.0
2017-05-23,15.09,15.36,14.45,14.85,6361100.0
2017-05-22,14.25,15.39,14.16,14.98,8739500.0
2017-05-19,13.38,14.25,13.2,14.1,9107800.0
2017-05-18,14.05,14.13,13.0,13.93,16858700.0
2017-05-17,12.81,12.95,12.57,12.68,2509900.0
2017-05-16,12.7,12.84,12.65,12.79,2022700.0
2017-05-15,12.91,12.99,12.59,12.72,3548100.0
2017-05-12,12.59,12.98,12.58,12.89,3545000.0
2017-05-11,12.97,13.04,12.5,12.51,5321200.0
2017-05-10,13.4,13.43,12.85,12.9,3541000.0
2017-05-09,13.2,13.44,13.2,13.4,2817200.0
2017-05-08,13.19,13.32,13.03,13.17,1793000.0
2017-05-05,12.89,13.2,12.78,13.18,1600200.0
2017-05-04,13.01,13.1,12.78,12.85,2938100.0
2017-05-03,13.23,13.23,12.97,13.05,2694700.0
2017-05-02,13.41,13.41,12.95,13.14,3844000.0
2017-05-01,13.41,13.41,13.41,13.41,0.0
2017-04-28,13.15,13.47,13.11,13.41,2771900.0
2017-04-27,13.3,13.41,13.02,13.14,1542900.0
2017-04-26,13.1,13.27,12.8,13.26,4723600.0
2017-04-25,13.06,13.28,13.0,13.08,2781200.0
2017-04-24,12.99,13.08,12.74,13.06,4168400.0
2017-04-21,12.99,12.99,12.99,12.99,0.0
2017-04-20,12.8,12.99,12.59,12.99,3452500.0
2017-04-19,12.88,12.98,12.43,12.75,2442100.0
2017-04-18,12.53,12.85,12.46,12.8,1949600.0
2017-04-17,12.64,12.75,12.31,12.46,2896000.0
2017-04-14,12.64,12.64,12.64,12.64,0.0
2017-04-13,12.95,12.99,12.61,12.64,2943500.0
2017-04-12,13.1,13.32,12.82,12.95,3118100.0
2017-04-11,13.28,13.38,13.0,13.07,2217600.0
2017-04-10,13.48,13.48,13.07,13.28,2598600.0
2017-04-07,13.42,13.6,13.33,13.35,2582300.0
2017-04-06,13.71,13.75,13.36,13.51,3569400.0
2017-04-05,13.86,13.97,13.5,13.74,3670800.0
2017-04-04,13.65,13.94,13.45,13.94,2899600.0
2017-04-03,13.23,13.67,12.99,13.67,4378000.0
2017-03-31,12.7,13.29,12.7,13.26,5405300.0
2017-03-30,12.65,12.74,12.45,12.53,2426300.0
2017-03-29,12.61,12.8,12.48,12.48,3921400.0
2017-03-28,12.71,12.79,12.52,12.79,1945800.0
2017-03-27,12.88,12.97,12.6,12.65,2425400.0
2017-03-24,13.27,13.27,12.59,12.87,1944200.0
2017-03-23,13.11,13.4,13.06,13.18,3298900.0
2017-03-22,13.4,13.5,13.05,13.11,3532900.0
2017-03-21,13.34,13.56,13.24,13.43,5111800.0
2017-03-20,12.81,13.39,12.81,13.32,4358300.0
2017-03-17,13.14,13.28,12.7,12.83,3393200.0
2017-03-16,12.35,13.14,12.35,13.1,5575900.0
2017-03-15,12.82,13.06,12.27,12.27,8138500.0
2017-03-14,13.14,13.28,12.69,12.75,3158900.0
2017-03-13,12.99,13.13,12.89,13.12,2354100.0
2017-03-10,12.95,13.04,12.61,12.96,5031900.0
2017-03-09,12.59,12.95,12.33,12.93,4873700.0
2017-03-08,12.26,12.53,12.25,12.48,4589400.0
2017-03-07,12.46,12.54,12.04,12.17,5998400.0
2017-03-06,13.16,13.24,12.3,12.43,7285500.0
2017-03-03,13.34,13.46,13.06,13.13,4223600.0
2017-03-02,13.12,13.35,13.02,13.3,3508600.0
2017-03-01,13.45,13.6,13.06,13.06,4057800.0
2017-02-28,13.45,13.45,13.45,13.45,0.0
2017-02-27,13.45,13.45,13.45,13.45,0.0
2017-02-24,13.37,13.8,13.33,13.45,3985500.0
2017-02-23,13.82,13.88,13.2,13.37,4524100.0
2017-02-22,13.85,13.9,13.52,13.82,4361200.0
2017-02-21,13.84,14.0,13.7,13.77,2266900.0
2017-02-20,13.73,13.89,13.63,13.78,1921300.0
2017-02-17,13.42,13.85,13.35,13.7,2834200.0
2017-02-16,13.42,13.62,13.3,13.42,3145500.0
2017-02-15,13.39,13.7,13.3,13.55,4245300.0
2017-02-14,13.32,13.49,13.08,13.34,6496300.0
2017-02-13,13.05,13.39,12.96,13.39,3991500.0
2017-02-10,13.25,13.26,12.91,13.03,4171800.0
2017-02-09,12.77,13.34,12.7,13.31,4077500.0
2017-02-08,12.99,13.01,12.57,12.82,3007600.0
2017-02-07,12.9,13.23,12.88,12.91,3362000.0
2017-02-06,12.83,12.99,12.72,12.85,3595000.0
2017-02-03,13.17,13.2,12.76,12.78,4045000.0
2017-02-02,13.05,13.21,12.96,12.96,2618000.0
2017-02-01,13.46,13.63,13.0,13.04,3559300.0
2017-01-31,13.9,13.91,13.32,13.4,4581100.0
2017-01-30,13.85,14.05,13.57,13.92,3399300.0
2017-01-27,14.45,14.51,13.83,13.84,4257800.0
2017-01-26,14.55,14.8,14.27,14.4,4688700.0
2017-01-25,14.55,14.55,14.55,14.55,0.0
2017-01-24,14.3,14.9,14.3,14.55,5142400.0
2017-01-23,13.89,14.36,13.26,14.28,4621100.0
2017-01-20,13.99,14.31,13.73,13.88,5740100.0
2017-01-19,13.49,14.13,13.49,14.07,6189900.0
2017-01-18,13.35,13.4,13.24,13.35,2074100.0
2017-01-17,13.2,13.34,13.05,13.29,2243000.0
2017-01-16,12.99,13.35,12.97,13.33,1755100.0
2017-01-13,13.14,13.28,12.92,12.92,4303000.0
2017-01-12,13.25,13.3,12.87,13.13,6845700.0
2017-01-11,13.64,13.83,13.23,13.28,3032000.0
2017-01-10,13.73,13.86,13.61,13.61,1386300.0
2017-01-09,13.78,13.92,13.7,13.7,1626900.0
2017-01-06,13.74,13.94,13.66,13.77,3083900.0
2017-01-05,13.65,13.81,13.44,13.67,4381500.0
2017-01-04,13.94,13.99,13.45,13.65,5170500.0
2017-01-03,14.0,14.03,13.75,14.01,3558900.0
2017-01-02,14.2,14.2,13.82,13.93,2006800.0
2016-12-30,14.2,14.2,14.2,14.2,0.0
2016-12-29,13.7,14.2,13.5,14.2,2662800.0
2016-12-28,13.73,13.88,13.46,13.77,2096100.0
2016-12-27,13.6,13.73,13.43,13.57,1397100.0
2016-12-26,13.12,13.52,13.12,13.47,1187800.0
2016-12-23,13.31,13.45,13.1,13.18,1915300.0
2016-12-22,13.54,13.62,13.15,13.38,2431200.0
2016-12-21,13.54,13.54,13.54,13.54,1331000.0
2016-12-20,13.71,13.76,13.42,13.55,2330500.0
2016-12-19,14.04,14.08,13.54,13.71,2068500.0
2016-12-16,13.69,14.05,13.54,13.89,2869600.0
2016-12-15,14.0,14.0,13.51,13.72,3670800.0
2016-12-14,13.35,13.95,13.01,13.68,3886900.0
2016-12-13,13.47,13.55,13.0,13.3,4726900.0
2016-12-12,13.73,13.91,13.46,13.5,2326000.0
2016-12-09,13.83,13.93,13.5,13.76,3034800.0
2016-12-08,13.87,14.04,13.49,13.71,3685600.0
2016-12-07,13.65,13.9,13.3,13.81,4557500.0
2016-12-06,12.83,13.65,12.76,13.65,5267200.0
2016-12-05,12.85,13.04,12.52,12.82,2461800.0
2016-12-02,12.75,12.97,12.41,12.83,4375600.0
2016-12-01,12.98,13.35,12.62,12.71,6031800.0
2016-11-30,13.39,13.56,12.77,12.85,5976400.0
2016-11-29,13.05,13.79,13.05,13.35,5475900.0
2016-11-28,12.61,13.09,12.59,12.99,4503800.0
2016-11-25,12.95,12.98,12.63,12.8,3842400.0
