date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,37.5,38.15,37.48,38.1,1389200.0
2021-05-12,38.08,38.17,37.35,37.48,1662900.0
2021-05-11,37.64,38.46,37.2,38.24,1719200.0
2021-05-10,38.92,39.07,37.91,38.16,2341700.0
2021-05-07,39.18,39.24,38.19,38.85,3105500.0
2021-05-06,39.64,39.87,38.76,39.18,2711400.0
2021-05-05,39.5,40.28,38.72,40.09,3745300.0
2021-05-04,42.5,42.68,42.02,42.2,2310100.0
2021-05-03,42.54,42.68,41.95,42.27,3032900.0
2021-04-30,41.28,41.83,41.15,41.8,3044200.0
2021-04-29,40.7,41.52,40.7,40.95,1939500.0
2021-04-28,40.91,40.96,40.45,40.59,1385400.0
2021-04-27,40.91,41.13,40.6,40.68,1705500.0
2021-04-26,40.78,40.88,40.25,40.8,1519600.0
2021-04-23,41.06,41.33,40.54,40.58,2062900.0
2021-04-22,41.15,41.63,40.62,40.96,2709500.0
2021-04-20,40.8,41.3,40.65,40.98,1389000.0
2021-04-19,40.15,41.09,39.93,40.76,2145500.0
2021-04-16,39.3,40.29,39.23,40.15,2769000.0
2021-04-15,39.33,39.52,39.09,39.23,1456900.0
2021-04-14,39.4,39.62,38.87,39.33,1678200.0
2021-04-13,39.11,39.55,38.92,39.4,1874600.0
2021-04-12,38.92,39.26,38.83,39.14,2298600.0
2021-04-09,39.63,39.82,38.7,38.82,2657500.0
2021-04-08,39.71,39.72,39.23,39.68,1850800.0
2021-04-07,38.81,39.86,38.74,39.6,2441100.0
2021-04-06,38.67,39.22,38.51,38.87,1729500.0
2021-04-05,38.24,38.9,37.97,38.66,2254700.0
2021-04-01,39.05,39.11,37.65,37.89,2903800.0
2021-03-31,39.55,39.61,38.91,38.92,2809100.0
2021-03-30,38.2,39.44,38.1,39.44,3247800.0
2021-03-29,36.4,38.51,36.26,38.4,5010600.0
2021-03-26,35.78,36.27,35.66,36.1,1618600.0
2021-03-25,35.7,36.1,35.29,35.78,2390500.0
2021-03-24,36.19,36.28,35.51,35.73,2254700.0
2021-03-23,35.88,36.5,35.61,36.15,2469600.0
2021-03-22,35.91,36.3,35.55,35.8,2723400.0
2021-03-19,35.16,36.1,35.02,36.1,4568700.0
2021-03-18,35.55,35.71,35.04,35.16,2290600.0
2021-03-17,34.5,35.84,34.2,35.69,4975800.0
2021-03-16,33.82,34.66,33.81,34.56,3029300.0
2021-03-15,33.0,34.07,33.0,33.8,3294000.0
2021-03-12,33.0,33.27,32.66,33.0,2913100.0
2021-03-11,33.2,33.49,33.03,33.05,2717500.0
2021-03-10,32.92,33.34,32.45,33.05,3727400.0
2021-03-09,31.9,32.98,31.74,32.92,3841600.0
2021-03-08,32.08,32.62,31.57,31.7,2967200.0
2021-03-05,32.8,33.28,32.3,32.33,3225800.0
2021-03-04,31.43,32.66,31.2,32.6,5196100.0
2021-03-03,30.33,30.78,29.9,30.75,3727600.0
2021-03-02,30.19,30.68,29.82,30.52,3695400.0
2021-03-01,30.93,30.98,30.19,30.19,3461500.0
2021-02-26,30.86,31.3,30.5,30.55,3666300.0
2021-02-25,31.4,31.65,30.8,30.81,2403100.0
2021-02-24,31.45,31.61,31.27,31.31,1813700.0
2021-02-23,31.41,31.78,31.2,31.27,3580800.0
2021-02-22,31.49,31.61,30.66,31.28,3805800.0
2021-02-19,31.94,32.19,31.9,32.11,1332600.0
2021-02-18,32.25,32.36,31.87,31.92,2509300.0
2021-02-17,32.61,32.67,32.15,32.32,1547800.0
2021-02-12,32.51,32.6,32.38,32.59,1323000.0
2021-02-11,32.88,32.88,32.47,32.51,1775000.0
2021-02-10,32.88,32.88,32.45,32.61,2228900.0
2021-02-09,32.99,33.02,32.65,32.81,1315900.0
2021-02-08,33.18,33.22,32.7,32.89,1753600.0
