date,1. open,2. high,3. low,4. close,5. volume
2016-07-20,41.47,41.68,40.91,41.39,755200.0
2016-07-19,40.59,41.34,40.27,41.14,654100.0
2016-07-18,40.17,40.74,40.1,40.45,1464800.0
2016-07-15,40.73,40.94,39.72,40.3,1779400.0
2016-07-14,40.76,41.09,40.14,40.74,1187500.0
2016-07-13,40.04,40.69,39.94,40.27,786800.0
2016-07-12,40.15,40.62,39.9,40.03,1586100.0
2016-07-11,39.44,40.49,39.43,40.2,1825900.0
2016-07-08,39.41,39.63,39.17,39.33,828700.0
2016-07-07,39.24,39.77,38.58,39.21,931300.0
2016-07-06,38.72,38.99,38.35,38.99,741700.0
2016-07-05,38.16,38.89,38.16,38.75,725000.0
2016-07-04,38.47,38.9,38.28,38.53,430100.0
2016-07-01,38.47,38.66,37.85,38.17,632400.0
2016-06-30,38.3,38.63,37.85,38.31,1840100.0
2016-06-29,38.09,38.75,37.91,38.45,1364000.0
2016-06-28,37.15,38.1,36.69,37.85,1578300.0
2016-06-27,36.22,36.99,36.0,36.72,719200.0
2016-06-24,36.44,36.78,35.76,36.39,825300.0
2016-06-23,36.23,37.25,36.22,37.1,870200.0
2016-06-22,36.44,36.99,36.13,36.27,911600.0
2016-06-21,36.38,36.8,36.08,36.51,757200.0
2016-06-20,36.65,37.11,36.31,36.55,899900.0
2016-06-17,36.01,36.63,35.95,36.28,787000.0
2016-06-16,35.72,36.37,35.55,36.05,597100.0
2016-06-15,36.0,36.55,34.98,36.09,869100.0
2016-06-14,36.37,36.71,35.44,36.1,486500.0
2016-06-13,35.75,36.75,35.69,36.48,550200.0
2016-06-10,36.49,36.8,36.04,36.04,567200.0
2016-06-09,36.79,37.03,36.36,36.6,470400.0
2016-06-08,36.09,37.31,36.09,36.88,808100.0
2016-06-07,35.95,36.37,35.83,36.05,554100.0
2016-06-06,36.8,36.8,35.71,36.1,615600.0
2016-06-03,35.94,36.53,35.8,36.43,419500.0
2016-06-02,35.98,35.98,35.49,35.84,488800.0
2016-06-01,35.3,35.98,35.27,35.89,606400.0
2016-05-31,35.52,36.25,35.3,35.48,1501800.0
2016-05-30,35.73,36.09,35.53,35.6,183200.0
2016-05-27,35.79,36.39,35.68,35.7,556200.0
2016-05-26,35.68,35.68,35.68,35.68,0.0
2016-05-25,36.51,37.07,35.68,35.68,792400.0
2016-05-24,36.05,36.73,35.82,36.3,759000.0
2016-05-23,35.61,36.15,35.57,35.95,639900.0
2016-05-20,35.8,36.99,35.8,36.41,1016100.0
2016-05-19,35.82,36.31,35.39,35.78,568500.0
2016-05-18,35.81,36.31,35.25,36.19,1018800.0
2016-05-17,36.22,36.56,35.32,35.81,1497200.0
2016-05-16,35.86,36.51,35.86,36.22,489600.0
2016-05-13,36.59,37.39,35.9,36.2,1265400.0
2016-05-12,36.59,37.74,36.59,36.8,1335300.0
2016-05-11,37.41,37.97,36.57,36.57,950900.0
2016-05-10,37.38,37.76,37.09,37.35,743500.0
2016-05-09,37.29,37.61,36.51,37.0,1227700.0
2016-05-06,37.62,37.77,37.24,37.45,655400.0
2016-05-05,37.99,38.08,37.64,37.83,383700.0
2016-05-04,37.54,38.08,36.6,37.95,822300.0
2016-05-03,37.64,37.8,37.03,37.46,620300.0
2016-05-02,38.01,38.29,37.64,37.8,475900.0
2016-04-29,38.63,38.89,37.82,38.15,1509000.0
