date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,30.63,31.1,30.24,30.73,2505100.0
2021-05-12,31.33,31.33,30.15,30.43,6760800.0
2021-05-11,31.63,32.1,30.94,31.8,7716900.0
2021-05-10,33.7,33.78,32.22,33.02,4907400.0
2021-05-07,33.25,34.45,33.2,33.98,6769300.0
2021-05-06,32.88,34.45,32.44,33.06,6723100.0
2021-05-05,32.69,32.97,31.93,32.57,5463300.0
2021-05-04,32.5,33.15,32.28,32.38,7758400.0
2021-05-03,30.98,32.68,30.83,32.45,8279300.0
2021-04-30,30.98,31.5,30.79,31.1,4286800.0
2021-04-29,30.97,31.52,30.75,31.2,3855100.0
2021-04-28,30.87,31.09,30.35,30.95,3181100.0
2021-04-27,31.28,31.56,30.56,30.67,2831800.0
2021-04-26,31.7,31.81,31.0,31.21,3203900.0
2021-04-23,31.0,31.74,30.81,31.41,2839200.0
2021-04-22,31.22,31.83,30.76,30.87,2572300.0
2021-04-20,31.18,31.7,31.03,31.09,2726800.0
2021-04-19,31.13,31.99,30.94,31.27,4169300.0
2021-04-16,31.72,31.74,31.1,31.15,3073100.0
2021-04-15,31.0,31.51,30.95,31.31,3643300.0
2021-04-14,31.27,31.79,30.58,30.93,4163700.0
2021-04-13,31.45,31.71,31.05,31.32,3082700.0
2021-04-12,30.61,31.55,30.55,31.29,3513200.0
2021-04-09,30.83,30.93,30.24,30.57,3395700.0
2021-04-08,30.78,31.38,30.55,31.1,3772600.0
2021-04-07,30.49,30.78,29.57,30.69,4890400.0
2021-04-06,29.97,30.34,29.58,30.05,3744000.0
2021-04-05,28.91,29.9,28.76,29.9,3268700.0
2021-04-01,28.96,30.02,28.51,28.73,4777300.0
2021-03-31,29.0,29.8,28.77,28.93,4089700.0
2021-03-30,27.68,29.16,27.58,29.0,5136300.0
2021-03-29,28.01,28.37,27.45,27.87,4861800.0
2021-03-26,28.23,28.63,27.96,28.18,3752000.0
2021-03-25,27.84,28.36,27.55,28.21,3780600.0
2021-03-24,28.82,28.94,27.68,27.84,2934900.0
2021-03-23,29.24,29.27,28.52,28.8,3375900.0
2021-03-22,28.95,29.45,28.47,29.24,3503400.0
2021-03-19,28.41,29.1,28.17,28.91,5494000.0
2021-03-18,29.2,29.37,28.05,28.27,4672200.0
2021-03-17,29.0,29.9,28.55,29.69,5202200.0
2021-03-16,28.61,29.19,28.44,29.17,6167400.0
2021-03-15,27.72,28.98,27.3,28.72,5156200.0
2021-03-12,27.43,27.82,27.08,27.66,5012000.0
2021-03-11,28.4,28.66,27.35,27.56,8813900.0
2021-03-10,30.2,31.46,27.54,28.12,16557700.0
2021-03-09,28.57,29.52,27.52,29.52,10246000.0
2021-03-08,29.52,29.99,28.24,28.37,6387400.0
2021-03-05,30.59,30.6,29.31,30.12,5683200.0
2021-03-04,31.16,31.35,30.06,30.61,6059000.0
2021-03-03,31.02,31.22,29.46,30.93,4414300.0
2021-03-02,30.89,31.38,29.98,31.02,4748200.0
2021-03-01,31.74,32.36,31.06,31.48,4941700.0
2021-02-26,32.01,32.24,31.23,31.38,6084300.0
2021-02-25,32.94,33.46,31.63,31.85,4908000.0
2021-02-24,33.59,33.7,32.96,33.13,5504200.0
2021-02-23,33.49,33.78,33.14,33.52,6282500.0
2021-02-22,34.13,34.69,33.31,33.49,6729100.0
2021-02-19,34.07,34.79,33.58,34.73,5816300.0
2021-02-18,33.87,34.31,33.63,33.9,5006800.0
2021-02-17,34.0,34.43,33.51,34.08,4769300.0
2021-02-12,33.87,34.94,33.69,34.64,7367000.0
2021-02-11,31.79,34.21,31.19,33.85,11402000.0
2021-02-10,30.85,31.69,30.8,31.41,7078600.0
2021-02-09,30.22,30.95,30.21,30.83,4707900.0
2021-02-08,29.56,30.53,29.35,30.45,4756900.0
2021-02-05,29.82,29.95,29.29,29.56,2129700.0
2021-02-04,29.6,30.15,29.28,29.72,3911000.0
2021-02-03,30.36,30.46,29.42,29.58,3890600.0
2021-02-02,29.7,30.66,29.53,30.28,8987500.0
2021-02-01,28.97,28.97,28.01,28.36,3623500.0
2021-01-29,29.16,29.33,28.1,28.4,4051000.0
2021-01-28,28.78,29.46,28.38,29.46,4879700.0
2021-01-27,30.11,30.28,28.67,28.74,5550200.0
2021-01-26,30.19,30.95,29.95,30.11,5172000.0
2021-01-22,29.35,30.44,28.93,30.07,4992700.0
2021-01-21,29.89,30.48,29.58,29.75,4173400.0
2021-01-20,29.64,30.15,29.38,29.87,3994600.0
2021-01-19,29.0,30.05,28.69,29.52,7636900.0
2021-01-18,28.2,28.9,28.19,28.8,2400900.0
2021-01-15,27.95,28.53,27.79,28.05,3064200.0
2021-01-14,28.69,28.88,27.96,28.18,2600300.0
2021-01-13,28.77,28.78,28.26,28.6,3305400.0
2021-01-12,28.11,28.73,27.81,28.67,5392000.0
2021-01-11,27.86,28.5,27.53,27.95,7384200.0
2021-01-08,26.44,28.0,26.1,28.0,8427300.0
2021-01-07,26.35,26.58,25.85,26.25,3322500.0
2021-01-06,27.67,27.69,26.17,26.33,5512800.0
2021-01-05,27.62,27.77,27.13,27.63,4430700.0
2021-01-04,28.91,28.98,27.61,27.76,5429700.0
2020-12-30,28.1,28.99,27.97,28.72,5417500.0
2020-12-29,28.27,28.35,27.56,28.06,3830500.0
2020-12-28,27.97,28.27,27.65,28.13,2451800.0
2020-12-23,27.74,28.38,27.69,27.81,3008400.0
2020-12-22,27.9,28.33,27.52,27.66,5475400.0
2020-12-21,27.69,28.36,27.12,28.1,4322800.0
2020-12-18,28.4,28.71,28.02,28.22,7793800.0
2020-12-17,26.96,28.32,26.86,28.32,8941800.0
2020-12-16,26.1,27.07,26.0,26.88,6843700.0
2020-12-15,25.93,26.4,25.59,26.1,7217800.0
2020-12-14,25.5,25.92,25.12,25.74,6609000.0
2020-12-11,26.09,26.09,24.99,25.33,6568500.0
2020-12-10,25.8,26.08,25.19,26.08,5518200.0
2020-12-09,26.26,26.46,25.45,25.73,3966600.0
2020-12-08,25.89,26.37,25.59,26.37,5336500.0
2020-12-07,26.1,26.26,25.44,25.84,4741100.0
2020-12-04,25.47,26.23,25.15,26.11,6836100.0
2020-12-03,25.68,25.83,24.95,25.32,10408300.0
2020-12-02,25.65,25.98,25.12,25.69,8128000.0
2020-12-01,27.08,27.25,25.57,25.76,9770600.0
2020-11-30,27.69,27.99,26.75,26.75,62397100.0
2020-11-27,27.35,27.85,27.06,27.67,7590800.0
2020-11-26,26.44,27.4,26.38,27.22,5363400.0
2020-11-25,26.2,26.72,26.1,26.43,10694900.0
2020-11-24,26.77,26.77,26.0,26.32,12849900.0
2020-11-23,27.36,27.42,26.54,26.81,6788000.0
2020-11-20,27.3,27.55,27.15,27.17,3863100.0
2020-11-19,27.56,27.68,27.19,27.3,5113900.0
2020-11-18,27.21,27.91,26.97,27.44,8067500.0
2020-11-17,27.43,27.61,26.9,27.15,7990200.0
2020-11-16,28.19,28.19,26.96,27.51,9218600.0
2020-11-13,27.55,28.2,27.22,28.2,6192600.0
2020-11-12,27.85,27.9,26.93,27.35,6399600.0
2020-11-11,27.73,28.6,27.4,27.76,12912100.0
2020-11-10,29.35,29.4,27.08,27.37,11937400.0
2020-11-09,31.87,31.91,29.35,29.37,7177700.0
2020-11-06,30.3,31.23,30.12,31.07,6505200.0
2020-11-05,29.02,30.71,28.94,30.49,7678300.0
2020-11-04,27.86,28.7,27.8,28.6,6692700.0
2020-11-03,27.39,28.15,26.75,27.69,7850300.0
2020-10-30,28.1,28.56,26.85,27.0,8207500.0
2020-10-29,27.6,28.5,26.64,28.5,7222300.0
2020-10-28,27.98,28.04,27.33,27.5,3810700.0
2020-10-27,28.32,28.69,28.28,28.5,3964700.0
2020-10-26,28.29,28.9,27.93,28.27,5014300.0
2020-10-23,28.85,29.01,28.45,28.45,2559900.0
2020-10-22,28.85,29.11,28.49,29.01,3769000.0
2020-10-21,28.51,29.0,28.43,28.82,3972300.0
2020-10-20,29.0,29.22,28.31,28.57,5352800.0
2020-10-19,28.97,29.19,28.65,28.88,4203400.0
2020-10-16,28.49,28.96,28.23,28.88,3746300.0
2020-10-15,28.01,28.76,27.71,28.44,5219800.0
2020-10-14,27.8,28.56,27.7,28.35,3699100.0
2020-10-13,27.1,28.13,27.05,27.84,5232600.0
2020-10-09,27.6,27.9,26.92,27.0,4762500.0
2020-10-08,27.07,27.67,26.85,27.44,5397300.0
2020-10-07,26.72,27.21,26.23,26.95,4787000.0
2020-10-06,27.17,27.22,26.54,26.7,5394300.0
2020-10-05,26.9,27.27,26.73,27.0,3718000.0
2020-10-02,27.34,27.55,26.81,27.05,3299100.0
2020-10-01,27.01,27.64,26.76,27.51,4497900.0
2020-09-30,27.37,27.45,26.46,27.1,6275600.0
2020-09-29,27.1,27.8,26.86,27.24,3533300.0
2020-09-28,28.4,28.66,27.22,27.33,4092700.0
2020-09-25,27.62,28.32,27.3,28.31,3555900.0
2020-09-24,27.05,28.08,27.01,27.98,4810000.0
2020-09-23,28.07,28.23,26.86,27.11,5621500.0
2020-09-22,27.87,28.54,27.53,28.4,4505300.0
2020-09-21,27.65,28.15,27.11,28.06,4214900.0
2020-09-18,28.27,28.87,27.79,28.3,3648200.0
2020-09-17,28.65,29.08,27.98,28.37,3608700.0
2020-09-16,29.15,29.3,28.64,29.15,3302900.0
2020-09-15,28.96,29.59,28.71,29.0,3453400.0
2020-09-14,27.8,29.15,27.78,28.85,3607700.0
2020-09-11,28.05,28.42,27.52,27.65,4199500.0
2020-09-10,28.89,29.08,28.07,28.24,3649000.0
2020-09-09,28.0,28.9,27.58,28.88,5478200.0
2020-09-08,27.04,28.26,26.92,27.7,7388200.0
2020-09-04,28.41,28.45,26.14,27.61,13650900.0
2020-09-03,29.86,30.19,27.76,28.12,9016700.0
2020-09-02,29.24,29.9,28.74,29.85,6441100.0
2020-09-01,29.17,29.65,28.67,28.85,8089300.0
2020-08-31,28.8,28.9,28.27,28.86,3871200.0
2020-08-28,28.3,28.8,28.06,28.8,3378900.0
2020-08-27,28.04,28.32,27.59,28.21,4679400.0
2020-08-26,27.84,28.23,27.4,28.1,4399800.0
2020-08-25,27.94,28.14,27.66,27.84,2829400.0
2020-08-24,28.36,28.43,27.53,27.81,3182800.0
2020-08-21,27.54,28.54,27.42,28.1,6494700.0
2020-08-20,27.09,27.91,26.64,27.54,7678400.0
2020-08-19,28.16,28.34,27.39,27.7,3666700.0
2020-08-18,27.51,28.21,27.17,28.0,4641200.0
2020-08-17,27.85,28.4,26.6,27.0,7445400.0
2020-08-14,28.01,29.39,27.5,27.77,12554400.0
2020-08-13,28.18,28.55,27.52,27.89,5844200.0
2020-08-12,27.54,28.12,26.92,28.0,7032000.0
2020-08-11,27.0,27.76,26.31,27.51,7150800.0
2020-08-10,28.7,28.82,26.65,26.65,10081500.0
2020-08-07,28.57,29.34,28.25,28.78,6286900.0
2020-08-06,26.62,29.14,26.55,28.82,14793900.0
2020-08-05,26.18,26.41,25.78,26.0,4930500.0
2020-08-04,25.52,26.07,25.5,25.94,5694700.0
2020-08-03,25.52,26.33,25.44,25.83,6887100.0
2020-07-31,26.37,26.72,25.52,25.83,6736500.0
2020-07-30,25.94,26.29,25.62,26.12,5472500.0
2020-07-29,26.08,26.57,25.81,26.09,3915600.0
2020-07-28,26.26,26.35,25.76,25.95,4359200.0
2020-07-27,26.36,26.66,25.92,26.24,3161600.0
2020-07-24,25.9,26.36,24.6,26.36,4927000.0
2020-07-23,26.22,27.23,26.15,26.23,3780300.0
2020-07-22,26.26,27.25,25.92,26.3,7295400.0
2020-07-21,26.5,26.71,26.0,26.27,3058900.0
2020-07-20,25.71,26.75,25.36,26.39,3167400.0
2020-07-17,25.15,25.81,25.05,25.71,4869900.0
2020-07-16,24.9,25.32,24.56,25.14,3197500.0
2020-07-15,25.02,25.54,24.78,25.0,3825000.0
2020-07-14,24.7,25.04,24.15,24.68,2733500.0
2020-07-13,25.17,25.5,24.65,24.67,3016600.0
2020-07-10,25.1,25.34,24.76,25.07,2845300.0
2020-07-09,24.58,25.43,24.53,25.09,3618600.0
2020-07-08,24.53,25.14,24.24,24.32,4182000.0
2020-07-07,24.43,25.08,23.95,24.52,5771600.0
2020-07-06,24.68,24.99,24.31,24.36,3416800.0
2020-07-03,24.13,24.3,23.8,24.2,1882600.0
2020-07-02,24.2,24.51,23.83,24.13,3972300.0
2020-07-01,23.01,24.1,23.01,23.75,5811600.0
2020-06-30,22.14,23.43,22.1,23.15,5091100.0
2020-06-29,22.43,22.63,21.94,22.42,1411200.0
2020-06-26,23.09,23.09,22.19,22.26,2287800.0
2020-06-25,22.44,23.11,21.85,23.07,3119700.0
2020-06-24,22.88,23.18,22.04,22.41,3338700.0
2020-06-23,23.43,23.44,22.7,22.84,3881100.0
2020-06-22,22.56,23.02,22.36,22.64,3866200.0
2020-06-19,22.94,23.15,22.53,22.59,8406200.0
2020-06-18,22.3,22.78,21.73,22.74,7385700.0
2020-06-17,21.02,22.42,21.02,22.15,6800100.0
2020-06-16,21.58,21.7,20.81,21.03,4454200.0
2020-06-15,20.99,21.59,20.59,21.17,4199500.0
2020-06-12,20.88,21.55,20.56,21.55,5417400.0
2020-06-10,21.25,21.79,20.63,21.49,5763000.0
2020-06-09,20.69,21.47,20.42,21.11,5728900.0
2020-06-08,21.27,21.4,20.36,21.03,6822900.0
2020-06-05,21.94,22.11,20.5,20.76,8287200.0
2020-06-04,21.57,21.9,20.9,21.69,6434200.0
2020-06-03,21.14,21.6,20.64,21.48,6795200.0
2020-06-02,20.57,21.2,20.3,20.75,5750900.0
2020-06-01,20.09,20.83,19.83,20.44,5498200.0
2020-05-29,20.63,20.68,19.25,20.11,7458400.0
2020-05-28,20.34,20.85,19.9,20.5,5128100.0
2020-05-27,21.01,21.18,20.12,20.32,5421700.0
2020-05-26,20.8,21.29,20.54,20.67,5794700.0
2020-05-25,20.3,20.65,20.03,20.3,2705900.0
2020-05-22,19.95,20.16,19.6,19.73,2254900.0
2020-05-21,19.46,20.25,19.24,20.13,4446300.0
2020-05-20,19.33,19.79,19.13,19.42,3580000.0
2020-05-19,19.52,20.12,19.0,19.13,5189600.0
2020-05-18,19.27,19.46,18.79,19.14,6154200.0
2020-05-15,17.73,18.88,17.25,18.7,6782000.0
2020-05-14,17.26,17.74,17.05,17.74,4711000.0
2020-05-13,17.36,18.12,17.17,17.6,7145600.0
2020-05-12,18.26,18.7,17.24,17.26,4101300.0
2020-05-11,18.41,18.59,17.75,17.97,5341800.0
2020-05-08,18.78,18.95,17.95,18.5,5554600.0
2020-05-07,20.18,20.28,18.17,18.21,8685600.0
2020-05-06,20.23,20.28,19.32,19.69,4742600.0
2020-05-05,20.35,20.71,20.08,20.27,5868100.0
2020-05-04,19.73,20.3,19.1,20.0,5301600.0
2020-04-30,58.61,60.1,58.17,59.15,1786900.0
2020-04-29,58.8,59.5,56.8,58.8,2171400.0
2020-04-28,61.7,63.78,57.55,57.96,2778100.0
2020-04-27,54.9,59.12,54.0,58.44,1739500.0
2020-04-24,57.0,58.52,51.51,53.1,2705400.0
2020-04-23,61.4,61.4,58.19,58.61,1498900.0
2020-04-22,59.02,61.73,59.0,60.3,2502900.0
2020-04-20,57.59,59.21,57.27,59.02,1692600.0
2020-04-17,59.11,60.64,57.42,59.03,3212000.0
2020-04-16,56.61,59.57,55.69,58.08,2868200.0
2020-04-15,54.1,57.43,53.47,56.4,2594500.0
2020-04-14,56.6,58.85,54.95,55.01,2615700.0
2020-04-13,53.75,55.65,52.51,55.65,1483900.0
2020-04-09,56.16,57.78,53.75,53.75,3631300.0
2020-04-08,51.0,55.25,50.21,54.49,2178900.0
2020-04-07,49.98,54.45,49.01,50.9,3472600.0
2020-04-06,46.0,48.8,45.36,46.71,1352700.0
2020-04-03,45.38,45.9,42.8,43.94,3117300.0
2020-04-02,44.95,46.33,44.22,45.6,2056100.0
2020-04-01,44.89,47.3,42.7,44.77,3055000.0
2020-03-31,46.3,47.54,45.6,46.68,3101400.0
2020-03-30,47.79,48.5,45.54,46.94,2859500.0
2020-03-27,51.45,51.51,44.61,45.52,6539200.0
2020-03-26,55.18,56.59,51.03,53.17,3878700.0
2020-03-25,45.7,56.31,45.03,55.0,2289000.0
2020-03-24,47.62,49.41,45.91,45.91,2287300.0
2020-03-23,43.72,43.94,40.57,43.72,2500700.0
2020-03-20,43.19,46.65,41.62,43.73,5991100.0
2020-03-19,42.0,45.43,37.14,42.1,4035300.0
2020-03-18,46.18,47.22,40.18,42.87,4289700.0
2020-03-17,51.03,53.77,49.42,50.64,1528600.0
