date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,24.92,24.95,24.53,24.77,1789300.0
2021-05-12,25.38,25.38,24.65,24.7,1374600.0
2021-05-11,25.18,25.5,25.07,25.37,533300.0
2021-05-10,25.66,25.73,25.02,25.35,1125900.0
2021-05-07,25.5,25.63,25.35,25.56,1080800.0
2021-05-06,25.67,25.74,25.13,25.34,1793600.0
2021-05-05,25.76,25.84,25.35,25.62,1105000.0
2021-05-04,26.74,26.87,25.2,25.6,3060900.0
2021-05-03,27.0,27.33,26.62,26.7,3345900.0
2021-04-30,26.86,27.23,26.17,27.0,5580700.0
2021-04-29,26.26,27.27,26.15,26.95,2045300.0
2021-04-28,25.94,26.35,25.71,26.21,1421900.0
2021-04-27,25.91,25.98,25.69,25.82,909600.0
2021-04-26,26.12,26.2,25.71,25.83,1055900.0
2021-04-23,25.97,26.11,25.81,26.0,1090400.0
2021-04-22,26.03,26.25,25.81,25.92,1078600.0
2021-04-20,26.07,26.34,25.85,26.0,1569100.0
2021-04-19,26.11,26.42,26.01,26.1,1200200.0
2021-04-16,25.55,26.31,25.5,26.12,1673100.0
2021-04-15,25.63,25.67,25.44,25.49,879800.0
2021-04-14,25.32,25.57,25.21,25.57,1384500.0
2021-04-13,25.24,25.49,25.09,25.31,1330900.0
2021-04-12,25.3,25.35,25.09,25.24,1101900.0
2021-04-09,25.65,25.68,25.14,25.21,1169600.0
2021-04-08,25.45,25.77,25.36,25.64,1336700.0
2021-04-07,25.45,25.82,25.33,25.43,1768000.0
2021-04-06,25.48,25.53,25.17,25.4,1033100.0
2021-04-05,25.46,25.7,25.37,25.48,981100.0
2021-04-01,25.49,25.74,25.15,25.33,1392600.0
2021-03-31,25.38,25.53,25.01,25.33,2630800.0
2021-03-30,26.1,26.34,25.92,26.3,2174600.0
2021-03-29,26.18,26.46,25.86,26.27,3762400.0
2021-03-26,24.95,25.64,24.8,25.59,2274800.0
2021-03-25,24.19,24.65,23.79,24.53,2165600.0
2021-03-24,24.99,24.99,24.09,24.17,1839700.0
2021-03-23,24.69,25.04,24.62,24.82,818400.0
2021-03-22,24.85,25.08,24.4,24.75,1518000.0
2021-03-19,25.01,25.28,24.89,24.89,5064500.0
2021-03-18,25.12,25.26,24.91,25.0,1157800.0
2021-03-17,25.19,25.21,24.89,25.08,1862400.0
2021-03-16,24.89,25.35,24.85,25.2,2015200.0
2021-03-15,24.15,24.93,24.14,24.82,1987900.0
2021-03-12,24.08,24.28,23.93,24.1,1097400.0
2021-03-11,24.18,24.53,23.98,24.08,1235000.0
2021-03-10,24.33,24.37,23.72,24.12,2289900.0
2021-03-09,23.72,24.41,23.69,24.33,2143900.0
2021-03-08,24.43,24.52,23.65,23.72,1265600.0
2021-03-05,24.64,24.64,24.1,24.52,1622600.0
2021-03-04,23.96,24.7,23.87,24.55,2308100.0
2021-03-03,23.68,23.94,23.18,23.84,2419500.0
2021-03-02,23.39,23.72,22.96,23.72,2034600.0
2021-03-01,24.13,24.31,23.5,23.52,1816800.0
2021-02-26,25.5,25.54,23.83,23.9,4140600.0
2021-02-25,26.36,26.43,25.71,25.82,3990000.0
2021-02-24,26.03,26.45,25.8,26.19,3458700.0
2021-02-23,25.26,26.05,25.06,25.65,4505400.0
2021-02-22,24.32,24.56,24.01,24.17,2026600.0
2021-02-19,25.0,25.23,24.87,24.99,1018100.0
2021-02-18,24.86,25.15,24.78,25.0,1325200.0
2021-02-17,25.25,25.32,24.74,24.85,1313800.0
2021-02-12,25.4,25.43,25.11,25.25,1282000.0
2021-02-11,25.7,25.78,25.3,25.35,911500.0
2021-02-10,25.71,25.8,25.38,25.54,1410400.0
2021-02-09,25.96,25.97,25.71,25.77,825300.0
2021-02-08,26.08,26.23,25.79,25.97,919900.0
2021-02-05,26.28,26.29,25.91,26.07,1350900.0
2021-02-04,26.6,26.77,26.03,26.03,3254600.0
2021-02-03,26.49,27.0,26.49,26.51,1295800.0
2021-02-02,26.77,27.16,26.28,26.34,1682700.0
2021-02-01,26.63,26.77,26.26,26.66,1584800.0
2021-01-29,26.92,26.97,26.26,26.35,1880100.0
2021-01-28,26.99,27.2,26.86,26.93,1714500.0
2021-01-27,27.0,27.25,26.87,27.02,1430000.0
2021-01-26,27.02,27.34,26.8,26.92,2143000.0
2021-01-22,27.06,27.24,26.8,27.1,1751300.0
2021-01-21,27.55,27.59,27.06,27.31,854000.0
2021-01-20,28.06,28.12,27.47,27.53,1108900.0
2021-01-19,28.17,28.17,27.71,27.97,707200.0
2021-01-18,28.21,28.31,27.86,28.07,551500.0
2021-01-15,28.15,28.39,28.01,28.13,801900.0
2021-01-14,28.29,28.64,28.08,28.24,1461700.0
2021-01-13,28.06,28.32,27.98,28.26,1300400.0
2021-01-12,27.58,28.24,27.39,28.2,1455600.0
2021-01-11,27.86,28.16,27.28,27.49,870700.0
2021-01-08,27.03,28.07,26.97,27.98,1418800.0
2021-01-07,27.44,27.46,26.73,26.91,1237300.0
2021-01-06,27.53,27.58,27.14,27.32,1024400.0
2021-01-05,27.74,27.78,27.25,27.56,1108700.0
2021-01-04,27.9,28.25,27.41,27.74,2443000.0
2020-12-30,28.36,28.36,27.81,27.81,2488000.0
2020-12-29,28.12,28.37,27.95,28.37,675500.0
2020-12-28,27.97,28.36,27.78,27.99,1196200.0
2020-12-23,27.62,27.86,27.47,27.8,752700.0
2020-12-22,27.64,27.73,27.34,27.54,918300.0
2020-12-21,27.45,27.77,26.9,27.46,1290400.0
2020-12-18,27.95,28.09,27.54,27.74,1337400.0
2020-12-17,28.13,28.31,27.78,27.86,1507300.0
2020-12-16,28.98,29.07,28.56,28.86,1477600.0
2020-12-15,28.9,28.99,28.53,28.83,1190000.0
2020-12-14,29.0,29.35,28.82,28.85,1305600.0
2020-12-11,28.18,28.87,28.06,28.61,1212400.0
2020-12-10,27.64,28.24,27.4,28.08,1832200.0
2020-12-09,27.74,27.84,27.4,27.64,1140900.0
2020-12-08,27.8,28.03,27.46,27.62,1034000.0
2020-12-07,26.91,27.89,26.89,27.8,1573200.0
2020-12-04,26.99,27.04,26.75,26.99,869300.0
2020-12-03,26.78,27.24,26.7,26.94,1137000.0
2020-12-02,26.91,27.19,26.58,26.6,1550800.0
2020-12-01,27.46,27.47,26.77,26.99,2070700.0
2020-11-30,27.18,27.39,27.09,27.2,1397800.0
2020-11-27,27.09,27.24,26.92,27.18,831700.0
2020-11-26,26.91,27.14,26.8,27.04,605000.0
2020-11-25,26.51,27.17,26.51,26.91,1849200.0
2020-11-24,26.41,26.74,26.27,26.65,1074100.0
2020-11-23,26.39,26.49,26.02,26.43,1127400.0
2020-11-20,26.41,26.57,26.16,26.32,1779100.0
2020-11-19,26.34,26.58,26.33,26.44,1063800.0
2020-11-18,26.55,26.87,26.28,26.31,1992100.0
2020-11-17,26.5,26.72,26.11,26.55,1600100.0
2020-11-16,26.36,26.68,26.24,26.6,1161700.0
2020-11-13,26.03,26.39,25.84,26.23,1376100.0
2020-11-12,26.06,26.78,25.67,25.9,3802300.0
2020-11-11,26.11,26.2,25.82,26.02,2291500.0
2020-11-10,25.98,26.18,25.62,26.14,1891500.0
2020-11-09,25.91,26.25,25.71,25.92,2790200.0
2020-11-06,24.99,25.66,24.86,25.47,2517500.0
2020-11-05,24.66,25.33,24.63,25.03,2868600.0
2020-11-04,24.54,25.33,24.42,25.15,2688100.0
2020-11-03,23.76,24.68,23.71,24.37,4174800.0
2020-10-30,23.81,23.93,23.36,23.51,3523400.0
2020-10-29,23.74,24.1,23.36,23.64,2931700.0
2020-10-28,23.36,24.06,23.08,23.69,4108800.0
2020-10-27,23.3,24.17,23.21,23.76,3702700.0
2020-10-26,22.9,23.42,22.86,23.08,1234000.0
2020-10-23,22.91,23.09,22.86,22.9,645400.0
2020-10-22,22.57,23.09,22.55,22.89,1601000.0
2020-10-21,22.69,22.73,22.49,22.6,1271500.0
2020-10-20,22.27,22.78,22.17,22.73,2955500.0
2020-10-19,22.24,22.29,22.08,22.2,765600.0
2020-10-16,22.11,22.37,22.1,22.19,739600.0
2020-10-15,22.0,22.25,21.96,22.11,863800.0
2020-10-14,21.86,22.32,21.8,22.2,1038700.0
2020-10-13,21.65,21.96,21.56,21.83,977200.0
2020-10-09,21.71,21.94,21.47,21.48,1936700.0
2020-10-08,21.62,22.03,21.6,21.82,1240200.0
2020-10-07,21.67,21.76,21.31,21.6,2375700.0
2020-10-06,21.9,21.96,21.57,21.62,1985800.0
2020-10-05,21.8,21.99,21.47,21.72,1413000.0
2020-10-02,22.04,22.06,21.6,21.65,1686900.0
2020-10-01,21.83,21.99,21.56,21.99,1364700.0
2020-09-30,21.74,21.8,21.42,21.79,1791300.0
2020-09-29,21.8,21.81,21.52,21.64,1547600.0
2020-09-28,22.2,22.25,21.49,21.75,1307700.0
2020-09-25,22.29,22.29,22.0,22.03,994500.0
2020-09-24,21.9,22.41,21.85,22.36,2181000.0
2020-09-23,21.84,22.2,21.81,21.84,1576800.0
2020-09-22,21.66,21.96,21.62,21.8,1688100.0
2020-09-21,21.03,21.81,20.9,21.63,2042800.0
2020-09-18,21.22,21.39,21.17,21.31,1671300.0
2020-09-17,21.08,21.31,21.06,21.17,853500.0
2020-09-16,21.17,21.34,21.1,21.12,1172000.0
2020-09-15,21.18,21.22,21.05,21.1,768300.0
2020-09-14,21.09,21.18,20.87,21.1,1303700.0
2020-09-11,21.26,21.3,20.73,21.06,1567200.0
2020-09-10,21.6,21.64,21.21,21.25,1350800.0
2020-09-09,21.53,21.76,21.48,21.6,1425000.0
2020-09-08,21.24,21.55,21.12,21.47,1418800.0
2020-09-04,21.39,21.39,20.87,21.3,3783500.0
2020-09-03,21.45,21.63,21.2,21.26,1860300.0
2020-09-02,21.34,21.49,21.11,21.45,1970300.0
2020-09-01,21.54,21.58,21.21,21.3,2246800.0
2020-08-31,21.6,21.61,21.35,21.43,1276200.0
2020-08-28,21.31,21.61,21.2,21.55,1664300.0
2020-08-27,21.62,21.69,21.18,21.28,1853600.0
2020-08-26,21.8,21.88,21.41,21.61,1794400.0
2020-08-25,21.92,21.94,21.7,21.77,1648700.0
2020-08-24,21.95,21.98,21.73,21.88,1337600.0
2020-08-21,21.98,21.98,21.69,21.79,1287500.0
2020-08-20,21.92,22.0,21.6,21.93,1750000.0
2020-08-19,22.05,22.14,21.86,22.09,2392500.0
2020-08-18,22.15,22.16,21.94,22.1,1704100.0
2020-08-17,22.04,22.18,21.7,22.01,2136400.0
2020-08-14,22.13,22.13,21.78,22.04,1554400.0
2020-08-13,22.01,22.31,21.87,22.02,2530500.0
2020-08-12,22.14,22.14,21.64,21.99,2110400.0
2020-08-11,22.2,22.23,21.97,22.04,1200200.0
2020-08-10,22.24,22.25,21.96,22.06,909900.0
2020-08-07,22.23,22.32,22.07,22.18,1202600.0
2020-08-06,21.92,22.47,21.77,22.26,1670200.0
2020-08-05,22.23,22.23,21.76,21.84,1554400.0
2020-08-04,22.28,22.48,21.83,21.92,1809400.0
2020-08-03,22.65,22.74,22.12,22.34,1860400.0
2020-07-31,22.25,22.8,22.25,22.54,3109600.0
2020-07-30,21.39,21.78,21.35,21.76,1173500.0
2020-07-29,21.61,21.64,21.4,21.46,828500.0
2020-07-28,21.77,21.86,21.51,21.51,1199100.0
2020-07-27,21.61,21.94,21.49,21.76,1516000.0
2020-07-24,21.23,21.51,20.95,21.35,1184600.0
2020-07-23,21.48,21.6,21.24,21.24,849500.0
2020-07-22,21.4,21.72,21.34,21.5,1142300.0
2020-07-21,21.22,21.68,21.19,21.4,1540700.0
2020-07-20,20.91,21.3,20.91,21.3,1691000.0
2020-07-17,21.1,21.27,20.8,20.91,3718000.0
2020-07-16,21.03,21.37,20.98,21.07,2838700.0
2020-07-15,21.0,21.18,20.8,21.07,1884700.0
2020-07-14,20.82,20.95,20.71,20.85,924000.0
2020-07-13,20.97,21.08,20.72,20.72,2333900.0
2020-07-10,20.9,20.95,20.77,20.95,757200.0
2020-07-09,21.27,21.29,20.72,20.9,2072200.0
2020-07-08,21.14,21.35,20.8,21.19,2253100.0
2020-07-07,21.49,21.56,20.87,21.0,2044100.0
2020-07-06,21.6,21.74,21.35,21.74,1635200.0
2020-07-03,21.36,21.49,21.27,21.4,1241100.0
2020-07-02,21.5,21.78,21.2,21.26,1675500.0
2020-07-01,21.05,21.54,20.98,21.31,2051600.0
2020-06-30,20.64,21.06,20.58,20.91,3680900.0
2020-06-29,20.4,20.74,20.31,20.6,1309800.0
2020-06-26,20.46,20.47,20.13,20.29,1646600.0
2020-06-25,20.39,20.48,20.22,20.46,927800.0
2020-06-24,20.46,20.49,20.2,20.31,1413300.0
2020-06-23,20.71,20.78,20.43,20.43,1340700.0
2020-06-22,20.6,20.93,20.46,20.55,1243100.0
2020-06-19,20.66,20.82,20.39,20.39,2929200.0
2020-06-18,20.58,20.7,20.38,20.48,1138000.0
2020-06-17,20.33,20.74,20.21,20.5,1512000.0
2020-06-16,20.48,20.52,20.2,20.25,1236400.0
2020-06-15,20.0,20.33,19.88,20.21,1063300.0
2020-06-12,20.39,20.42,20.05,20.22,1777300.0
2020-06-10,20.96,21.05,20.58,20.6,1831100.0
2020-06-09,20.39,20.87,20.26,20.76,1850900.0
2020-06-08,20.45,20.75,20.42,20.58,2555300.0
2020-06-05,20.55,20.71,20.18,20.44,3234500.0
2020-06-04,20.49,20.64,20.28,20.35,2384900.0
2020-06-03,21.48,21.64,20.21,20.43,4879600.0
2020-06-02,21.1,21.31,21.05,21.26,1288000.0
2020-06-01,20.85,21.05,20.78,21.0,945800.0
2020-05-29,21.12,21.16,20.65,20.8,2284000.0
2020-05-28,20.75,21.15,20.69,20.99,2103400.0
2020-05-27,20.58,20.99,20.53,20.68,2565200.0
2020-05-26,20.48,20.75,20.35,20.42,1637700.0
2020-05-25,20.1,20.46,20.01,20.28,1738800.0
2020-05-22,19.54,19.91,19.38,19.91,1438200.0
2020-05-21,19.14,19.81,19.0,19.68,1938100.0
2020-05-20,19.37,19.39,19.01,19.09,915500.0
2020-05-19,19.43,19.55,19.05,19.18,1421400.0
2020-05-18,19.09,19.52,18.9,19.45,1568500.0
2020-05-15,18.9,19.11,18.72,18.84,1740300.0
2020-05-14,18.79,19.08,18.5,18.9,2819100.0
2020-05-13,18.91,19.26,18.64,18.91,2700900.0
2020-05-12,18.83,18.98,18.57,18.72,2123400.0
2020-05-11,19.14,19.33,18.7,18.7,2057200.0
2020-05-08,19.12,19.22,18.92,19.21,1553000.0
2020-05-07,19.19,19.19,18.76,18.85,3575100.0
2020-05-06,19.08,19.15,18.79,18.94,1336400.0
2020-05-05,19.23,19.3,19.01,19.06,1077200.0
2020-05-04,19.0,19.15,18.74,19.0,1613200.0
2020-04-30,19.5,19.69,19.18,19.43,1984600.0
2020-04-29,19.64,19.7,19.17,19.42,1527700.0
2020-04-28,19.5,19.66,19.21,19.47,1369700.0
2020-04-27,19.2,19.39,18.93,19.16,996000.0
2020-04-24,19.53,19.54,18.31,18.78,2843900.0
2020-04-23,19.58,19.79,19.34,19.71,1457500.0
2020-04-22,19.06,19.58,18.95,19.58,2300200.0
2020-04-20,18.95,19.2,18.83,18.95,2136200.0
2020-04-17,19.93,19.94,19.02,19.11,2253300.0
2020-04-16,20.29,20.52,19.91,19.95,1431400.0
2020-04-15,19.87,20.34,19.49,20.11,1464500.0
2020-04-14,19.42,19.99,19.42,19.99,2080300.0
2020-04-13,19.16,19.33,18.94,19.16,1746500.0
2020-04-09,19.21,19.64,18.97,19.18,2217300.0
2020-04-08,19.42,19.52,18.87,19.05,3563400.0
2020-04-07,20.28,20.76,19.2,19.35,4292400.0
2020-04-06,20.0,20.1,19.46,19.8,2001800.0
2020-04-03,19.03,19.5,18.65,19.45,2490000.0
2020-04-02,18.39,19.11,18.27,19.05,2862900.0
2020-04-01,18.51,18.8,18.07,18.24,2201200.0
2020-03-31,19.49,19.49,18.7,18.97,2020600.0
2020-03-30,19.81,20.02,19.27,19.37,1595500.0
2020-03-27,19.72,20.09,19.41,19.74,3224300.0
2020-03-26,19.01,20.36,19.01,20.35,2799400.0
2020-03-25,18.11,19.77,18.02,19.09,2730800.0
