date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,19.54,20.07,19.52,19.78,8183800.0
2021-05-12,19.35,19.69,18.97,19.54,7905200.0
2021-05-11,19.7,19.7,19.24,19.44,7678300.0
2021-05-10,20.15,20.49,19.71,19.86,6642100.0
2021-05-07,20.33,20.37,19.78,20.34,7375700.0
2021-05-06,21.12,21.53,20.07,20.28,14146300.0
2021-05-05,21.56,22.09,21.34,21.77,5788000.0
2021-05-04,21.54,21.73,21.17,21.3,7406200.0
2021-05-03,21.09,21.62,20.86,21.57,4382800.0
2021-04-30,21.1,21.75,20.97,21.11,6251000.0
2021-04-29,20.86,21.49,20.8,21.3,6008500.0
2021-04-28,20.4,21.05,20.06,20.92,5955800.0
2021-04-27,21.02,21.8,20.24,20.36,8319300.0
2021-04-26,20.95,21.34,20.78,21.08,3112900.0
2021-04-23,21.12,21.41,20.89,20.97,4340800.0
2021-04-22,21.29,21.42,20.74,21.0,4347800.0
2021-04-20,21.13,21.63,21.12,21.19,2562600.0
2021-04-19,20.98,21.42,20.85,21.28,5042500.0
2021-04-16,20.87,21.49,20.83,21.09,4133700.0
2021-04-15,20.86,21.12,20.83,21.12,3829200.0
2021-04-14,20.93,21.17,20.75,20.9,4019500.0
2021-04-13,20.58,20.98,20.21,20.92,4210300.0
2021-04-12,20.55,20.82,20.46,20.67,2239600.0
2021-04-09,20.54,20.81,20.45,20.45,2492200.0
2021-04-08,20.86,21.05,20.44,20.96,2662000.0
2021-04-07,20.78,21.29,20.72,20.85,3957900.0
2021-04-06,21.0,21.44,20.82,21.0,2449700.0
2021-04-05,20.91,21.38,20.71,21.1,3098000.0
2021-04-01,21.0,21.25,20.63,20.79,2980200.0
2021-03-31,21.5,21.68,20.93,21.21,4567400.0
2021-03-30,20.65,21.55,20.63,21.32,4731400.0
2021-03-29,20.59,21.1,20.5,21.01,4073300.0
2021-03-26,19.7,21.28,19.63,20.92,8742200.0
2021-03-25,19.21,20.34,18.99,20.16,5195900.0
2021-03-24,19.6,20.09,19.43,19.46,4725300.0
2021-03-23,19.62,20.25,19.44,19.57,3389700.0
2021-03-22,19.75,20.49,19.61,19.79,7149300.0
2021-03-19,19.33,20.15,19.24,19.82,7039700.0
2021-03-18,19.61,20.06,19.25,19.43,4510700.0
2021-03-17,18.96,20.17,18.92,20.1,4709000.0
2021-03-16,19.35,19.67,19.1,19.18,3311200.0
2021-03-15,19.44,19.56,19.17,19.27,4254400.0
2021-03-12,19.28,19.67,18.81,19.52,6430600.0
2021-03-11,18.43,19.72,18.1,19.49,7866900.0
2021-03-10,18.11,18.35,17.44,18.32,9799000.0
2021-03-09,17.79,18.35,17.62,17.95,6293200.0
2021-03-08,18.5,18.97,17.6,17.71,8882000.0
2021-03-05,18.88,19.4,18.65,19.23,6870700.0
2021-03-04,18.4,19.87,18.29,19.35,17288300.0
2021-03-03,18.51,18.73,17.33,18.22,15218400.0
2021-03-02,18.5,18.9,17.5,18.69,15115500.0
2021-03-01,19.41,19.73,18.67,18.75,6481200.0
2021-02-26,19.9,19.9,19.12,19.32,10723100.0
2021-02-25,21.14,21.2,19.34,19.68,23202500.0
2021-02-24,21.49,21.82,21.11,21.28,6595400.0
2021-02-23,21.25,21.84,21.0,21.38,9921800.0
2021-02-22,21.94,21.99,20.55,21.07,24633300.0
2021-02-19,22.35,23.01,22.18,22.86,4623100.0
2021-02-18,23.13,23.15,22.25,22.5,4983900.0
2021-02-17,23.01,23.63,22.85,23.31,3716100.0
2021-02-12,23.41,23.65,23.15,23.4,4135100.0
2021-02-11,23.64,23.99,23.02,23.41,5879600.0
2021-02-10,23.76,24.13,23.43,23.71,10442300.0
2021-02-09,23.64,24.46,23.54,24.39,6084800.0
2021-02-08,23.6,24.08,23.38,23.86,5699400.0
2021-02-05,23.44,23.99,23.3,23.6,4211600.0
2021-02-04,23.3,23.75,23.21,23.31,4463500.0
2021-02-03,22.97,23.77,22.83,23.45,6252200.0
2021-02-02,22.8,23.19,22.63,22.83,5588600.0
2021-02-01,22.08,22.49,21.79,22.22,5225800.0
2021-01-29,22.72,22.84,21.68,21.78,4950900.0
2021-01-28,22.06,23.3,21.94,22.97,5350600.0
2021-01-27,21.98,22.41,21.67,22.03,4253400.0
