date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,21.89,22.39,21.24,21.36,24642800.0
2021-05-12,23.17,23.39,22.15,22.36,25704500.0
2021-05-11,23.0,23.66,22.81,23.57,19393400.0
2021-05-10,23.77,24.36,23.23,23.38,26930400.0
2021-05-07,23.12,23.31,22.69,23.14,84121200.0
2021-05-06,23.07,23.82,22.76,23.57,18896100.0
2021-05-05,22.17,23.47,22.17,22.9,34472300.0
2021-05-04,21.61,22.07,21.45,21.92,12497100.0
2021-05-03,22.52,22.53,21.32,21.73,17811400.0
2021-04-30,22.28,22.89,22.15,22.45,21451600.0
2021-04-29,23.0,23.21,22.09,22.92,19650500.0
2021-04-28,23.15,23.57,22.72,22.92,18683400.0
2021-04-27,22.97,23.54,22.49,23.09,24315300.0
2021-04-26,22.5,23.09,21.96,22.94,25413900.0
2021-04-23,22.81,23.12,21.67,22.15,33627700.0
2021-04-22,21.42,22.59,21.33,22.21,31299900.0
2021-04-20,21.63,21.94,20.75,21.08,15904400.0
2021-04-19,21.74,21.88,21.24,21.43,16641000.0
2021-04-16,21.11,21.62,20.85,21.57,13900100.0
2021-04-15,21.29,21.83,20.66,21.0,22346800.0
2021-04-14,20.08,21.04,20.03,20.81,22931900.0
2021-04-13,19.51,20.19,19.2,19.97,18637200.0
2021-04-12,19.48,19.7,19.11,19.41,17496100.0
2021-04-09,18.32,19.51,18.25,19.2,26970100.0
2021-04-08,18.04,18.6,18.04,18.57,21378400.0
2021-04-07,17.76,18.0,17.53,17.9,13806100.0
2021-04-06,17.15,17.84,17.13,17.65,20238300.0
2021-04-05,16.84,17.25,16.72,17.06,14211000.0
2021-04-01,17.26,17.4,16.56,16.61,14922300.0
2021-03-31,16.87,17.22,16.73,17.1,18171400.0
2021-03-30,16.59,16.94,16.35,16.87,15374000.0
2021-03-29,16.67,17.04,16.46,16.67,18109900.0
2021-03-26,16.6,16.96,16.23,16.58,18165600.0
2021-03-25,16.45,16.55,15.85,16.36,18808400.0
2021-03-24,16.92,17.18,16.35,16.42,20216900.0
2021-03-23,17.45,17.83,16.56,16.65,24622100.0
2021-03-22,17.48,17.65,17.01,17.23,15051900.0
2021-03-19,18.0,18.18,17.61,17.78,17977800.0
2021-03-18,18.37,18.9,17.77,17.96,18546200.0
2021-03-17,18.56,18.73,18.19,18.37,19854600.0
2021-03-16,17.31,18.85,17.29,18.54,52462100.0
2021-03-15,16.89,17.21,16.72,17.08,14236200.0
2021-03-12,17.2,17.82,16.86,16.88,23147900.0
2021-03-11,16.82,17.57,16.76,17.28,21814200.0
2021-03-10,17.05,17.2,16.28,16.54,19439300.0
2021-03-09,16.7,17.25,16.35,17.09,19040100.0
2021-03-08,17.5,18.05,16.89,16.99,19554400.0
2021-03-05,16.8,17.94,16.63,17.79,22994900.0
2021-03-04,17.3,17.59,16.58,16.81,25979600.0
