date,1. open,2. high,3. low,4. close,5. volume
2016-11-04,13.28,13.3,12.41,13.0,44900.0
2016-11-03,12.25,13.35,11.91,13.35,481600.0
2016-11-02,12.26,12.26,12.26,12.26,0.0
2016-11-01,12.54,12.54,12.05,12.26,37500.0
2016-10-31,12.76,12.82,12.44,12.45,34600.0
2016-10-28,12.95,13.23,12.74,12.85,46700.0
2016-10-27,13.61,13.79,13.0,13.08,74000.0
2016-10-26,12.49,13.86,12.36,13.86,154800.0
2016-10-25,12.82,13.2,12.31,12.39,83200.0
2016-10-24,12.37,12.85,12.06,12.26,64200.0
2016-10-21,12.12,12.67,12.12,12.15,48600.0
2016-10-20,12.06,12.78,12.05,12.31,21900.0
2016-10-19,12.66,12.95,12.07,12.39,60300.0
2016-10-18,13.92,14.1,12.65,12.69,101100.0
2016-10-17,13.61,14.0,13.6,13.76,12700.0
2016-10-14,14.0,14.18,13.6,13.87,10300.0
2016-10-13,14.3,14.3,13.82,14.0,9400.0
2016-10-12,14.04,14.04,14.04,14.04,0.0
2016-10-11,14.08,14.42,13.9,14.04,19000.0
2016-10-10,14.4,14.4,13.71,13.95,20500.0
2016-10-07,13.9,14.46,13.8,14.34,31800.0
2016-10-06,13.86,14.05,13.62,13.75,11500.0
2016-10-05,15.01,15.01,13.8,14.07,26400.0
2016-10-04,15.76,16.49,14.22,14.7,100900.0
2016-10-03,12.78,15.5,12.78,15.41,156200.0
2016-09-30,12.25,12.78,12.25,12.78,27100.0
2016-09-29,12.6,12.6,12.29,12.29,10400.0
2016-09-28,12.0,12.7,11.77,12.59,17000.0
2016-09-27,12.0,12.0,11.7,11.73,25600.0
2016-09-26,11.9,12.05,11.71,11.75,8800.0
2016-09-23,11.72,11.79,11.72,11.75,10700.0
2016-09-22,11.91,11.94,11.7,11.73,33800.0
2016-09-21,12.04,12.04,11.66,11.75,16500.0
2016-09-20,12.29,12.29,12.03,12.03,8300.0
2016-09-19,12.31,12.67,12.2,12.28,9100.0
2016-09-16,12.88,12.88,12.37,12.4,8300.0
2016-09-15,12.53,13.23,12.31,12.78,14500.0
2016-09-14,13.16,13.33,12.52,12.52,18700.0
2016-09-13,12.7,13.14,12.5,12.98,54600.0
2016-09-12,12.87,13.11,12.61,12.98,5400.0
2016-09-09,13.1,13.12,12.72,13.12,16300.0
2016-09-08,12.81,13.5,12.81,13.17,27200.0
2016-09-07,12.99,12.99,12.99,12.99,0.0
2016-09-06,12.55,12.99,11.55,12.99,36300.0
2016-09-05,12.82,13.15,12.55,12.55,9900.0
2016-09-02,12.58,12.82,12.36,12.63,12600.0
2016-09-01,12.31,13.0,12.22,12.56,10300.0
2016-08-31,11.92,12.58,11.8,12.3,19400.0
2016-08-30,12.76,12.76,11.9,12.06,32600.0
2016-08-29,12.52,12.8,12.29,12.4,30700.0
2016-08-26,13.06,13.4,12.55,12.68,28800.0
2016-08-25,13.04,13.4,12.56,12.85,58900.0
2016-08-24,13.84,13.84,13.04,13.04,23400.0
2016-08-23,14.41,14.41,13.4,13.89,34200.0
2016-08-22,15.0,15.0,14.01,14.25,20900.0
2016-08-19,13.92,15.05,13.5,14.99,71200.0
2016-08-18,14.09,14.15,13.67,14.15,35400.0
2016-08-17,14.56,14.6,13.5,14.16,20200.0
2016-08-16,14.59,15.2,14.32,14.41,16800.0
2016-08-15,14.98,15.25,14.54,14.59,31100.0
2016-08-12,14.37,15.48,14.37,14.77,53800.0
2016-08-11,14.8,14.8,14.26,14.29,277800.0
2016-08-10,16.15,17.0,14.31,14.79,287100.0
2016-08-09,16.71,16.79,16.05,16.12,31100.0
2016-08-08,17.8,17.81,16.3,16.8,33700.0
2016-08-05,18.21,18.37,17.67,17.9,28300.0
2016-08-04,18.83,19.21,18.2,18.21,31300.0
2016-08-03,18.82,19.05,18.4,18.6,14300.0
