date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,112.0,114.22,110.72,112.49,34260600.0
2021-05-12,118.0,118.46,113.96,114.33,31627200.0
2021-05-11,113.98,118.72,113.32,118.72,28588600.0
2021-05-10,119.8,120.45,114.69,114.69,38698900.0
2021-05-07,116.54,116.55,114.19,115.45,21599300.0
2021-05-06,111.94,115.2,111.48,115.05,38105600.0
2021-05-05,111.99,112.82,110.39,110.71,25943200.0
2021-05-04,108.95,111.07,108.66,110.1,20728200.0
2021-05-03,109.7,110.35,108.26,108.46,19447500.0
2021-04-30,110.99,111.56,109.02,109.02,36654500.0
2021-04-29,112.19,112.95,110.89,111.95,19644500.0
2021-04-28,110.56,112.43,109.33,111.92,20440600.0
2021-04-27,108.88,110.6,108.52,110.12,24024900.0
2021-04-26,109.95,110.69,108.15,108.57,16731800.0
2021-04-23,107.15,108.1,106.46,107.99,12725800.0
2021-04-22,107.24,107.24,104.34,106.23,19703600.0
2021-04-20,107.95,108.35,105.02,106.16,20782200.0
2021-04-19,109.0,109.88,107.64,107.73,23222200.0
2021-04-16,108.64,109.11,107.5,108.67,17363800.0
2021-04-15,108.66,109.88,107.55,108.21,19334800.0
2021-04-14,103.97,107.78,103.77,107.0,37999200.0
2021-04-13,103.9,104.29,102.85,103.58,17575700.0
2021-04-12,102.9,103.63,102.21,103.4,14729800.0
2021-04-09,104.0,104.66,102.94,103.0,18798800.0
2021-04-08,104.94,105.3,104.12,104.5,25886000.0
2021-04-07,102.37,105.32,102.15,104.56,32720700.0
2021-04-06,103.8,104.56,102.05,102.05,22106600.0
2021-04-05,99.83,103.82,99.8,103.39,35726400.0
2021-04-01,98.5,98.86,96.13,97.39,17065300.0
2021-03-31,97.17,98.56,96.7,97.97,18674800.0
2021-03-30,97.91,98.5,96.58,97.07,17895900.0
2021-03-29,96.0,98.45,95.87,97.98,25817100.0
2021-03-26,93.74,95.73,93.39,95.53,26659900.0
2021-03-25,93.04,93.29,90.61,92.44,23542600.0
2021-03-24,92.0,94.64,91.81,93.15,24629600.0
2021-03-23,93.34,93.78,91.06,91.06,20290600.0
2021-03-22,93.52,93.84,91.85,93.21,21012900.0
2021-03-19,96.1,96.16,93.44,94.78,38510300.0
2021-03-18,97.7,98.27,95.53,96.16,19048300.0
2021-03-17,96.4,98.12,96.06,97.9,21369500.0
2021-03-16,97.04,97.84,96.02,96.51,19078800.0
2021-03-15,96.5,97.35,95.76,96.82,19951000.0
2021-03-12,99.0,99.44,96.71,97.4,21115500.0
2021-03-11,98.99,100.1,98.21,99.7,26203200.0
2021-03-10,97.5,97.84,95.72,97.15,31311800.0
2021-03-09,97.5,99.31,95.88,98.67,40537000.0
2021-03-08,99.2,101.93,98.9,99.67,39677300.0
2021-03-05,94.72,100.6,93.93,100.21,46503300.0
2021-03-04,99.4,101.49,97.52,98.86,48492500.0
2021-03-03,102.0,104.0,99.65,100.35,41473300.0
2021-03-02,97.5,102.18,94.94,101.6,47565800.0
2021-03-01,96.0,99.33,95.36,98.57,32798000.0
2021-02-26,96.55,97.7,94.02,94.52,42856000.0
2021-02-25,98.7,98.95,95.02,95.71,24470400.0
2021-02-24,97.13,98.21,95.86,97.93,21856100.0
2021-02-23,96.59,97.35,93.31,96.95,35754600.0
2021-02-22,96.5,98.52,94.04,95.35,50160600.0
2021-02-19,97.21,98.85,96.33,97.77,24966600.0
2021-02-18,97.36,98.4,96.02,97.4,33088500.0
2021-02-17,96.01,96.72,95.19,96.35,29262900.0
2021-02-12,93.12,94.14,92.2,93.89,14760700.0
2021-02-11,95.47,95.47,93.1,93.1,19775900.0
2021-02-10,94.66,95.67,94.38,94.7,40318300.0
2021-02-09,94.6,95.22,92.32,94.25,32303400.0
2021-02-08,92.97,94.91,92.45,94.01,28164400.0
2021-02-05,90.2,92.77,89.55,92.69,27114800.0
2021-02-04,91.95,92.87,89.09,89.29,29939700.0
2021-02-03,88.85,91.42,88.6,90.43,34346400.0
2021-02-02,90.18,90.58,87.51,87.66,34426700.0
2021-02-01,90.01,91.27,88.58,91.27,27135500.0
2021-01-29,89.99,90.85,87.79,87.95,31481600.0
2021-01-28,88.2,91.35,88.1,91.1,35900800.0
2021-01-27,90.39,91.18,88.2,89.2,32419700.0
2021-01-26,92.99,94.16,91.36,91.75,24921600.0
2021-01-22,91.99,93.81,90.99,93.17,25814300.0
2021-01-21,92.3,96.1,92.14,93.36,25983400.0
2021-01-20,95.0,95.14,90.83,92.32,20480000.0
2021-01-19,94.5,94.57,91.9,94.06,27155400.0
2021-01-18,93.9,95.64,93.55,94.31,22667600.0
2021-01-15,96.58,97.2,93.2,93.55,31712400.0
2021-01-14,97.22,98.86,96.7,97.8,20806700.0
2021-01-13,98.87,98.92,95.74,96.22,31658800.0
2021-01-12,102.5,102.62,99.18,99.19,28598500.0
2021-01-11,100.25,101.98,99.7,101.98,29266700.0
2021-01-08,103.01,103.35,98.2,102.0,58562700.0
2021-01-07,96.61,102.53,96.61,102.32,74541400.0
2021-01-06,94.98,96.35,94.4,95.61,53722500.0
2021-01-05,91.46,93.0,90.52,93.0,34300300.0
2021-01-04,89.35,91.48,88.85,91.46,37865500.0
2020-12-30,87.19,87.59,86.65,87.45,30102700.0
2020-12-29,87.97,88.2,86.51,87.07,19727500.0
2020-12-28,87.79,88.58,87.08,87.31,26001300.0
2020-12-23,86.53,87.53,86.4,87.36,17710200.0
2020-12-22,86.86,86.99,85.43,86.94,23157000.0
2020-12-21,86.15,87.4,84.78,86.86,31877300.0
2020-12-18,87.62,88.38,87.43,87.8,23843100.0
2020-12-17,86.5,87.95,86.17,87.2,21367800.0
2020-12-16,84.9,86.23,84.36,86.22,23038300.0
2020-12-15,84.16,85.38,84.01,84.5,18762800.0
2020-12-14,85.2,85.22,82.95,83.55,20931700.0
2020-12-11,84.62,85.28,84.4,84.86,25136800.0
2020-12-10,83.65,85.22,83.2,85.0,41230700.0
