date,1. open,2. high,3. low,4. close,5. volume
2018-11-23,14.75,15.23,14.46,14.58,3681500.0
2018-11-22,15.0,15.13,14.6,14.75,2938500.0
2018-11-21,15.25,15.32,14.86,15.0,3934900.0
2018-11-19,15.65,15.9,15.2,15.42,2865400.0
2018-11-16,16.1,16.15,15.26,15.87,4997800.0
2018-11-14,16.05,16.27,15.71,15.9,3192700.0
2018-11-13,16.39,16.4,15.9,15.99,2609100.0
2018-11-12,16.16,16.48,15.97,16.16,3535500.0
2018-11-09,15.25,15.96,15.15,15.9,4540300.0
2018-11-08,15.76,15.97,15.08,15.29,4321700.0
2018-11-07,16.35,16.56,15.4,15.68,3258100.0
2018-11-06,16.6,16.75,16.13,16.24,3103000.0
2018-11-05,16.6,16.9,16.4,16.75,2579400.0
2018-11-01,17.01,17.05,16.22,16.55,4154600.0
2018-10-31,17.0,17.3,16.5,16.87,6682200.0
2018-10-30,15.92,16.98,15.8,16.9,5073700.0
2018-10-29,16.69,16.94,15.59,15.84,5964300.0
2018-10-26,15.8,16.38,15.24,16.13,6825000.0
2018-10-25,15.0,16.39,14.49,15.65,9118700.0
2018-10-24,16.05,16.71,15.11,15.2,7742400.0
2018-10-23,14.2,15.98,14.06,15.95,7814700.0
2018-10-22,13.7,14.68,13.61,14.51,4725300.0
2018-10-19,13.47,13.82,13.23,13.52,3680500.0
2018-10-18,13.9,14.03,13.33,13.35,5742300.0
2018-10-17,14.03,14.24,13.89,13.91,4317800.0
2018-10-16,14.23,14.44,13.97,14.19,3487900.0
2018-10-15,14.55,14.79,13.77,13.92,3532700.0
2018-10-11,14.55,14.98,13.85,14.03,3418100.0
2018-10-10,15.05,15.05,14.2,14.2,4152300.0
2018-10-09,14.9,15.74,14.61,15.19,3345000.0
2018-10-08,15.05,15.05,14.49,15.0,5764700.0
2018-10-05,14.2,14.29,13.51,13.82,2019800.0
2018-10-04,13.8,14.18,13.12,13.9,4606400.0
2018-10-03,13.8,14.18,13.6,14.0,6247700.0
2018-10-02,13.2,13.53,12.92,13.26,8302000.0
2018-10-01,14.99,15.02,12.53,12.7,14853800.0
2018-09-28,16.4,16.45,14.91,14.92,8645400.0
2018-09-27,16.25,17.0,16.25,16.48,2532800.0
2018-09-26,16.49,16.81,16.26,16.31,1661400.0
2018-09-25,16.0,16.55,15.85,16.49,2227400.0
2018-09-24,16.49,16.55,15.9,16.25,1465000.0
2018-09-21,16.45,16.8,16.13,16.35,2634000.0
2018-09-20,16.36,16.47,15.6,16.23,4150400.0
2018-09-19,17.07,17.36,15.76,15.76,5043400.0
2018-09-18,16.3,17.47,16.2,16.98,7153500.0
2018-09-17,14.86,16.2,14.48,16.19,5215000.0
2018-09-14,15.79,16.42,14.68,15.0,10461600.0
