date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,31.49,32.26,31.42,31.8,7224500.0
2021-05-12,31.87,32.16,31.27,31.27,7157800.0
2021-05-11,31.93,32.4,31.63,32.29,9254300.0
2021-05-10,33.42,33.5,32.26,32.31,9704100.0
2021-05-07,33.82,33.99,33.06,33.42,10121900.0
2021-05-06,34.28,34.49,33.32,33.73,10946900.0
2021-05-05,33.75,34.78,33.42,34.71,7373000.0
2021-05-04,34.4,34.62,33.6,33.7,10546400.0
2021-05-03,35.0,35.25,34.26,34.45,8060500.0
2021-04-30,35.42,35.42,34.5,35.01,12259600.0
2021-04-29,36.56,36.8,35.23,35.49,12078300.0
2021-04-28,38.1,38.9,36.24,36.5,15310500.0
2021-04-27,74.49,74.87,73.34,74.02,3438500.0
2021-04-26,75.39,75.96,74.04,74.63,3421200.0
2021-04-23,73.55,75.4,73.32,75.21,4159700.0
2021-04-22,74.5,75.5,72.88,72.88,5702700.0
2021-04-20,75.55,76.7,73.68,73.87,5721900.0
2021-04-19,77.14,77.34,75.8,75.8,5521100.0
2021-04-16,78.09,78.7,76.95,77.05,4010100.0
2021-04-15,76.61,78.5,76.3,78.3,6866400.0
2021-04-14,75.4,77.25,75.3,76.23,5131200.0
2021-04-13,75.46,76.24,74.71,74.98,5086800.0
2021-04-12,75.81,77.02,75.35,75.51,3752100.0
2021-04-09,75.84,76.2,74.14,75.51,5297800.0
2021-04-08,76.25,77.26,75.61,76.46,4708600.0
2021-04-07,77.1,77.35,75.51,76.16,4841400.0
2021-04-06,77.26,77.89,76.08,77.1,5622400.0
2021-04-05,76.29,77.16,75.88,76.91,4840500.0
2021-04-01,75.28,77.57,74.76,75.06,6371700.0
2021-03-31,75.49,76.36,74.02,74.56,5995000.0
2021-03-30,71.74,75.45,71.52,75.05,6210900.0
2021-03-29,72.2,72.8,71.31,72.1,4896600.0
2021-03-26,71.2,73.57,71.0,72.74,5526800.0
2021-03-25,70.52,71.54,69.83,71.07,5754700.0
2021-03-24,71.8,72.96,70.26,70.52,8064800.0
2021-03-23,70.6,72.72,70.45,71.61,4638500.0
2021-03-22,71.5,72.32,70.1,71.3,4622400.0
2021-03-19,72.01,72.25,70.75,71.95,6896100.0
2021-03-18,72.39,72.75,71.51,71.81,3914500.0
2021-03-17,72.35,73.35,71.75,73.19,5252200.0
2021-03-16,73.74,74.05,71.85,73.4,6275200.0
2021-03-15,70.96,73.68,70.7,73.22,4809700.0
2021-03-12,71.46,72.13,70.3,71.15,5446200.0
2021-03-11,72.97,73.1,70.89,71.92,6882700.0
2021-03-10,72.08,72.4,69.5,72.28,8999600.0
2021-03-09,69.95,73.12,69.64,71.5,8603400.0
2021-03-08,71.73,72.5,69.12,69.15,9476300.0
2021-03-05,73.51,74.23,71.02,73.04,8650800.0
2021-03-04,77.28,77.32,72.56,73.23,11821400.0
2021-03-03,77.03,77.93,73.52,77.0,6728700.0
2021-03-02,77.16,78.5,75.07,77.06,7227200.0
2021-03-01,78.92,79.9,77.5,78.0,6508100.0
2021-02-26,80.5,82.21,78.01,78.05,11273000.0
2021-02-25,87.1,87.29,79.5,79.5,15292900.0
2021-02-24,86.13,88.3,84.74,86.7,9942800.0
2021-02-23,83.0,84.33,81.76,83.66,6626900.0
2021-02-22,82.15,84.35,80.67,82.72,7011200.0
2021-02-19,83.9,84.5,82.64,83.24,4075700.0
2021-02-18,83.4,84.79,82.14,83.38,5263800.0
2021-02-17,85.87,85.99,82.62,83.95,5975000.0
2021-02-12,86.9,87.28,85.7,86.67,2866300.0
2021-02-11,86.64,88.65,86.64,87.0,4089900.0
2021-02-10,85.3,86.68,84.06,86.03,4999500.0
2021-02-09,84.65,85.95,83.9,85.01,4194300.0
2021-02-08,84.7,86.87,84.25,85.5,4522600.0
2021-02-05,86.46,86.56,84.19,84.5,4136400.0
2021-02-04,88.8,90.08,85.57,85.57,5723800.0
2021-02-03,85.99,88.67,85.08,88.67,6260600.0
2021-02-02,86.0,87.33,84.39,85.0,6608500.0
2021-02-01,85.41,85.9,83.4,84.54,6809000.0
2021-01-29,87.49,88.35,83.56,83.79,5720300.0
2021-01-28,88.5,89.15,86.76,87.97,5030800.0
2021-01-27,88.98,90.98,87.9,88.25,6063100.0
2021-01-26,88.98,91.2,88.45,88.95,5164300.0
2021-01-22,86.57,89.65,86.0,88.97,6012500.0
2021-01-21,89.0,89.41,86.51,87.65,4225300.0
2021-01-20,90.55,91.42,88.41,88.7,3508200.0
2021-01-19,92.92,93.86,89.05,89.6,6894300.0
2021-01-18,86.85,92.31,86.8,92.21,7398700.0
2021-01-15,89.25,90.93,85.41,86.16,7043300.0
2021-01-14,91.16,91.43,89.6,89.87,4238500.0
2021-01-13,90.2,91.91,88.81,90.28,6891400.0
2021-01-12,87.43,90.84,86.59,90.07,6345300.0
2021-01-11,88.97,90.44,86.27,87.03,7745400.0
2021-01-08,84.95,89.99,84.85,89.78,8668500.0
2021-01-07,82.38,85.01,81.84,84.66,7564800.0
2021-01-06,79.37,83.47,78.13,81.54,10753700.0
2021-01-05,74.65,79.2,74.0,79.2,8316800.0
2021-01-04,75.85,76.39,74.5,74.62,3609900.0
2020-12-30,75.37,76.65,75.24,75.74,6187700.0
2020-12-29,75.85,76.24,74.36,75.15,3065100.0
2020-12-28,73.0,75.5,72.95,75.5,3419400.0
2020-12-23,73.03,73.98,72.4,72.62,2403300.0
2020-12-22,72.66,73.29,72.09,72.82,2599900.0
2020-12-21,71.11,73.64,70.6,72.01,4430100.0
2020-12-18,75.8,76.55,72.59,72.87,7897600.0
2020-12-17,73.31,75.98,73.0,75.77,8163300.0
2020-12-16,73.16,73.99,72.34,73.3,8112900.0
2020-12-15,70.45,72.8,68.3,72.75,8882400.0
2020-12-14,71.38,71.79,70.21,70.55,2911200.0
2020-12-11,70.8,71.23,70.0,71.0,2761600.0
2020-12-10,71.22,71.87,69.5,71.0,4951300.0
2020-12-09,72.7,73.1,70.71,71.0,3200100.0
2020-12-08,72.07,72.76,71.28,72.7,4669300.0
2020-12-07,71.99,73.46,70.7,71.61,6428800.0
2020-12-04,74.1,74.4,71.8,71.8,6597200.0
2020-12-03,73.3,74.99,73.15,73.93,5158100.0
2020-12-02,74.5,74.5,71.82,73.23,6204200.0
2020-12-01,73.85,75.58,73.3,73.6,6425200.0
2020-11-30,77.23,77.4,73.57,73.57,10524700.0
2020-11-27,77.97,78.71,76.8,77.0,3286900.0
2020-11-26,77.33,78.21,77.01,77.7,1857100.0
2020-11-25,76.91,78.4,76.9,77.32,3524600.0
2020-11-24,78.59,78.59,76.77,76.94,5271400.0
2020-11-23,80.33,80.5,78.51,78.51,3468200.0
2020-11-20,80.9,81.17,79.12,80.0,3759500.0
2020-11-19,80.65,81.55,80.39,80.93,2291900.0
2020-11-18,81.55,82.5,80.58,81.09,3398500.0
2020-11-17,81.4,81.74,80.15,81.69,3155200.0
2020-11-16,83.46,83.54,80.51,81.58,3768300.0
2020-11-13,81.43,83.39,81.33,82.87,4505900.0
2020-11-12,80.52,81.85,80.14,80.8,5060700.0
2020-11-11,79.03,80.71,78.54,80.59,4543600.0
2020-11-10,82.45,82.54,79.03,79.03,8353900.0
2020-11-09,86.0,86.27,81.72,82.13,7606200.0
2020-11-06,84.78,85.58,83.22,84.0,5857100.0
2020-11-05,83.9,85.75,83.7,85.75,8740800.0
2020-11-04,78.54,82.49,78.04,82.2,7450100.0
2020-11-03,77.99,78.83,76.12,77.32,9036900.0
2020-10-30,80.33,80.74,75.83,75.83,9535200.0
2020-10-29,79.4,81.6,79.32,80.03,8766800.0
2020-10-28,82.0,82.69,79.05,79.14,8040300.0
2020-10-27,82.97,84.34,82.54,83.24,6663400.0
2020-10-26,81.49,83.99,81.25,82.75,6291800.0
2020-10-23,82.25,83.26,80.64,81.67,8068300.0
2020-10-22,79.65,82.68,78.45,82.11,13042400.0
2020-10-21,87.0,87.21,78.31,78.4,20386200.0
2020-10-20,82.9,83.95,81.47,83.55,6399900.0
2020-10-19,83.01,83.81,81.11,82.06,5806200.0
2020-10-16,81.06,83.36,80.91,82.05,6355600.0
2020-10-15,79.64,81.28,78.1,80.77,6096300.0
2020-10-14,79.26,80.98,79.26,80.58,6579000.0
2020-10-13,77.88,79.47,77.35,79.15,6030100.0
2020-10-09,74.94,77.18,74.55,76.9,5745700.0
2020-10-08,73.36,75.56,73.32,75.18,7166400.0
2020-10-07,71.78,74.19,71.68,73.17,7730800.0
2020-10-06,70.41,72.29,70.3,71.48,7723400.0
2020-10-05,67.25,70.18,67.12,70.18,7193000.0
2020-10-02,66.48,67.38,65.8,67.05,5659800.0
2020-10-01,65.84,66.9,64.94,66.9,5160700.0
2020-09-30,65.21,65.72,64.0,65.7,6300700.0
2020-09-29,63.0,65.06,62.61,64.94,6771600.0
2020-09-28,65.1,66.11,62.59,62.89,7446600.0
2020-09-25,63.81,64.27,63.1,64.25,3079500.0
2020-09-24,62.51,65.12,62.51,64.49,5038200.0
2020-09-23,64.84,65.83,62.5,62.5,4865900.0
2020-09-22,63.63,65.24,63.21,64.62,4963600.0
2020-09-21,61.3,63.78,60.75,63.4,5032500.0
2020-09-18,62.3,63.45,61.76,61.99,5967200.0
2020-09-17,62.35,63.15,62.0,62.82,2854200.0
2020-09-16,64.24,65.25,62.94,62.94,4369500.0
2020-09-15,63.7,64.49,62.94,64.08,3869000.0
2020-09-14,63.0,63.79,62.61,63.33,3312800.0
2020-09-11,63.07,64.42,61.63,62.09,7218900.0
2020-09-10,64.9,64.9,62.42,62.42,4162800.0
2020-09-09,63.51,65.47,63.26,64.93,4579500.0
2020-09-08,64.19,64.19,62.6,63.0,4911200.0
2020-09-04,65.0,65.15,61.87,64.49,7341100.0
2020-09-03,66.7,67.22,63.4,64.43,6779700.0
2020-09-02,67.2,68.13,65.94,66.81,5269400.0
2020-09-01,65.7,67.1,65.19,66.93,3953400.0
2020-08-31,67.12,67.12,64.62,64.62,7934100.0
2020-08-28,66.8,67.98,66.09,67.19,3836200.0
2020-08-27,66.9,67.29,65.52,66.29,3431600.0
2020-08-26,68.29,68.74,65.8,66.43,6884800.0
2020-08-25,66.56,68.54,66.56,68.29,5018400.0
2020-08-24,67.76,68.6,66.25,66.47,5219200.0
2020-08-21,67.11,67.61,66.1,67.6,4576400.0
2020-08-20,64.99,67.94,64.21,67.22,7312300.0
2020-08-19,68.01,68.45,65.76,65.88,5353100.0
2020-08-18,69.29,69.33,67.32,67.7,5266500.0
2020-08-17,68.99,69.59,67.15,67.97,4727900.0
2020-08-14,68.97,70.43,68.21,69.17,4464900.0
2020-08-13,68.5,70.92,68.4,68.9,7395600.0
2020-08-12,68.1,68.45,66.11,68.0,4728700.0
2020-08-11,69.47,69.93,67.37,67.37,3946100.0
2020-08-10,68.54,69.36,67.29,68.99,3576900.0
2020-08-07,69.03,70.19,68.18,68.45,4706400.0
2020-08-06,68.59,69.89,68.31,69.83,4020800.0
2020-08-05,67.89,69.28,67.55,68.2,5368300.0
2020-08-04,65.9,67.53,65.5,66.79,6330300.0
2020-08-03,67.36,67.53,66.1,66.57,5566000.0
2020-07-31,68.39,68.6,67.0,67.35,4266300.0
2020-07-30,66.13,68.0,64.6,68.0,4260500.0
2020-07-29,67.76,68.05,66.0,66.98,6322600.0
2020-07-28,69.8,69.85,67.1,67.19,6516300.0
2020-07-27,67.81,71.02,67.73,69.95,7173400.0
2020-07-24,66.81,67.82,65.41,66.71,6532600.0
2020-07-23,68.0,69.8,66.61,66.98,9774900.0
2020-07-22,62.7,68.9,62.51,68.2,17654800.0
2020-07-21,60.5,61.03,59.01,59.88,5011700.0
2020-07-20,58.4,60.16,58.2,60.16,5213100.0
2020-07-17,55.03,58.46,54.7,58.09,6435500.0
2020-07-16,54.14,55.72,53.67,54.55,5100300.0
2020-07-15,54.54,54.7,54.08,54.35,4611000.0
2020-07-14,54.5,55.58,53.82,53.99,5142800.0
2020-07-13,54.8,55.89,54.6,54.94,5045400.0
2020-07-10,54.59,55.22,53.93,54.7,3641300.0
2020-07-09,54.62,54.77,54.12,54.46,3717100.0
2020-07-08,54.0,55.0,53.8,54.3,3788600.0
2020-07-07,53.28,54.14,52.15,53.91,4786700.0
2020-07-06,55.0,55.0,53.03,53.2,5533900.0
2020-07-03,53.59,54.27,53.21,54.0,3277100.0
2020-07-02,53.31,54.25,53.01,53.57,4612700.0
2020-07-01,50.8,52.59,50.8,52.59,4450800.0
2020-06-30,49.69,51.48,49.55,50.61,5522800.0
2020-06-29,50.41,50.72,49.21,49.92,3371300.0
2020-06-26,49.19,51.17,48.92,50.0,8209600.0
2020-06-25,46.1,49.5,46.06,49.22,7737200.0
2020-06-24,45.75,46.74,45.23,46.05,3621500.0
2020-06-23,46.3,46.79,45.68,46.12,3226000.0
2020-06-22,46.3,46.7,45.52,45.6,2957100.0
2020-06-19,46.8,47.0,45.99,46.21,8281100.0
2020-06-18,46.16,46.67,45.74,46.13,2617800.0
2020-06-17,45.06,47.0,45.06,46.16,4723300.0
2020-06-16,45.2,46.17,44.76,44.76,4480600.0
2020-06-15,43.0,44.92,43.0,44.27,3985600.0
2020-06-12,43.55,44.63,42.7,44.25,5704600.0
2020-06-10,45.93,46.64,44.47,44.99,4832700.0
2020-06-09,44.73,46.08,43.85,45.81,4152600.0
2020-06-08,44.89,46.28,44.26,45.8,5132700.0
2020-06-05,44.5,45.43,44.05,44.33,6007800.0
2020-06-04,42.1,43.86,41.27,43.8,5777800.0
2020-06-03,43.3,43.8,42.31,42.6,4565800.0
2020-06-02,42.42,42.8,41.81,42.42,3305300.0
2020-06-01,41.89,43.0,41.81,42.16,5511600.0
2020-05-29,40.2,41.83,39.61,41.83,8774100.0
2020-05-28,40.37,41.15,40.15,40.68,4619700.0
2020-05-27,40.84,40.98,39.6,40.58,4847700.0
2020-05-26,38.81,40.55,38.5,40.42,7213900.0
2020-05-25,38.11,38.55,37.62,38.04,3678600.0
2020-05-22,37.41,38.43,36.7,37.24,4719000.0
2020-05-19,36.72,38.0,36.33,36.92,6055600.0
2020-05-18,37.39,37.48,36.58,36.62,4148300.0
2020-05-14,37.8,38.06,36.32,37.35,6230900.0
2020-05-13,37.91,38.56,37.44,38.0,5269300.0
2020-05-12,38.99,39.38,37.15,37.5,4112800.0
2020-05-11,38.31,39.24,38.15,38.83,4881900.0
2020-05-08,40.0,40.1,38.0,38.24,5036200.0
2020-05-07,39.23,40.89,38.72,39.09,9584500.0
2020-05-06,39.06,39.23,37.7,38.83,6620300.0
2020-05-05,40.3,40.72,38.83,39.01,4076400.0
2020-05-04,38.98,39.99,38.21,39.84,4888000.0
2020-04-30,40.65,41.29,39.2,39.94,6953100.0
2020-04-29,43.21,44.05,41.4,41.4,7393900.0
