date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,27.65,30.0,27.61,29.95,5025100.0
2021-05-12,28.55,28.55,27.18,27.31,1475000.0
2021-05-11,28.15,28.61,27.75,28.55,805200.0
2021-05-10,28.59,29.16,28.43,28.52,1539900.0
2021-05-07,28.45,28.91,28.19,28.61,735200.0
2021-05-06,29.1,29.1,27.98,28.39,1232800.0
2021-05-05,28.89,29.36,28.73,29.07,778000.0
2021-05-04,29.12,29.95,28.58,28.77,1753700.0
2021-05-03,29.14,30.1,28.47,29.0,1477600.0
2021-04-30,30.01,30.01,29.26,29.26,2039100.0
2021-04-29,29.62,30.95,29.62,29.92,2759300.0
2021-04-28,29.55,30.01,29.08,29.9,1733500.0
2021-04-27,29.49,29.91,29.09,29.65,1988900.0
2021-04-26,29.62,30.54,29.13,29.32,1825800.0
2021-04-23,29.78,30.08,29.33,29.59,1813000.0
2021-04-22,29.8,30.03,29.15,29.51,2294400.0
2021-04-20,31.0,31.09,29.45,29.55,4210500.0
2021-04-19,32.06,32.22,31.18,31.2,2335600.0
2021-04-16,32.18,32.41,31.87,32.16,2453700.0
2021-04-15,32.4,32.76,31.9,32.22,1513200.0
2021-04-14,32.6,32.81,32.03,32.36,1924400.0
2021-04-13,31.3,33.06,30.32,32.67,3570000.0
2021-04-12,31.25,31.8,30.89,31.3,1846100.0
2021-04-09,30.52,31.75,30.51,31.29,4471300.0
2021-04-08,29.13,31.1,28.98,31.0,3958900.0
2021-04-07,28.94,29.51,28.7,29.12,3105600.0
2021-04-06,28.91,29.16,28.5,28.84,1814600.0
2021-04-05,26.77,29.1,26.77,28.95,8233200.0
2021-04-01,26.92,27.38,26.33,26.64,1884100.0
2021-03-31,28.06,28.25,26.71,26.71,4927900.0
2021-03-30,26.66,28.3,26.55,28.04,2379300.0
2021-03-29,26.89,27.24,26.43,26.71,1215200.0
2021-03-26,27.64,27.75,26.6,27.09,1795900.0
2021-03-25,26.81,27.73,26.26,27.73,2426600.0
2021-03-24,27.0,28.0,26.7,26.71,2799000.0
2021-03-23,27.37,27.65,26.85,27.0,2890400.0
2021-03-22,27.05,28.02,27.05,27.66,2621500.0
2021-03-19,27.29,28.2,27.28,27.5,3055400.0
2021-03-18,27.88,29.1,27.01,27.23,5653500.0
2021-03-17,26.95,28.95,26.64,28.66,3661400.0
2021-03-16,28.28,28.47,27.36,27.64,1178300.0
2021-03-15,27.77,28.3,27.68,28.15,1328900.0
2021-03-12,27.85,28.39,27.42,28.12,1234800.0
2021-03-11,27.06,28.38,26.8,27.99,2324700.0
2021-03-10,26.43,27.27,26.11,27.06,3425400.0
2021-03-09,26.64,27.42,26.25,26.42,5603700.0
2021-03-08,28.47,28.47,26.6,26.86,4744500.0
2021-03-05,27.75,28.75,26.73,28.75,2707100.0
2021-03-04,27.75,28.8,27.16,27.68,2664200.0
2021-03-03,27.79,28.29,26.36,27.68,5884400.0
2021-03-02,28.26,28.32,26.63,27.89,6062800.0
2021-03-01,30.11,30.15,28.29,28.73,6072800.0
2021-02-26,30.97,31.13,29.63,30.12,4244800.0
2021-02-25,31.31,32.23,30.2,31.16,2716200.0
2021-02-24,31.68,31.86,30.91,31.45,2242600.0
2021-02-23,31.75,32.28,31.21,31.68,2434000.0
2021-02-22,32.01,32.08,31.02,31.58,4431900.0
2021-02-19,32.87,33.05,32.34,32.75,1570600.0
2021-02-18,32.72,33.31,32.54,32.88,2934100.0
2021-02-17,32.24,33.69,32.2,32.85,3107000.0
2021-02-12,33.1,33.73,32.35,32.76,4369300.0
2021-02-11,32.12,33.42,31.84,33.1,4722900.0
2021-02-10,32.84,32.84,31.59,32.0,8799200.0
2021-02-09,33.33,33.33,32.43,32.84,5718800.0
2021-02-08,33.48,33.58,33.08,33.36,2721600.0
2021-02-05,33.5,34.45,33.01,33.44,4019100.0
2021-02-04,34.14,34.3,33.05,33.4,3845100.0
2021-02-03,35.13,35.13,33.91,34.39,2944100.0
2021-02-02,34.4,35.49,34.3,34.83,2785100.0
2021-02-01,33.9,34.18,33.35,33.82,1506300.0
2021-01-29,33.97,34.78,33.4,33.55,4324700.0
2021-01-28,33.67,34.74,33.31,34.32,2859900.0
2021-01-27,33.6,34.03,32.64,33.31,2243500.0
2021-01-26,33.98,33.98,33.13,33.44,3143400.0
2021-01-22,33.29,33.82,32.78,33.34,4876300.0
2021-01-21,34.71,35.56,33.45,33.83,5173000.0
2021-01-20,34.63,34.8,34.01,34.68,1724600.0
2021-01-19,34.79,34.87,34.09,34.5,1667300.0
2021-01-18,34.54,34.89,34.01,34.45,2418900.0
2021-01-15,35.15,35.15,33.9,34.14,3931800.0
2021-01-14,34.0,35.95,33.85,35.3,5883600.0
