date,AMBV4,BTOW3,BVMF3,BRML3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DTEX3,ELET3,ELET6,ELPL4,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,LLXL3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,RDCD3,RSID3,SBSP3,SANB11,CSNA3,CRUZ3,SUZB5,VIVT4,TIMP3,TRPL4,UGPA3,USIM3,USIM5,VAGR3,VALE3,VALE5,Dolar PTAX,IBOV,OEX,UKX,DAX
8/18/2011,49.19,13.23,8.33,17.12,25.81,31.14,23.06,16.54,28.62,5.76,10.8,20.16,27.29,23.76,31.7,30.88,34.36,22.51,18.94,13.24,16.19,9.43,14.93,19.22,25.38,8.8,14.29,6.94,12.19,15.58,10.12,11.65,7.96,26.44,4.05,4.76,23.22,3.43,23.85,10.83,51.77,8.53,6.91,11.01,34.19,10.86,7.68,59.02,6.78,21.32,19.4,22.79,10.35,40.05,13.77,13.54,17.1,8.35,42.76,8.43,41.89,25.98,22.4,12.08,0.59,39.38,36.24,1.61,52760,517.11,5092.2,5602.8
8/19/2011,50.48,13.64,8.28,17.06,25.53,30.86,23.32,16.61,28.48,5.83,11.13,20.24,27.51,23.77,32.43,31.16,34.28,22.24,18.78,13.47,15.95,9.32,15.1,19.43,25.13,8.85,13.95,7.03,12.43,15.8,10.29,11.83,7.87,26.1,4.2,4.72,23.21,3.44,24.05,11.01,53.03,8.33,6.99,11.01,34.03,10.77,7.66,59.16,6.78,21.2,19.27,23.03,10.34,39.5,13.58,13.59,17.53,8.3,43.11,8.53,42.23,26.44,22.5,12.31,0.6,39.25,35.88,1.6,52836,509.01,5040.8,5480
8/22/2011,50.39,13.68,8.3,17.06,25.45,30.93,23.44,16.43,28.81,5.87,11.03,20.21,27.07,23.92,32.92,31.05,33.97,22.3,18.49,13.65,15.36,9.18,15.3,19.67,24.91,8.89,13.81,7.08,12.53,15.72,10.45,12.03,7.74,25.71,4.19,4.73,23.27,3.44,24.36,11.21,53.12,8.03,7.11,11.24,33.57,10.7,7.57,58.52,6.72,21.04,19.23,22.82,10.39,39.66,13.51,13.37,17.65,8.26,43.05,8.7,41.42,26.67,22.81,12.64,0.62,39.3,35.93,1.6,52771,508.67,5095.3,5473.78
8/23/2011,51.05,13.73,8.36,16.93,25.09,31.17,23.24,16.67,29.04,5.81,10.98,20.13,27.24,23.99,32.97,31.13,33.68,22.5,18.52,13.56,14.9,9.31,14.58,18.81,24.89,8.96,13.63,7.19,12.87,16.15,10.33,12.54,7.54,25.04,4.22,4.8,23.57,3.49,24.23,11.02,54.11,7.58,7.2,11.33,34.6,10.51,7.47,58.36,6.54,21.09,19.28,22.77,10.4,39.94,13.19,13.57,17.76,8.16,43.13,8.79,41.17,26.86,24.01,12.94,0.63,39.65,36.12,1.6,52769,525.48,5129.4,5532.38
8/24/2011,51.24,13.6,8.49,16.83,25.71,31.42,24.01,17.03,29.37,5.83,11.17,20.37,27.51,24.13,33.42,31.03,33.72,22.71,18.69,13.7,14.61,9.51,14.49,18.74,24.87,9.23,14.01,7.2,13.1,16.09,11.15,12.63,7.64,25.21,4.12,4.81,23.37,3.7,23.97,11.03,54.61,7.73,7.33,11.47,35.9,10.77,7.62,58.6,6.65,21.46,19.5,22.89,10.56,40.6,13.24,14.04,18.17,8.33,44.1,9.12,41.04,26.45,24.31,13.24,0.63,40.21,36.54,1.6,53542,532.04,5205.9,5681.08
8/25/2011,51.41,13.22,8.35,16.84,25.94,31.34,24.03,16.78,29.21,5.81,11.07,20.21,27.12,24.03,32.49,31.03,33.24,22.11,18.42,13.36,14.56,9.36,14.54,18.74,24.57,9.1,14.09,7.04,12.75,15.69,11.17,12.08,7.81,25.77,4.08,4.72,23.16,3.68,23.39,10.71,54.81,7.57,7.14,11.21,36.22,10.68,7.46,58.63,6.58,21.2,19.33,22.88,10.39,41.12,13.7,13.88,17.9,8.34,43.12,9.01,41.45,25.97,23.06,12.8,0.61,40.13,36.4,1.62,53105,524.82,5131.1,5584.14
8/26/2011,50.61,13.58,8.17,16.67,25.67,31.68,23.9,16.94,29.32,5.7,11.12,20.9,27.7,23.92,32.08,31.78,33.38,22.71,18.68,13.26,15.04,9.29,14.65,18.86,24.76,9.05,14.21,7.04,12.68,15.73,11.09,12.11,7.83,26.06,4.01,4.73,23.71,3.71,23.87,10.82,54.45,7.37,7.15,11.09,37.02,10.74,7.4,58.45,6.41,21.13,19.23,23.31,10.37,41.21,13.51,13.76,18.16,8.38,43.23,9.12,41.84,26.07,22.2,12.34,0.61,40.43,36.63,1.61,53151,531.51,5129.9,5537.48
8/29/2011,51.75,14.73,8.51,17,26.17,32.42,24.31,17.37,29.73,6.04,11.29,20.97,28.01,24.02,33.12,32.22,33.43,23.33,18.92,13.79,15.45,9.5,14.81,19.09,24.96,9.26,14.77,7.28,13.09,16.2,11.58,12.54,8.14,26.8,4.09,4.84,24.13,3.94,25.18,11.4,56.75,7.64,7.58,11.61,36.53,11.1,7.68,59.85,6.82,21.79,19.78,23.61,10.88,41.85,13.93,14.39,18.16,8.65,45.13,9.62,42.22,26.44,22.25,12.29,0.63,41.67,37.79,1.6,54642,545.11,5129.9,5670.07
8/30/2011,52.16,15.65,8.68,16.89,26.3,32.54,24.4,17.04,29.66,6.35,11.49,21.11,28.19,24.59,33.76,32.17,33.02,22.88,19.08,14.39,15.21,9.55,14.71,18.97,24.89,9.51,15.22,7.43,13.27,16.39,11.94,12.8,8.2,27.04,4.09,5.02,24.81,4.01,26.08,11.54,56.08,7.77,7.83,12.24,35.72,11.33,7.82,61.56,7.2,21.83,19.83,23.35,11.31,42.38,14.33,14.59,18.28,8.78,45.86,9.62,42.12,26.45,22.06,11.97,0.63,41.86,37.95,1.59,55223,545.77,5268.7,5643.92
8/31/2011,53.28,16,8.95,17.44,27.01,33.25,24.85,17.61,30.39,6.71,11.77,21.59,28.43,24.67,34.01,32.45,33.71,23.13,19.41,14.71,16.02,10.24,14.91,19.23,24.87,9.85,15.61,7.49,13.17,16.39,12.14,13.35,8.39,27.83,4.18,5.12,25.18,4.13,27.16,11.9,57.4,7.74,8.09,12.71,36.39,11.46,7.92,63.77,7.44,22.05,19.96,23.43,11.86,43.27,14.59,14.93,18.89,8.8,46.2,9.45,42.62,26.87,22.38,11.91,0.62,42.4,38.49,1.59,56115,548.01,5394.5,5784.85
